outcome_source,estimate,se_placebo,ci_95_low,ci_95_high,p_normal_two_sided,rank_one_sided,rank_two_sided,rank_denominator,p_rank_one_sided,p_rank_two_sided,rmspe_pre,brazil_pre_mean,estimate_pct_pre_mean,se_replications,se_seed
"BSV Jun/2024 (paper main, no covariates)",-0.27277140758306007,0.13060794328219072,-0.5287582725110039,-0.01678454265511619,0.03675501981479939,3,7,96,0.03125,0.07291666666666667,0.05777659740154044,0.6467778905833333,-42.17389177249793,20000,20260520
UNGA-DM all resolution-related votes (Fjelstul et al. 2026),-0.33055290591675995,0.1251452893905264,-0.5758331659570342,-0.08527264587648573,0.008257559300511077,3,5,96,0.03125,0.052083333333333336,0.05784348982588361,0.836545155415565,-39.51405417589842,20000,20260520
