outcome,estimate,rebuilt,abs_diff,n_obs_rebuilt
distance,-0.22233340176221164,-0.2223334017622219,1.0269562977782698e-14,55190
agreement,0.05216256248537268,0.052162562485370975,1.7069679003611782e-15,55190
