spec_id,outcome,case,placebo_unit,ddd
latam_controls,agreement,BRA,ATG,-0.06601298153680549
latam_controls,agreement,BRA,BHS,-0.039316419082224885
latam_controls,agreement,BRA,BLZ,-0.029955198406690905
latam_controls,agreement,BRA,BOL,0.07919197164609688
latam_controls,agreement,BRA,BRB,-0.07978813360157128
latam_controls,agreement,BRA,COL,-0.17628040955319824
latam_controls,agreement,BRA,CRI,-0.02056710168652573
latam_controls,agreement,BRA,DMA,0.05990031188970587
latam_controls,agreement,BRA,DOM,0.17616918185770472
latam_controls,agreement,BRA,ECU,0.03286010256084818
latam_controls,agreement,BRA,GRD,-0.11988759832998529
latam_controls,agreement,BRA,GTM,0.03706866832131467
latam_controls,agreement,BRA,GUY,-0.05442481706284285
latam_controls,agreement,BRA,HND,0.015997243527333043
latam_controls,agreement,BRA,HTI,-0.048960783714248696
latam_controls,agreement,BRA,JAM,-0.10184373957551207
latam_controls,agreement,BRA,KNA,0.048274687880338486
latam_controls,agreement,BRA,LCA,-0.06922415825327412
latam_controls,agreement,BRA,MEX,-0.04797803308066794
latam_controls,agreement,BRA,NIC,0.18818747420911633
latam_controls,agreement,BRA,PRY,0.027467014495942063
latam_controls,agreement,BRA,SLV,0.027983267272095384
latam_controls,agreement,BRA,SUR,0.037186471217174034
latam_controls,agreement,BRA,TTO,-0.028512064964112998
latam_controls,agreement,BRA,VCT,0.10353735798056009
latam_controls,agreement,URY,ARG,0.08864541433781557
latam_controls,agreement,URY,ATG,0.044587746844910965
latam_controls,agreement,URY,BHS,0.021077820500791124
latam_controls,agreement,URY,BLZ,-0.0070085696449673105
latam_controls,agreement,URY,BOL,0.16832939471213518
latam_controls,agreement,URY,BRB,-0.07461557752319622
latam_controls,agreement,URY,COL,-0.07096107079301382
latam_controls,agreement,URY,CRI,-0.031605928970704945
latam_controls,agreement,URY,DMA,-0.18516396342008146
latam_controls,agreement,URY,DOM,-0.007958974024146848
latam_controls,agreement,URY,ECU,0.13761429819983964
latam_controls,agreement,URY,GRD,0.030668841082904543
latam_controls,agreement,URY,GTM,-0.15083572336893644
latam_controls,agreement,URY,GUY,0.03434801973505882
latam_controls,agreement,URY,HND,0.029527528174843193
latam_controls,agreement,URY,HTI,-0.03396269638834872
