comparison_id,comparison_label,anchor_members,anchor_members_removed_from_donor_pool,anchor_statistic,year_start,year_end,treat_year,n_units,n_donors,att_distance_china,att_distance_anchor,att_china_minus_anchor,rmspe_pre_china,rmspe_pre_anchor,china_rank_one_sided_negative,china_rank_two_sided_absolute,china_rank_denominator,china_p_rank_one_sided_negative,china_p_rank_two_sided_absolute,anchor_rank_one_sided_negative,anchor_rank_two_sided_absolute,anchor_rank_denominator,anchor_p_rank_one_sided_negative,anchor_p_rank_two_sided_absolute,difference_rank_one_sided_negative,difference_rank_two_sided_absolute,difference_rank_denominator,difference_p_rank_one_sided_negative,difference_p_rank_two_sided_absolute
ibsa,IBAS: India e Africa do Sul,IND;ZAF,IND,"Mediana anual; com dois membros, igual ao ponto medio",1997,2015,2009,95,94,-0.27324260476871853,-0.31696384107685766,0.04372123630813912,0.0585582093064837,0.02831525571277708,3,7,95,0.031578947368421054,0.07368421052631578,2,5,95,0.021052631578947368,0.05263157894736842,74,39,95,0.7789473684210526,0.4105263157894737
mercosur,Mercosul: Argentina e Paraguai,ARG;PRY,ARG;PRY,"Mediana anual; com dois membros, igual ao ponto medio",1997,2015,2009,94,93,-0.27983585409011513,0.2563351767967507,-0.5361710308868659,0.05940723967721933,0.01876170513114089,3,7,94,0.031914893617021274,0.07446808510638298,91,10,94,0.9680851063829787,0.10638297872340426,1,2,94,0.010638297872340425,0.02127659574468085
