year,iso3c,country,china_export_rank,china_rank_1,china_rank_2,retained_in_brazil_sdid_panel
1997,ARG,Argentina,8,FALSE,FALSE,TRUE
1998,ARG,Argentina,7,FALSE,FALSE,TRUE
1999,ARG,Argentina,9,FALSE,FALSE,TRUE
2000,ARG,Argentina,5,FALSE,FALSE,TRUE
2001,ARG,Argentina,4,FALSE,FALSE,TRUE
2002,ARG,Argentina,5,FALSE,FALSE,TRUE
2003,ARG,Argentina,4,FALSE,FALSE,TRUE
2004,ARG,Argentina,4,FALSE,FALSE,TRUE
2005,ARG,Argentina,4,FALSE,FALSE,TRUE
2006,ARG,Argentina,4,FALSE,FALSE,TRUE
2007,ARG,Argentina,2,FALSE,TRUE,TRUE
2008,ARG,Argentina,2,FALSE,TRUE,TRUE
2009,ARG,Argentina,3,FALSE,FALSE,TRUE
2010,ARG,Argentina,2,FALSE,TRUE,TRUE
2011,ARG,Argentina,2,FALSE,TRUE,TRUE
2012,ARG,Argentina,2,FALSE,TRUE,TRUE
2013,ARG,Argentina,2,FALSE,TRUE,TRUE
2014,ARG,Argentina,2,FALSE,TRUE,TRUE
2015,ARG,Argentina,2,FALSE,TRUE,TRUE
1997,PRY,Paraguay,35,FALSE,FALSE,TRUE
1998,PRY,Paraguay,27,FALSE,FALSE,TRUE
1999,PRY,Paraguay,24,FALSE,FALSE,TRUE
2000,PRY,Paraguay,20,FALSE,FALSE,TRUE
2001,PRY,Paraguay,25,FALSE,FALSE,TRUE
2002,PRY,Paraguay,21,FALSE,FALSE,TRUE
2003,PRY,Paraguay,20,FALSE,FALSE,TRUE
2004,PRY,Paraguay,14,FALSE,FALSE,TRUE
2005,PRY,Paraguay,11,FALSE,FALSE,TRUE
2006,PRY,Paraguay,13,FALSE,FALSE,TRUE
2007,PRY,Paraguay,27,FALSE,FALSE,TRUE
2008,PRY,Paraguay,12,FALSE,FALSE,TRUE
2009,PRY,Paraguay,24,FALSE,FALSE,TRUE
2010,PRY,Paraguay,21,FALSE,FALSE,TRUE
2011,PRY,Paraguay,30,FALSE,FALSE,TRUE
2012,PRY,Paraguay,25,FALSE,FALSE,TRUE
2013,PRY,Paraguay,28,FALSE,FALSE,TRUE
2014,PRY,Paraguay,30,FALSE,FALSE,TRUE
2015,PRY,Paraguay,29,FALSE,FALSE,TRUE
1997,URY,Uruguay,8,FALSE,FALSE,FALSE
1998,URY,Uruguay,14,FALSE,FALSE,FALSE
1999,URY,Uruguay,12,FALSE,FALSE,FALSE
2000,URY,Uruguay,4,FALSE,FALSE,FALSE
2001,URY,Uruguay,5,FALSE,FALSE,FALSE
2002,URY,Uruguay,9,FALSE,FALSE,FALSE
2003,URY,Uruguay,11,FALSE,FALSE,FALSE
2004,URY,Uruguay,8,FALSE,FALSE,FALSE
2005,URY,Uruguay,5,FALSE,FALSE,FALSE
2006,URY,Uruguay,4,FALSE,FALSE,FALSE
2007,URY,Uruguay,4,FALSE,FALSE,FALSE
2008,URY,Uruguay,2,FALSE,TRUE,FALSE
2009,URY,Uruguay,2,FALSE,TRUE,FALSE
2010,URY,Uruguay,2,FALSE,TRUE,FALSE
2011,URY,Uruguay,2,FALSE,TRUE,FALSE
2012,URY,Uruguay,2,FALSE,TRUE,FALSE
2013,URY,Uruguay,1,TRUE,FALSE,FALSE
2014,URY,Uruguay,1,TRUE,FALSE,FALSE
2015,URY,Uruguay,1,TRUE,FALSE,FALSE
