iso3c,country_name,region,role,estimate,rmspe_pre,rmspe_post,ratio,estimate_rank_negative,estimate_rank_abs,rmspe_ratio_rank_high,p_value
EST,Estonia,Europe & Central Asia,Control placebo,0.008737763237970687,0.03623609439159884,0.08931465740135716,2.464798121898709,59,87,30,
FIN,Finland,Europe & Central Asia,Control placebo,-0.017353409091148825,0.059107173838078605,0.12081843470601679,2.0440570384399255,47,82,40,
FJI,Fiji,East Asia & Pacific,Control placebo,0.0242220464654337,0.20362046176537113,0.2504414265889752,1.2299423369226772,63,78,78,
FRA,France,Europe & Central Asia,Control placebo,-0.11391290864599372,0.06199688070605744,0.13680636913406358,2.2066653608380147,9,23,36,
GAB,Gabon,Sub-Saharan Africa,Control placebo,0.17919440052368302,0.062204367406427555,0.2623365738368627,4.2173336821001985,88,15,12,
GBR,United Kingdom,Europe & Central Asia,Control placebo,-0.040524974065678204,0.07403830330428374,0.10823178058067832,1.461834965826617,34,60,67,
GEO,Georgia,Europe & Central Asia,Control placebo,0.13531163372407726,0.11867138065604593,0.14903323801600507,1.2558481850645957,85,19,75,
GHA,Ghana,Sub-Saharan Africa,Control placebo,-0.03865182894594955,0.09382190950915895,0.1281192450905681,1.3655578506218853,37,64,72,
GIN,Guinea,Sub-Saharan Africa,Control placebo,-0.06620236356321146,0.07347333680398205,0.11569447673099012,1.5746457390338615,24,43,61,
GRC,Greece,Europe & Central Asia,Control placebo,-0.3348861191689539,0.04481291426526978,0.5289171415909252,11.802783868507262,2,4,1,
GTM,Guatemala,Latin America & Caribbean,Control placebo,-0.09517493652405296,0.0658699760484957,0.1820973324490962,2.7644967156968447,13,31,26,
GUY,Guyana,Latin America & Caribbean,Control placebo,-0.029059704367578505,0.04427069000130619,0.22732709527875725,5.134934541839082,42,71,8,
HRV,Croatia,Europe & Central Asia,Control placebo,0.017333410579822097,0.05762378367338875,0.05762653643035342,1.0000477711942741,61,83,83,
HTI,Haiti,Latin America & Caribbean,Control placebo,-0.2836725693366859,0.25211400078775265,0.15489714852474212,0.6143932825656337,3,7,94,
HUN,Hungary,Europe & Central Asia,Control placebo,-0.04814376051712097,0.05227690273769896,0.09510440010634622,1.8192432054273682,32,55,50,
IND,India,South Asia,Control placebo,-0.0610989241556646,0.18110224260140967,0.11754780372673303,0.6490687361914427,26,46,93,
IRL,Ireland,Europe & Central Asia,Control placebo,-0.02740178838643959,0.04692380454199896,0.16507856366370136,3.518013197671311,43,74,19,
ISL,Iceland,Europe & Central Asia,Control placebo,-0.12766679307299594,0.07176360806600755,0.18016693266239345,2.510561237342992,8,20,27,
ISR,Israel,Middle East & North Africa,Control placebo,0.0443425982489111,0.06723546746551154,0.12305037513036385,1.830140843350016,71,58,48,
ITA,Italy,Europe & Central Asia,Control placebo,0.0015548425652441259,0.06806143501192424,0.09820392873589025,1.442871851272091,55,94,68,
JAM,Jamaica,Latin America & Caribbean,Control placebo,0.03501536946319287,0.06457087020445107,0.10104752714179903,1.564908864041196,69,66,62,
JOR,Jordan,Middle East & North Africa,Control placebo,-0.02540333615463812,0.1519435020870299,0.12990953777027436,0.854985807131555,44,76,88,
KEN,Kenya,Sub-Saharan Africa,Control placebo,-0.034291919335910186,0.09433838649592198,0.1491243926113777,1.5807392743337196,40,68,60,
KWT,Kuwait,Middle East & North Africa,Control placebo,-0.0036537771080071882,0.11315471853616686,0.26229599429919537,2.3180296649791012,52,92,33,
LBN,Lebanon,Middle East & North Africa,Control placebo,-0.08218663044982806,0.19723430776452955,0.11586166030207708,0.5874315762570063,17,35,95,
LBY,Libya,Middle East & North Africa,Control placebo,-0.7956804366118128,0.17701759044957466,0.5331775414264919,3.012003157835171,1,1,23,
LKA,Sri Lanka,South Asia,Control placebo,0.01997047150198062,0.08085265020840492,0.20200127309240845,2.4983877779112023,62,81,28,
LTU,Lithuania,Europe & Central Asia,Control placebo,0.026510861683834125,0.03960259918268193,0.07348860341308214,1.8556510160883186,65,75,47,
LVA,Latvia,Europe & Central Asia,Control placebo,-0.03999895205316358,0.04450364641623934,0.09205502805895971,2.068482820440729,35,62,38,
MAR,Morocco,Middle East & North Africa,Control placebo,0.05442651089963351,0.08805221081216193,0.05034464286406181,0.5717589870793809,74,51,96,
MDA,Moldova,Europe & Central Asia,Control placebo,-0.05572115739872766,0.08013692521944618,0.1236192468057673,1.5426003239736183,28,49,64,
MDG,Madagascar,Sub-Saharan Africa,Control placebo,-0.03408710621718653,0.09978474189785971,0.20578837587391557,2.0623230762530995,41,70,39,
MDV,Maldives,South Asia,Control placebo,0.14098297691533732,0.04812109427483858,0.2240316390389923,4.655580726395354,86,18,10,
MEX,Mexico,Latin America & Caribbean,Control placebo,-0.023836726380838325,0.09983863527627111,0.19638290800152428,1.9670031291803833,45,79,44,
MLT,Malta,Middle East & North Africa,Control placebo,-0.10826248333661316,0.11264719809541378,0.14013528459455357,1.2440192651383748,10,24,76,
MUS,Mauritius,Sub-Saharan Africa,Control placebo,-0.08979603667836901,0.04932214403995288,0.09749206252988227,1.9766387781299584,16,34,41,
MWI,Malawi,Sub-Saharan Africa,Control placebo,0.09551263011686086,0.15281676059959381,0.1076945014152041,0.7047296447893057,79,30,91,
NAM,Namibia,Sub-Saharan Africa,Control placebo,0.20264600618328119,0.05562459716236364,0.30141984051337367,5.418822892929073,89,14,6,
NGA,Nigeria,Sub-Saharan Africa,Control placebo,-0.039047462604895174,0.17056967507305007,0.17010700131261736,0.9972874793820498,36,63,85,
NIC,Nicaragua,Latin America & Caribbean,Control placebo,0.38802006176104253,0.14910808795837702,0.4642643777063142,3.1136096241533986,96,2,21,
NLD,Netherlands,Europe & Central Asia,Control placebo,0.007008120829262509,0.07520404810090767,0.10562140765521642,1.4044643915111483,58,88,70,
NOR,Norway,Europe & Central Asia,Control placebo,0.02475346091355746,0.08581656537649604,0.142365591606989,1.6589523360950187,64,77,58,
PAK,Pakistan,South Asia,Control placebo,-0.040566509617733816,0.07231553303410018,0.0884852942802477,1.223600111452165,33,59,79,
PAN,Panama,Latin America & Caribbean,Control placebo,0.30255846066752756,0.07497524193222363,0.38828346802160896,5.178822475459442,93,6,7,
PNG,Papua New Guinea,East Asia & Pacific,Control placebo,0.027789995049516805,0.22946406831832458,0.2949844492229662,1.2855365608429303,66,73,74,
POL,Poland,Europe & Central Asia,Control placebo,4.966415971087121e-4,0.04154369906636845,0.08120425234695744,1.9546707243673458,54,96,45,
PRT,Portugal,Europe & Central Asia,Control placebo,-0.07869903111002624,0.04425004164470812,0.13578224532125438,3.0685224301363485,20,38,22,
PRY,Paraguay,Latin America & Caribbean,Control placebo,-0.034862729990487354,0.074334170801134275,0.18483597980543273,2.4865546734882296,39,67,29,
QAT,Qatar,Middle East & North Africa,Control placebo,-0.05964199465055905,0.14224244055048402,0.13554169096278454,0.9528920513331514,27,47,86,
ROU,Romania,Europe & Central Asia,Control placebo,-0.05280019105487489,0.03493854908677241,0.1314926808719636,3.7635415410465973,29,52,16,
RWA,Rwanda,Sub-Saharan Africa,Control placebo,0.11574000345381397,0.22045217835770364,0.14984412931175697,0.6797126271468331,83,22,92,
SEN,Senegal,Sub-Saharan Africa,Control placebo,0.1017540416767132,0.11095677475447019,0.20245765848640573,1.8246534196259088,80,28,49,
SLV,El Salvador,Latin America & Caribbean,Control placebo,-0.08211067181056357,0.0899862380656509,0.1629947003263493,1.8113291968871275,18,36,52,
SUR,Suriname,Latin America & Caribbean,Control placebo,0.03428921032663129,0.05260679230164445,0.12422335472351924,2.3613558114554745,68,69,32,
SVK,Slovakia,Europe & Central Asia,Control placebo,0.011180685509410352,0.03874515259061632,0.08525447488768712,2.200390737610229,60,85,37,
SVN,Slovenia,Europe & Central Asia,Control placebo,-0.10360051261556978,0.024291707614528438,0.13637194151555085,5.613929810104795,11,27,4,
SWE,Sweden,Europe & Central Asia,Control placebo,-0.04881778791944731,0.04566273771604855,0.1749194070242883,3.8306815529111695,31,54,15,
SWZ,Eswatini,Sub-Saharan Africa,Control placebo,0.04461319179890194,0.12365757115529695,0.2248701582957199,1.8184908226388647,72,57,51,
TCD,Chad,Sub-Saharan Africa,Control placebo,0.05626321355698991,0.17234657967452152,0.2129689359746697,1.2357015519360115,76,48,77,
TGO,Togo,Sub-Saharan Africa,Control placebo,0.3111231002405771,0.08567252153272997,0.40909357837002785,4.77508506871412,94,5,9,
TTO,Trinidad & Tobago,Latin America & Caribbean,Control placebo,0.0402365508546373,0.058522366524050295,0.17106145469995893,2.9230098654616037,70,61,25,
TUN,Tunisia,Middle East & North Africa,Control placebo,0.028174235428571327,0.12559872756779075,0.1175939885343491,0.936267355661536,67,72,87,
TUR,Turkey,Europe & Central Asia,Control placebo,-0.07026160163975537,0.04717153121731545,0.11233097021465624,2.3813297409650853,22,41,31,
UGA,Uganda,Sub-Saharan Africa,Control placebo,-0.010805681541063063,0.16474640822697179,0.32430197969546537,1.9684919579471087,49,86,43,
UKR,Ukraine,Europe & Central Asia,Control placebo,0.07155667355280984,0.1935372420683681,0.26853881011017716,1.3875304165764353,78,40,71,
USA,United States,North America,Control placebo,-0.21900153815596904,0.06571485766326525,0.23465310249225052,3.570777002891115,6,13,18,
VEN,Venezuela,Latin America & Caribbean,Control placebo,0.23820480048732537,0.14828091457460185,0.619643382903573,4.1788478623917795,92,9,13,
