iso3c,country_name,region,role,estimate,rmspe_pre,rmspe_post,ratio,estimate_rank_negative,estimate_rank_abs,rmspe_ratio_rank_high,p_value
ALB,Albania,Europe & Central Asia,Control placebo,-0.09483593483648826,0.14227648699860196,0.25678968223164794,1.804863808832806,14,32,53,
ARE,United Arab Emirates,Middle East & North Africa,Control placebo,0.10366632161834613,0.0940229099499298,0.16473452779630007,1.752067957522549,81,26,55,
ARG,Argentina,Latin America & Caribbean,Control placebo,-0.22556172689652942,0.0668885545131443,0.30892721852646093,4.618536321722329,5,12,11,
AUT,Austria,Europe & Central Asia,Control placebo,-0.0977872040520754,0.05782806703902383,0.19832288690021507,3.4295264748583385,12,29,20,
AZE,Azerbaijan,Europe & Central Asia,Control placebo,-0.1577419020047667,0.08525937984665295,0.31274237206256095,3.6681286284870667,7,16,17,
BGD,Bangladesh,South Asia,Control placebo,-6.709849075056928e-4,0.10178455361869723,0.20040896322666865,1.9689526170880085,53,95,42,
BGR,Bulgaria,Europe & Central Asia,Control placebo,-0.0799341465251765,0.07126154543208643,0.12621370134185986,1.7711333732180121,19,37,54,
BHR,Bahrain,Middle East & North Africa,Control placebo,-0.06611316245864488,0.123282767403035,0.16662931254578314,1.3516026291090626,25,44,73,
BLR,Belarus,Europe & Central Asia,Control placebo,0.0622904228099045,0.18243538209589025,0.14015435193755893,0.7682410633694515,77,45,90,
BOL,Bolivia,Latin America & Caribbean,Control placebo,0.37541754082938644,0.07300407413335494,0.6215786615924701,8.514301002667962,95,3,2,
BRA,Brazil,Latin America & Caribbean,Brazil,-0.26394046182119363,0.060127465311269473,0.3351516437182222,5.5740191605150855,4,8,5,
BRB,Barbados,Latin America & Caribbean,Control placebo,0.1551416578319234,0.07972975658601518,0.12914979064174106,1.6198442861469151,87,17,59,
BTN,Bhutan,South Asia,Control placebo,0.04592073051844804,0.09915173624952697,0.08188193998083503,0.8258245702805397,73,56,89,
BWA,Botswana,Sub-Saharan Africa,Control placebo,-0.004170182734643061,0.07183050845636467,0.08711614545024329,1.2128014589116307,51,91,80,
CAN,Canada,North America,Control placebo,0.23048704789748775,0.10364502638826555,0.42715597297845564,4.121335946968482,90,11,14,
CIV,Côte d’Ivoire,Sub-Saharan Africa,Control placebo,-0.03713093425893119,0.12443665862506241,0.28549747310340146,2.2943196663904977,38,65,34,
COL,Colombia,Latin America & Caribbean,Control placebo,0.12051746111662988,0.09125264261780862,0.27136247097635763,2.9737491780144816,84,21,24,
COM,Comoros,Sub-Saharan Africa,Control placebo,-0.09441663319757022,0.08868633998230245,0.1486973962266625,1.6766662854317294,15,33,57,
CPV,Cape Verde,Sub-Saharan Africa,Control placebo,0.003270407167128655,0.083957021240986765,0.11884053777614621,1.4154925462997459,56,93,69,
CRI,Costa Rica,Latin America & Caribbean,Control placebo,-0.07414778358118115,0.10114691400955031,0.1058818365086768,1.0468123278450139,21,39,82,
CYP,Cyprus,Europe & Central Asia,Control placebo,-0.01426883923908206,0.0703946110556031,0.10849754777674041,1.5412763299599832,48,84,65,
CZE,Czechia,Europe & Central Asia,Control placebo,0.05566374773130574,0.05290380770201421,0.09846434013817945,1.861195713790382,75,50,46,
DEU,Germany,Europe & Central Asia,Control placebo,0.10692125479179108,0.09340322662407377,0.10624277780264439,1.1374636791750976,82,25,81,
DNK,Denmark,Europe & Central Asia,Control placebo,-0.004908871213869163,0.04614372952343854,0.10325380148004613,2.2376561787793667,50,89,35,
DOM,Dominican Republic,Latin America & Caribbean,Control placebo,-0.02364191521961532,0.15185854394758752,0.2622045339630257,1.726636691930373,46,80,56,
DZA,Algeria,Middle East & North Africa,Control placebo,-0.06624339546887884,0.1760926823218355,0.2682282732205461,1.5232221446335807,23,42,66,
ECU,Ecuador,Latin America & Caribbean,Control placebo,0.23407377214015276,0.06757745776818697,0.41973937558683305,6.211233589559968,91,10,3,
EGY,Egypt,Middle East & North Africa,Control placebo,0.004327609610236982,0.21159719096938587,0.21105155640681111,0.9974213525232776,57,90,84,
ESP,Spain,Europe & Central Asia,Control placebo,-0.05101868125994265,0.05258156745977343,0.08200947453126768,1.5596620354463098,30,53,63,
