specification,estimate,rmspe_pre,rmspe_post,rmspe_ratio,n_units,n_donors,n_pre_years,n_post_years,status,error,year_start,year_end,data_source,notes,estimate_change_vs_baseline,percent_change_vs_baseline,stability,brazil_estimate_rank_negative,placebo_denominator,placebo_p_one_sided_negative,placebo_p_two_sided_abs,brazil_rmspe_ratio_rank_high
1997-2013,-0.2638924828315574,0.06151544328957335,0.34033234839525905,5.532470062732104,96,95,12,5,estimated,,1997,2013,synth_data,Shorter post-treatment window.,4.797898963621039e-5,0.01817795926594754,Stable within 10%,,,,,
1997-2014,-0.29904412738656344,0.06088756685514957,0.36783667479104026,6.041244441022206,96,95,12,6,estimated,,1997,2014,synth_data,Shorter post-treatment window.,-0.03510366556536981,-13.299842442933505,Moderate movement,,,,,
1997-2015 baseline,-0.26394046182119363,0.060127465311269473,0.3351516437182222,5.5740191605150855,96,95,12,7,estimated,,1997,2015,synth_data,Baseline fitted target window.,0,0,Stable within 10%,4,96,0.041666666666666664,,
1997-2016,-0.2834655070333722,0.06023239825837618,0.34016921156093466,5.6476119397027205,96,95,12,8,estimated,,1997,2016,synth_data,One additional post-treatment year available in synth_data.,-0.01952504521217857,-7.397518772777554,Stable within 10%,,,,,
1998-2015,-0.2494496693330959,0.044105729036963276,0.33312104357859995,7.552783977324676,96,95,11,7,estimated,,1998,2015,synth_data,Drops earliest pre-treatment year.,0.014490792488097731,5.4901747114144674,Stable within 10%,,,,,
1999-2015,-0.24085379636055174,0.040538313479695685,0.33615292797664575,8.29222775005215,96,95,10,7,estimated,,1999,2015,synth_data,Drops two earliest pre-treatment years.,0.023086665460641892,8.74692167367728,Stable within 10%,,,,,
2000-2015,-0.23508767614606513,0.041002242753924514,0.33474854329922504,8.164152027200627,96,95,9,7,estimated,,2000,2015,synth_data,Drops three earliest pre-treatment years.,0.0288527856751285,10.931550803557665,Moderate movement,,,,,
