cue_year,treated_label,n_treated,window_end,n_pre_years,att,weight
2003,KOR,1,2009,9,0.08070414705076193,0.14285714285714285
2007,AUS,1,2013,13,0.1056632678171293,0.14285714285714285
2009,BRA+CHL,2,2015,15,-0.20168750926414078,0.2857142857142857
2010,ZAF,1,2016,16,0.08820215154078616,0.14285714285714285
2013,NZL+URY,2,2019,19,-0.1905014498939179,0.2857142857142857
