iso3c,cue_year,window_end,att_single
KOR,2003,2009,0.08070414705076193
AUS,2007,2013,0.1056632678171293
BRA,2009,2015,-0.24352380784310682
CHL,2009,2015,-0.16028029049298292
ZAF,2010,2016,0.08820215154078616
URY,2013,2019,-0.14906257039712925
NZL,2013,2019,-0.22110856564419493
