event_time,coef,placebo_low,placebo_high
-6,-0.07158489195782283,-0.22832672418330865,0.20753917714664744
-5,-0.07759630490340141,-0.1795778948158529,0.19506561948432935
-4,-0.02285359539047615,-0.17919903242084548,0.16438445842383376
-3,0.05999351523265315,-0.17204471427004367,0.1646781197525509
-2,-0.041333579779591664,-0.10822549502368796,0.12000123700728857
-1,0,0,0
0,-0.06513845909795897,-0.1838352065841836,0.1807021952481777
1,-0.03730535834557814,-0.16666230213126826,0.16858265033454803
2,-0.1680460357142857,-0.2194263705069243,0.2445614326862244
3,-0.14257921242448973,-0.2034329903090379,0.2180118428010198
4,-0.16077426042176843,-0.19470977230131176,0.20300957241180767
5,-0.07291641081768693,-0.1856527923483962,0.18710913908600596
6,-0.15275746034149645,-0.2205928163316326,0.2374156601118802
