specification,estimate,rmspe_pre,rmspe_post,rmspe_ratio,n_units,n_donors,n_pre_years,n_post_years,status,error,removed_donors,n_removed_donors,estimate_change_vs_main,percent_change_vs_main,inference
Preferred: no effective covariate adjustment,-0.2723038606962537,0.05808861331142352,0.32436125767656726,5.5839043004453925,96,95,12,7,estimated,,,0,0,0,Main SE and rank reported separately
Drop GEO (rank 1),-0.26949154366991024,0.05987557562336569,0.322140329901921,5.380162554566068,95,94,12,7,estimated,,GEO,1,0.002812317026343436,1.0327863215573305,Point estimate only
Drop MLT (rank 2),-0.27590725459817317,0.06006392069903895,0.3243426804387747,5.399958521921202,95,94,12,7,estimated,,MLT,1,-0.003603393901919494,-1.3232988664596883,Point estimate only
Drop TCD (rank 3),-0.2714550286995205,0.05989191167554675,0.323051221167291,5.393903986858204,95,94,12,7,estimated,,TCD,1,8.488319967331903e-4,0.311722351112765,Point estimate only
Drop GTM (rank 4),-0.2766357131586221,0.05947175047751403,0.32675880851242806,5.494353300328261,95,94,12,7,estimated,,GTM,1,-0.004331852462368446,-1.5908156613322828,Point estimate only
Drop PRY (rank 5),-0.27328129412899244,0.05948493348191611,0.3245224030163803,5.455539479001648,95,94,12,7,estimated,,PRY,1,-9.774334327387613e-4,-0.3589495316884461,Point estimate only
Drop BOL (rank 6),-0.2626145619610451,0.05875203788137079,0.3211260871983071,5.465786358708255,95,94,12,7,estimated,,BOL,1,0.009689298735208574,3.558267117636161,Point estimate only
Drop ALB (rank 7),-0.27380908045997887,0.058620761886251205,0.3270741213862155,5.579492842840836,95,94,12,7,estimated,,ALB,1,-0.0015052197637251963,-0.5527720980071675,Point estimate only
Drop COL (rank 8),-0.26925399721775994,0.05908875391732064,0.31930162977668036,5.403763129333545,95,94,12,7,estimated,,COL,1,0.0030498634784937306,1.1200221218661885,Point estimate only
Drop IND (rank 9),-0.2728965532447039,0.05895894363642446,0.32599902663835434,5.529254876896306,95,94,12,7,estimated,,IND,1,-5.926925484502354e-4,-0.2176585182945185,Point estimate only
Drop DOM (rank 10),-0.2751654791037758,0.05841136416479355,0.32911496357350245,5.634433783210132,95,94,12,7,estimated,,DOM,1,-0.0028616184075221374,-1.0508916033012774,Point estimate only
Drop top 5 donors by weight,-0.27797262579461846,0.06793287638475398,0.3233134551165924,4.75930760366203,91,90,12,7,estimated,,GEO;MLT;TCD;GTM;PRY,5,-0.005668765098364781,-2.0817791873645555,Point estimate only
Drop top 10 donors by weight,-0.26847365188646816,0.07402265182433217,0.3241862149660825,4.379554190188016,86,85,12,7,estimated,,GEO;MLT;TCD;GTM;PRY;BOL;ALB;COL;IND;DOM,10,0.003830208809785518,1.4065936487246482,Point estimate only
Drop donors with weight >= 2x uniform,-0.26847365188646816,0.07402265182433217,0.3241862149660825,4.379554190188016,86,85,12,7,estimated,,GEO;MLT;TCD;GTM;PRY;BOL;ALB;COL;IND;DOM,10,0.003830208809785518,1.4065936487246482,Point estimate only
Drop high-weight Latin America/Caribbean donors,-0.2671126890036817,0.06319898463293434,0.3232734487169738,5.1151683938369645,91,90,12,7,estimated,,GTM;PRY;BOL;COL;DOM,5,0.005191171692571994,1.9063893105660303,Point estimate only
