weight_rank,iso3c,country_name,region,latin_america,unit_weight,cumulative_weight,uniform_weight,high_weight_donor
1,GEO,Georgia,Europe & Central Asia,FALSE,0.030501308836623577,0.030501308836623577,0.010526315789473684,TRUE
2,MLT,Malta,Middle East & North Africa,FALSE,0.03047827617581779,0.06097958501244137,0.010526315789473684,TRUE
3,TCD,Chad,Sub-Saharan Africa,FALSE,0.02770255709515166,0.08868214210759304,0.010526315789473684,TRUE
4,GTM,Guatemala,Latin America & Caribbean,TRUE,0.027344567083984438,0.11602670919157748,0.010526315789473684,TRUE
5,PRY,Paraguay,Latin America & Caribbean,TRUE,0.026966262293782912,0.1429929714853604,0.010526315789473684,TRUE
6,BOL,Bolivia,Latin America & Caribbean,TRUE,0.02258701698268947,0.16557998846804986,0.010526315789473684,TRUE
7,ALB,Albania,Europe & Central Asia,FALSE,0.022104894289254988,0.18768488275730486,0.010526315789473684,TRUE
8,COL,Colombia,Latin America & Caribbean,TRUE,0.021839997688418485,0.20952488044572334,0.010526315789473684,TRUE
9,IND,India,South Asia,FALSE,0.021805056343228713,0.23132993678895206,0.010526315789473684,TRUE
10,DOM,Dominican Republic,Latin America & Caribbean,TRUE,0.02178320600106761,0.2531131427900197,0.010526315789473684,TRUE
11,AZE,Azerbaijan,Europe & Central Asia,FALSE,0.021021906541448577,0.27413504933146826,0.010526315789473684,FALSE
12,DEU,Germany,Europe & Central Asia,FALSE,0.020838641754271182,0.29497369108573945,0.010526315789473684,FALSE
13,TUR,Turkey,Europe & Central Asia,FALSE,0.02076332895506092,0.3157370200408004,0.010526315789473684,FALSE
14,CRI,Costa Rica,Latin America & Caribbean,TRUE,0.017895608774214297,0.3336326288150147,0.010526315789473684,FALSE
15,MWI,Malawi,Sub-Saharan Africa,FALSE,0.017757961734512766,0.3513905905495275,0.010526315789473684,FALSE
16,FJI,Fiji,East Asia & Pacific,FALSE,0.01734382857659083,0.3687344191261183,0.010526315789473684,FALSE
17,ARG,Argentina,Latin America & Caribbean,TRUE,0.016453859968024946,0.38518827909414327,0.010526315789473684,FALSE
18,PNG,Papua New Guinea,East Asia & Pacific,FALSE,0.016240331435217564,0.40142861052936085,0.010526315789473684,FALSE
19,ISL,Iceland,Europe & Central Asia,FALSE,0.01621876124850198,0.4176473717778628,0.010526315789473684,FALSE
20,CYP,Cyprus,Europe & Central Asia,FALSE,0.01620933120993463,0.43385670298779744,0.010526315789473684,FALSE
21,BRB,Barbados,Latin America & Caribbean,TRUE,0.015769121904752884,0.4496258248925503,0.010526315789473684,FALSE
22,HTI,Haiti,Latin America & Caribbean,TRUE,0.015727300410263382,0.4653531253028137,0.010526315789473684,FALSE
23,HUN,Hungary,Europe & Central Asia,FALSE,0.015481115834185695,0.4808342411369994,0.010526315789473684,FALSE
24,KEN,Kenya,Sub-Saharan Africa,FALSE,0.015413132380473678,0.4962473735174731,0.010526315789473684,FALSE
25,NOR,Norway,Europe & Central Asia,FALSE,0.015275418557308493,0.5115227920747816,0.010526315789473684,FALSE
26,SUR,Suriname,Latin America & Caribbean,TRUE,0.015049980394094161,0.5265727724688757,0.010526315789473684,FALSE
27,TTO,Trinidad & Tobago,Latin America & Caribbean,TRUE,0.014450102683794958,0.5410228751526707,0.010526315789473684,FALSE
28,DNK,Denmark,Europe & Central Asia,FALSE,0.013803575388387373,0.5548264505410581,0.010526315789473684,FALSE
29,NIC,Nicaragua,Latin America & Caribbean,TRUE,0.013675606646570684,0.5685020571876287,0.010526315789473684,FALSE
30,LTU,Lithuania,Europe & Central Asia,FALSE,0.013675588502957175,0.5821776456905858,0.010526315789473684,FALSE
31,TUN,Tunisia,Middle East & North Africa,FALSE,0.013590272887198341,0.5957679185777842,0.010526315789473684,FALSE
32,HRV,Croatia,Europe & Central Asia,FALSE,0.013538365126123138,0.6093062837039074,0.010526315789473684,FALSE
33,POL,Poland,Europe & Central Asia,FALSE,0.013524255912185418,0.6228305396160928,0.010526315789473684,FALSE
34,PAK,Pakistan,South Asia,FALSE,0.013154964322860375,0.6359855039389531,0.010526315789473684,FALSE
35,EST,Estonia,Europe & Central Asia,FALSE,0.013013710803914263,0.6489992147428674,0.010526315789473684,FALSE
36,SLV,El Salvador,Latin America & Caribbean,TRUE,0.012787820438840447,0.6617870351817078,0.010526315789473684,FALSE
