variable,label,role,brazil_pre_mean,synthetic_pre_mean,brazil_minus_synthetic,standardized_difference,included_in_preferred_specification,value_definition,diagnostic_scope
abs_distance_china,Absolute UNGA ideal-point distance to China,Outcome,0.6467778905833333,1.0057064784817105,-0.3589285878983771,-0.4565395442009536,TRUE,1997-2008 mean,"Preferred-specification values weighted by omega; descriptive, not residualized synthdid balance"
perc_trade_with_us,Export share to the United States,Predetermined/fixed covariate,0.03189011584096302,0.04082489665249287,-0.008934780811529854,-0.017431509439427006,TRUE,2004-2008 mean held fixed,"Preferred-specification values weighted by omega; descriptive, not residualized synthdid balance"
perc_trade_with_china,Export share to China,Predetermined/fixed covariate,1.0616424663082873,-0.03029759137953649,1.0919400576878238,2.6803146636029167,TRUE,2004-2008 mean held fixed,"Preferred-specification values weighted by omega; descriptive, not residualized synthdid balance"
pci_cur,Per-capita income,Predetermined/fixed covariate,-0.19315340535688277,6.468551241353479e-4,-0.19380026048101812,-0.3673312343651978,TRUE,2004-2008 mean held fixed,"Preferred-specification values weighted by omega; descriptive, not residualized synthdid balance"
distance_us,Geographic distance to Washington,Predetermined/fixed covariate,-0.15570655839743588,-0.04186354719265115,-0.11384301120478474,-0.22547567985395411,TRUE,Time-invariant value held fixed,"Preferred-specification values weighted by omega; descriptive, not residualized synthdid balance"
inst_parliamentary,Parliamentary system,Predetermined/fixed covariate,0,0.44975418262934097,-0.44975418262934097,-0.9132122197799376,TRUE,2008 value held fixed,"Preferred-specification values weighted by omega; descriptive, not residualized synthdid balance"
us_trade_agreement,Trade agreement with the United States,Predetermined/fixed covariate,0,0.1054255740643569,-0.1054255740643569,-0.341713582137261,TRUE,2008 value held fixed,"Preferred-specification values weighted by omega; descriptive, not residualized synthdid balance"
