specification,year_end,iso3c,country_name,role,estimate,rmspe_pre,rmspe_pre_ratio_to_brazil,ever_china_top_original,original_top_years,ever_china_top_goods,goods_top_years,status,error
predetermined_core,2015,BWA,Botswana,Control placebo,-0.00302210076316541,0.07090986459945813,1.220718838979639,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,CAN,Canada,Control placebo,0.25936600483994776,0.0905741134535688,1.5592404137448532,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,CIV,Côte d’Ivoire,Control placebo,-0.01476422372750511,0.1163325303632399,2.0026735659803108,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,COL,Colombia,Control placebo,0.13603672497383187,0.08813394869635363,1.5172327874974678,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,COM,Comoros,Control placebo,-0.02185319501246264,0.07970948761040474,1.3722050341100038,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,CPV,Cape Verde,Control placebo,-0.01774035554657323,0.07923042825945194,1.3639579900915062,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,CRI,Costa Rica,Control placebo,-0.07504307024492683,0.09175802018967807,1.5796214603668846,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,CYP,Cyprus,Control placebo,-0.05221549705080111,0.06438786750734994,1.1084421513413478,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,CZE,Czechia,Control placebo,0.04999482916093215,0.04529247038178389,0.7797134033646628,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,DEU,Germany,Control placebo,0.11617696401144496,0.0841098605528132,1.4479577968557296,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,DNK,Denmark,Control placebo,-0.01292962864521308,0.04344292381320567,0.7478733152106821,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,DOM,Dominican Republic,Control placebo,-0.09235613064894838,0.14333205357676854,2.4674724598492235,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,DZA,Algeria,Control placebo,-0.05922023830624498,0.15742242871006942,2.7100393646186633,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,ECU,Ecuador,Control placebo,0.2066357280639027,0.06605727496638485,1.1371811307018105,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,EGY,Egypt,Control placebo,-0.11453977037223124,0.19893762491245853,3.424726698947315,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,ESP,Spain,Control placebo,-0.02528417332032924,0.03897042268160018,0.6708788600731905,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,EST,Estonia,Control placebo,0.03305993401212453,0.0341901804130353,0.5885866173071749,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,FIN,Finland,Control placebo,-0.03256498671661518,0.05331326871295804,0.917792071005999,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,FJI,Fiji,Control placebo,-0.16488436019544173,0.17506488892174782,3.0137556905205054,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,FRA,France,Control placebo,-0.11198402943427332,0.06152964388398391,1.0592376091698454,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,GAB,Gabon,Control placebo,0.2057499348685554,0.05954121438409904,1.0250066405422327,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,GBR,United Kingdom,Control placebo,-0.01485176609109967,0.07114098741618248,1.2246976362610487,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,GEO,Georgia,Control placebo,0.09382612425458307,0.11243631311308323,1.9355998827221421,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,GHA,Ghana,Control placebo,-0.0620693257913115,0.08898344608073243,1.5318569510977331,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,GIN,Guinea,Control placebo,-0.01612277197126973,0.07173677540231095,1.2349541728207072,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,GRC,Greece,Control placebo,-0.3194845498350402,0.04026754673658503,0.6932089516529419,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,GTM,Guatemala,Control placebo,-0.09533175669078428,0.06201327727839527,1.0675633957025437,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,GUY,Guyana,Control placebo,-0.01021105158080919,0.04285428660875112,0.737739879914185,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,HRV,Croatia,Control placebo,-0.00394659870411913,0.05577627982487756,0.960192999028069,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,HTI,Haiti,Control placebo,-0.11521554811869704,0.2357740418828925,4.058868484583465,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,HUN,Hungary,Control placebo,-0.01209201400101552,0.04813416308232093,0.8286333644128326,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,IND,India,Control placebo,-0.01919636086029325,0.16795727528729182,2.8913975685190247,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,IRL,Ireland,Control placebo,-0.07231502365420812,0.04319814159784595,0.7436593703184637,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,ISL,Iceland,Control placebo,-0.0910380178643526,0.05632434362755677,0.9696279600546119,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,ISR,Israel,Control placebo,0.05479908771232651,0.06215196254157653,1.06995087330401,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,ITA,Italy,Control placebo,0.00712856856086592,0.05807132691870626,0.9997024134037322,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,JAM,Jamaica,Control placebo,0.0752934242522178,0.05569363987157497,0.958770345798949,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,JOR,Jordan,Control placebo,0.01523658489143877,0.13846683338591273,2.383717315535957,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,KEN,Kenya,Control placebo,-0.03761141169800371,0.0945762381350972,1.6281373016783331,FALSE,,FALSE,,estimated,NA
