specification,estimate,rmspe_pre,rmspe_post,rmspe_ratio,n_units,n_donors,n_pre_years,n_post_years,status,error,year_start,year_end,estimate_change_vs_main,percent_change_vs_main,inference
1997-2013,-0.2976939909088506,0.05614169933370791,0.31824897981594025,5.66867379493198,96,95,12,5,estimated,,1997,2013,-0.02539013021259695,-9.324190317271643,Point estimate only
1997-2014,-0.32602120273326274,0.05719605703867886,0.34979935817658875,6.1157949741192255,96,95,12,6,estimated,,1997,2014,-0.053717342037009064,-19.72698510394205,Point estimate only
1997-2015 preferred,-0.2723038606962537,0.05808861331142352,0.32436125767656726,5.5839043004453925,96,95,12,7,estimated,,1997,2015,0,0,"1,000-placebo SE and rank reported in main results"
1997-2016,-0.27762995638946564,0.05889416926229732,0.3332036358085658,5.6576676432020765,96,95,12,8,estimated,,1997,2016,-0.005326095693211963,-1.9559383695823005,Point estimate only
1998-2015,-0.25603041688998357,0.038964792891222635,0.32223078991676596,8.269793472695525,96,95,11,7,estimated,,1998,2015,0.016273443806270105,5.976207522236571,Point estimate only
1999-2015,-0.2689222954867056,0.02771220655548715,0.3244286224281288,11.70706568524369,96,95,10,7,estimated,,1999,2015,0.0033815652095480764,1.2418352060458318,Point estimate only
2000-2015,-0.26691648366439935,0.029024190329900213,0.3229600365436084,11.127271178720896,96,95,9,7,estimated,,2000,2015,0.0053873770318543235,1.978443132638421,Point estimate only
