year,time_weight,time_weight_rank,high_time_weight
1997,5.1327264096894925e-5,8,FALSE
1998,0.031934670801527204,6,FALSE
1999,0.0901900014268188,4,FALSE
2000,5.1327264096894925e-5,9,FALSE
2001,5.1327264096894925e-5,10,FALSE
2002,5.1327264096894925e-5,11,FALSE
2003,5.1327264096894925e-5,12,FALSE
2004,0.022753307012091516,7,FALSE
2005,0.07695587142892157,5,FALSE
2006,0.12808506075165482,3,TRUE
2007,0.30770090379656817,2,TRUE
2008,0.3421235484619351,1,TRUE
