specification,comparison,estimate,se,ci_low,ci_high,p_value,latent_factors,nboots
"Current pipeline, CV",Treatment coding,-0.1006420140210192,0.03912661176449206,-0.17733017307942364,-0.02395385496261476,0.01010504420567779,2,10000
"Corrected full-join, CV",Treatment coding,-0.10072962830167596,0.03928476867121622,-0.17772777489725977,-0.02373148170609214,0.01034471279528832,2,10000
"Corrected, fixed r = 1",Factor sensitivity,-0.04663962261936745,0.03627748980994282,-0.1177435026468554,0.02446425740812048,0.19857036024387104,1,10000
"Corrected, fixed r = 2",Factor sensitivity,-0.10072962830167596,0.03927339447902987,-0.1777054814805745,-0.0237537751227774,0.01032260037497685,2,10000
