iso3c,country_name,old_n_obs,new_n_obs,observations_removed,change_label
SOM,Somalia,23,0,23,Entire control country removed
KAZ,Kazakhstan,31,27,4,Some rows removed
YEM,Yemen,24,20,4,Some rows removed
MMR,Myanmar (Burma),33,32,1,Some rows removed
PRK,North Korea,25,24,1,Some rows removed
RUS,Russia,31,30,1,Some rows removed
SDN,Sudan,16,15,1,Some rows removed
