min_duration_years,sample,iso3c,country_name,cs_role_min5,ever_treated,treated_years,untreated_years,first_treat,first_year_in_panel,last_year_in_panel
3,clean_single_spell,NZL,New Zealand,treated_min5,TRUE,10,23,2013,1990,2022
3,clean_single_spell,PAK,Pakistan,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,PER,Peru,treated_min5,TRUE,13,20,2010,1990,2022
3,clean_single_spell,PHL,Philippines,treated_min5,TRUE,18,15,2005,1990,2022
3,clean_single_spell,PLW,Palau,never_treated,FALSE,0,25,,1995,2022
3,clean_single_spell,POL,Poland,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,PRT,Portugal,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,PRY,Paraguay,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,ROU,Romania,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,RUS,Russia,treated_min5,TRUE,11,20,2012,1992,2022
3,clean_single_spell,RWA,Rwanda,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,SAU,Saudi Arabia,treated_min5,TRUE,10,23,2013,1990,2022
3,clean_single_spell,SEN,Senegal,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,SGP,Singapore,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,SLB,Solomon Islands,treated_min5,TRUE,20,13,2003,1990,2022
3,clean_single_spell,SLE,Sierra Leone,treated_min5,TRUE,11,22,2012,1990,2022
3,clean_single_spell,SLV,El Salvador,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,SMR,San Marino,never_treated,FALSE,0,23,,2000,2022
3,clean_single_spell,SOM,Somalia,never_treated,FALSE,0,23,,1990,2022
3,clean_single_spell,STP,São Tomé & Príncipe,never_treated,FALSE,0,24,,1991,2022
3,clean_single_spell,SUR,Suriname,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,SVK,Slovakia,never_treated,FALSE,0,30,,1993,2022
3,clean_single_spell,SVN,Slovenia,never_treated,FALSE,0,31,,1992,2022
3,clean_single_spell,SWE,Sweden,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,SWZ,Eswatini,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,SYC,Seychelles,never_treated,FALSE,0,31,,1990,2022
3,clean_single_spell,SYR,Syria,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,TGO,Togo,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,THA,Thailand,treated_min5,TRUE,14,18,2008,1990,2021
3,clean_single_spell,TJK,Tajikistan,never_treated,FALSE,0,30,,1992,2022
3,clean_single_spell,TKM,Turkmenistan,treated_min5,TRUE,13,18,2010,1992,2022
3,clean_single_spell,TON,Tonga,never_treated,FALSE,0,24,,1999,2022
