min_duration_years,iso3c,country_name,eligible_period_id,period_entry_year,period_exit_year,duration_years,calendar_span_years,qualifies_min5
3,AGO,Angola,1,2007,2022,16,16,TRUE
3,ARM,Armenia,1,2015,2015,1,1,FALSE
3,ARM,Armenia,2,2020,2021,2,2,FALSE
3,AUS,Australia,1,2009,2022,14,14,TRUE
3,BEN,Benin,1,2004,2004,1,1,FALSE
3,BEN,Benin,2,2008,2008,1,1,FALSE
3,BEN,Benin,3,2012,2013,2,2,FALSE
3,BFA,Burkina Faso,1,2005,2007,3,3,TRUE
3,BRA,Brazil,1,2009,2022,14,14,TRUE
3,CAF,Central African Republic,1,2013,2014,2,2,FALSE
3,CAF,Central African Republic,2,2018,2018,1,1,FALSE
3,CAF,Central African Republic,3,2020,2020,1,1,FALSE
3,CHL,Chile,1,2007,2022,16,16,TRUE
3,CMR,Cameroon,1,2012,2012,1,1,FALSE
3,CMR,Cameroon,2,2015,2015,1,1,FALSE
3,CMR,Cameroon,3,2017,2019,3,3,TRUE
3,CMR,Cameroon,4,2021,2021,1,1,FALSE
3,COD,Congo - Kinshasa,1,2008,2022,14,15,TRUE
3,COG,Congo - Brazzaville,1,2003,2005,3,3,TRUE
3,COG,Congo - Brazzaville,2,2011,2022,12,12,TRUE
3,CUB,Cuba,1,2004,2015,12,12,TRUE
3,CUB,Cuba,2,2017,2022,6,6,TRUE
3,ERI,Eritrea,1,2014,2022,9,9,TRUE
3,ETH,Ethiopia,1,2009,2010,2,2,FALSE
3,ETH,Ethiopia,2,2012,2012,1,1,FALSE
3,ETH,Ethiopia,3,2016,2017,2,2,FALSE
3,GAB,Gabon,1,2017,2022,6,6,TRUE
3,GHA,Ghana,1,2019,2019,1,1,FALSE
3,GIN,Guinea,1,2019,2019,1,1,FALSE
3,GIN,Guinea,2,2022,2022,1,1,FALSE
3,GMB,Gambia,1,2011,2013,3,3,TRUE
3,GMB,Gambia,2,2015,2017,3,3,TRUE
3,GMB,Gambia,3,2019,2019,1,1,FALSE
3,GNQ,Equatorial Guinea,1,2006,2006,1,1,FALSE
3,GNQ,Equatorial Guinea,2,2013,2015,3,3,TRUE
3,GNQ,Equatorial Guinea,3,2017,2022,6,6,TRUE
3,IDN,Indonesia,1,2013,2013,1,1,FALSE
3,IDN,Indonesia,2,2016,2022,7,7,TRUE
3,IRN,Iran,1,2007,2019,13,13,TRUE
3,IRN,Iran,2,2022,2022,1,1,FALSE
3,IRQ,Iraq,1,2014,2016,3,3,TRUE
3,IRQ,Iraq,2,2019,2022,4,4,TRUE
3,JPN,Japan,1,2008,2022,15,15,TRUE
3,KAZ,Kazakhstan,1,2007,2022,16,16,TRUE
3,KOR,South Korea,1,2003,2022,20,20,TRUE
3,KWT,Kuwait,1,2018,2022,5,5,TRUE
3,LAO,Laos,1,2003,2003,1,1,FALSE
3,LAO,Laos,2,2014,2014,1,1,FALSE
3,LBR,Liberia,1,2012,2012,1,1,FALSE
3,LBR,Liberia,2,2014,2014,1,1,FALSE
3,MLI,Mali,1,2006,2006,1,1,FALSE
3,MLI,Mali,2,2009,2009,1,1,FALSE
3,MLT,Malta,1,2011,2012,2,2,FALSE
3,MLT,Malta,2,2021,2022,2,2,FALSE
3,MMR,Myanmar (Burma),1,2014,2022,9,9,TRUE
3,MOZ,Mozambique,1,2014,2014,1,1,FALSE
3,MRT,Mauritania,1,2006,2022,17,17,TRUE
3,MYS,Malaysia,1,2009,2022,14,14,TRUE
3,NZL,New Zealand,1,2013,2022,10,10,TRUE
3,OMN,Oman,1,2000,2000,1,1,FALSE
3,OMN,Oman,2,2004,2022,19,19,TRUE
3,PAN,Panama,1,2021,2022,2,2,FALSE
3,PER,Peru,1,2010,2022,13,13,TRUE
3,PHL,Philippines,1,2005,2022,18,18,TRUE
3,PNG,Papua New Guinea,1,2018,2019,2,2,FALSE
3,PRK,North Korea,1,2002,2005,4,4,TRUE
3,PRK,North Korea,2,2008,2019,12,12,TRUE
3,PRK,North Korea,3,2022,2022,1,1,FALSE
3,QAT,Qatar,1,2021,2022,2,2,FALSE
3,RUS,Russia,1,2012,2022,11,11,TRUE
3,SAU,Saudi Arabia,1,2013,2022,10,10,TRUE
