metric,min_duration_years,specification,event_time,count,att,se,ci_lo,ci_hi
m2_goods_exports_itpde,3,clean_single_spell,-27,1,-0.048928608008624974,0.0472898533332065,-0.1416167205417097,0.04375950452445976
m2_goods_exports_itpde,3,clean_single_spell,-26,2,-0.09180573334534267,0.06978260134810436,-0.22857963198762724,0.04496816529694189
m2_goods_exports_itpde,3,clean_single_spell,-25,2,-0.028745391385695485,0.03671342320116634,-0.10070370085998151,0.04321291808859054
m2_goods_exports_itpde,3,clean_single_spell,-24,2,-0.07046799707153817,0.13242500820121444,-0.3300210131459185,0.18908501900284214
m2_goods_exports_itpde,3,clean_single_spell,-23,3,0.025895848601443543,0.14319631440051564,-0.25476892762356707,0.3065606248264542
m2_goods_exports_itpde,3,clean_single_spell,-22,6,-0.063215529804475007,0.06506543521527895,-0.19074378282642174,0.06431272321747172
m2_goods_exports_itpde,3,clean_single_spell,-21,7,0.14513429002828515,0.030724905024556593,0.08491347618015423,0.2053551038764161
m2_goods_exports_itpde,3,clean_single_spell,-20,8,0.011460327683706417,0.05577253641044651,-0.09785384368076873,0.12077449904818156
m2_goods_exports_itpde,3,clean_single_spell,-19,10,0.03851820329886499,0.052970472939790486,-0.06530392366312436,0.14234033026085435
m2_goods_exports_itpde,3,clean_single_spell,-18,13,-0.03506218079544084,0.04533659101355994,-0.12392189918201832,0.053797537591136646
m2_goods_exports_itpde,3,clean_single_spell,-17,17,-0.03484001039726793,0.03769257439214951,-0.10871745620588097,0.039037435411345106
m2_goods_exports_itpde,3,clean_single_spell,-16,19,-0.005051459376565226,0.03817936167771695,-0.07988300826489045,0.06978008951175999
m2_goods_exports_itpde,3,clean_single_spell,-15,20,0.008279658619474576,0.0369490663969028,-0.0641405115184549,0.08069982875740406
m2_goods_exports_itpde,3,clean_single_spell,-14,24,0.005786546851077726,0.024851836566784042,-0.042923052819818994,0.054496146521974445
m2_goods_exports_itpde,3,clean_single_spell,-13,24,-0.040812122970685025,0.04033796758076645,-0.11987453942898726,0.038250293487617215
m2_goods_exports_itpde,3,clean_single_spell,-12,25,0.003535780427178781,0.03957455885980812,-0.07403035493804513,0.0811019157924027
m2_goods_exports_itpde,3,clean_single_spell,-11,26,-0.031516667520434145,0.024873902781570367,-0.08026951697231206,0.017236181931443773
m2_goods_exports_itpde,3,clean_single_spell,-10,26,-0.01824235426440123,0.031105857397713654,-0.07920983476391999,0.04272512623511754
m2_goods_exports_itpde,3,clean_single_spell,-9,26,0.03507950860314726,0.027348041030629728,-0.01852265181688701,0.08868166902318153
m2_goods_exports_itpde,3,clean_single_spell,-8,26,0.0390374863039657,0.037102758593767396,-0.0336839205398184,0.11175889314774981
m2_goods_exports_itpde,3,clean_single_spell,-7,26,-0.005268543774751315,0.02757063830052993,-0.05930699484378997,0.048769907294287346
m2_goods_exports_itpde,3,clean_single_spell,-6,25,-0.009476534846576923,0.029513315980083037,-0.06732263416753968,0.04836956447438583
m2_goods_exports_itpde,3,clean_single_spell,-5,26,0.02157073012817041,0.02619792843048623,-0.029777209595582593,0.07291866985192341
m2_goods_exports_itpde,3,clean_single_spell,-4,26,0.0028993210076818984,0.03397645184817234,-0.0636945246147359,0.06949316663009969
m2_goods_exports_itpde,3,clean_single_spell,-3,26,-0.004494586318290782,0.031113894235861753,-0.06547781902057982,0.05648864638399825
m2_goods_exports_itpde,3,clean_single_spell,-2,26,0.02424436999194552,0.02635804082658563,-0.027417390028162313,0.07590613001205335
m2_goods_exports_itpde,3,clean_single_spell,-1,26,-0.019802924034018697,0.031368874663348756,-0.08128591837418225,0.041680070306144866
m2_goods_exports_itpde,3,clean_single_spell,0,26,0.003397794207577469,0.024618373102641082,-0.044854217073599045,0.05164980548875399
m2_goods_exports_itpde,3,clean_single_spell,1,26,-0.054598219704809076,0.033890634289852624,-0.12102386291292022,0.01182742350330207
m2_goods_exports_itpde,3,clean_single_spell,2,26,-0.05511092830899711,0.035709532265622755,-0.12510161154961771,0.014879754931623496
m2_goods_exports_itpde,3,clean_single_spell,3,26,-0.10071181751877431,0.03813426928211186,-0.17545498531171355,-0.02596864972583507
m2_goods_exports_itpde,3,clean_single_spell,4,25,-0.11820266581041666,0.04250321529365765,-0.20150896778598565,-0.03489636383484766
m2_goods_exports_itpde,3,clean_single_spell,5,25,-0.16292489491522041,0.034993589689532416,-0.23151233070670396,-0.09433745912373688
m2_goods_exports_itpde,3,clean_single_spell,6,24,-0.17907684543409508,0.06321841080056907,-0.30298493060321047,-0.0551687602649797
m2_goods_exports_itpde,3,clean_single_spell,7,23,-0.1687544305150937,0.06737239072407615,-0.30080431633428295,-0.03670454469590445
m2_goods_exports_itpde,3,clean_single_spell,8,23,-0.1535033976807364,0.07223115122696085,-0.29507645408557964,-0.011930341275893153
m2_goods_exports_itpde,3,clean_single_spell,9,23,-0.19364734225719926,0.05472153194756661,-0.3009015448744298,-0.08639313963996871
m2_goods_exports_itpde,3,clean_single_spell,10,21,-0.13935774365750092,0.07288536103227036,-0.2822130512807508,0.00349756396574899
m2_goods_exports_itpde,3,clean_single_spell,11,18,-0.17881341461180775,0.08517366219724258,-0.3457537925184032,-0.011873036705212281
m2_goods_exports_itpde,3,clean_single_spell,12,16,-0.15309765478549225,0.09588645079675356,-0.3410350983471292,0.034839788776144714
m2_goods_exports_itpde,3,clean_single_spell,13,16,-0.08703169876411553,0.07703293604127108,-0.23801625340500682,0.06395285587677578
m2_goods_exports_itpde,3,clean_single_spell,14,13,-0.0673095321390047,0.09138754362273391,-0.24642911763956316,0.11181005336155375
m2_goods_exports_itpde,3,clean_single_spell,15,9,-0.08190181499426497,0.10654891769264903,-0.2907376936718571,0.12693406368332713
m2_goods_exports_itpde,3,clean_single_spell,16,7,-0.07351504365594477,0.17196145775147567,-0.4105595008488371,0.2635294135369476
