generated_on,nboots,durations,rank_window_start,rank_window_end,model_window_start,min_entry_year,itpd_file,itpd_md5,unga_object,unga_object_md5,unga_object_mtime,script_md5,helper_md5,goods_sectors,output
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,data/processed/diagnostics/china_top_m2_goods_status_current_min5/m2_goods_status_current_itpde_sector_audit_2026-05-20.csv
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,data/processed/diagnostics/china_top_m2_goods_status_current_min5/m2_goods_exports_country_partner_year_2026-05-20.csv
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,data/processed/diagnostics/china_top_m2_goods_status_current_min5/m2_goods_status_current_full_panel_2026-05-20.csv
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,data/processed/diagnostics/china_top_m2_goods_status_current_min5/m2_goods_status_current_min_duration_model_results_2026-05-20.csv
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,data/processed/diagnostics/china_top_m2_goods_status_current_min5/m2_goods_status_current_min_duration_dynamic_2026-05-20.csv
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,data/processed/diagnostics/china_top_m2_goods_status_current_min5/m2_goods_status_current_min_duration_sample_counts_2026-05-20.csv
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,data/processed/diagnostics/china_top_m2_goods_status_current_min5/m2_goods_status_current_min_duration_unit_summary_2026-05-20.csv
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,data/processed/diagnostics/china_top_m2_goods_status_current_min5/m2_goods_status_current_min_duration_period_summary_2026-05-20.csv
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,data/processed/diagnostics/china_top_m2_goods_status_current_min5/m2_goods_status_current_min_duration_country_exclusion_audit_2026-05-20.csv
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,data/processed/diagnostics/china_top_m2_goods_status_current_min5/m2_goods_status_current_min_duration_session_info_2026-05-20.txt
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,quality_reports/cross_country_m2_goods_status_current/figures/figure_m2_goods_status_current_min5_risk_set_dynamic_2026-05-20.pdf
2026-05-20,10000,"3,5,7",1990,2023,1990,2000,raw data/ITPDE_R03.csv,9e246c3fd26206ea2a9249a1a6d0f390,_targets/objects/unga_data,a244626077edde9b12fa531876ce745c,2025-06-27 22:26:50 -03,cf472c363f5adfbe26e0dbd619c35f38,9a8681bef3648102bd88688bdd651ec5,Agriculture; Mining and Energy; Manufacturing,quality_reports/cross_country_m2_goods_status_current/figures/figure_m2_goods_status_current_min5_risk_set_dynamic_2026-05-20.png
