min_duration_years,audit_role,iso3c,country_name,first_year_in_panel,last_year_in_panel,trade_years_observed,ever_observed_china_top,first_observed_china_top_year,n_observed_china_top_periods,n_qualifying_periods,n_short_eligible_periods,n_pre_min_entry_periods,n_no_clean_prior_periods,longest_observed_china_top_period,first_qualifying_entry,sample,ever_treated,treated_years,untreated_years,first_treat
3,never_china_top_control,COL,Colombia,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,COM,Comoros,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,CPV,Cape Verde,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,CRI,Costa Rica,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,CYP,Cyprus,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,CZE,Czechia,1993,2023,30,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,30,
3,never_china_top_control,DEU,Germany,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,DJI,Djibouti,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,DMA,Dominica,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,DNK,Denmark,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,DOM,Dominican Republic,1990,2023,31,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,31,
3,never_china_top_control,DZA,Algeria,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,ECU,Ecuador,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,EGY,Egypt,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,ESP,Spain,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,EST,Estonia,1991,2023,31,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,31,
3,never_china_top_control,FIN,Finland,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,FJI,Fiji,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,FRA,France,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,FSM,Micronesia (Federated States of),1991,2023,31,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,31,
3,never_china_top_control,GBR,United Kingdom,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,GEO,Georgia,1993,2023,30,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,30,
3,never_china_top_control,GNB,Guinea-Bissau,1990,2023,30,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,30,
3,never_china_top_control,GRC,Greece,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,GRD,Grenada,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,GTM,Guatemala,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,GUY,Guyana,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,HND,Honduras,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,HRV,Croatia,1992,2023,31,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,31,
3,never_china_top_control,HTI,Haiti,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,HUN,Hungary,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,IND,India,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,IRL,Ireland,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,ISL,Iceland,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,ISR,Israel,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,ITA,Italy,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,JAM,Jamaica,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,JOR,Jordan,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,KEN,Kenya,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,KHM,Cambodia,1991,2023,30,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,30,
3,never_china_top_control,KIR,Kiribati,2000,2023,23,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,23,
3,never_china_top_control,KNA,St. Kitts & Nevis,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,LBN,Lebanon,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,LBY,Libya,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,LCA,St. Lucia,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,LKA,Sri Lanka,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,LSO,Lesotho,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,LTU,Lithuania,1991,2023,31,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,31,
3,never_china_top_control,LUX,Luxembourg,1990,2023,24,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,24,
3,never_china_top_control,LVA,Latvia,1991,2023,31,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,31,
3,never_china_top_control,MAR,Morocco,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,MCO,Monaco,1993,2023,10,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,10,
3,never_china_top_control,MDA,Moldova,1992,2023,31,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,31,
3,never_china_top_control,MDG,Madagascar,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,MDV,Maldives,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
