event_time,count,att,se,ci_lo,ci_hi
-27,1,-0.03144092274624366,0.04639424453724075,-0.12237364203923554,0.059491796546748216
-26,2,-0.08290932708448048,0.07526611393387427,-0.23043091039487404,0.06461225622591307
-25,3,-0.08339808833926955,0.05331385454772801,-0.18789324325281645,0.021097066574277346
-24,3,0.04328034926951748,0.15121564348134697,-0.2531023119539226,0.3396630104929575
-23,4,0.09601038993734407,0.12110650892874322,-0.14135836756299264,0.33337914743768077
-22,7,-0.07950539104599988,0.058204939845558426,-0.19358707314329437,0.03457629105129463
-21,9,0.09277293397908429,0.0339276144172576,0.026274809721259396,0.15927105823690918
-20,11,-0.005279122709211013,0.04584084652386116,-0.09512718189597888,0.08456893647755687
-19,14,0.015961289239037585,0.0461371295216813,-0.07446748462345776,0.10639006310153293
-18,16,-0.006121376469801609,0.040531442226138185,-0.08556300323303245,0.07332025029342923
-17,21,-0.024946067268526176,0.03276482467522358,-0.0891651236319644,0.039272989094912045
-16,25,-0.03534282485565853,0.0337409552710309,-0.10147509718687911,0.03078944747556204
-15,26,0.01574686958968951,0.03155391388401401,-0.04609880162297795,0.07759254080235697
-14,27,0.011792750260061081,0.02322923292811886,-0.03373654627905188,0.05732204679917404
-13,31,-0.049238515009398375,0.035876905259713224,-0.11955724931843628,0.02108021929963954
-12,32,0.010406474905026159,0.03292229361265958,-0.05412122057578662,0.07493417038583894
-11,32,-0.014660814129886596,0.026932624220869946,-0.06744875760279169,0.0381271293430185
-10,33,-0.008922607453212765,0.03142187034302045,-0.07050947332553284,0.05266425841910732
-9,34,0.04308721866794392,0.03156586884428036,-0.01878188426684558,0.10495632160273341
-8,34,0.02760886567838411,0.028744754259214002,-0.02873085266967533,0.08394858402644355
-7,33,0.022041272277718384,0.03197655259950343,-0.04063277081730834,0.0847153153727451
-6,32,-0.007146635489139546,0.028396488677432025,-0.06280375329690631,0.04851048231862722
-5,33,0.008907411737007272,0.02337527787994146,-0.03690813290767799,0.054722956381692535
-4,34,-0.01687845067014958,0.02860406487497802,-0.07294241782510649,0.03918551648480734
-3,32,-0.016278805725087952,0.029627571106578012,-0.07434884509398086,0.04179123364380495
-2,32,0.030484254261111857,0.025691466339575697,-0.01987101976445651,0.08083952828668023
-1,33,-0.03164865545680188,0.030695303776696076,-0.09181145085912618,0.028514139945522425
0,35,0.007071995657974301,0.022328291318295276,-0.03669145532588444,0.05083544664183304
1,35,-0.052091538599299124,0.02875071027887782,-0.10844293074589964,0.0042598535473014
2,35,-0.04228666647513222,0.032186976389362326,-0.10537314019828237,0.020799807248017936
3,35,-0.047423506924457764,0.04305047952246507,-0.1318024467884893,0.03695543293957376
4,35,-0.07464355278331841,0.04738217478525009,-0.16751261536240858,0.01822550979577177
5,35,-0.08019975502695552,0.050329473566799336,-0.17884552321788222,0.01844601316397118
6,34,-0.11330735237339662,0.05718818260752608,-0.22539619028414776,-0.0012185144626454952
7,31,-0.09640128295722586,0.06601442843316588,-0.225789562686231,0.03298699677177927
8,29,-0.16586487916642198,0.0854906724619858,-0.33342659719191414,0.0016968388590701822
9,29,-0.20358774215375033,0.06926329530011606,-0.3393438009419778,-0.06783168336552287
10,27,-0.14690889597091922,0.08470371078108253,-0.31292816910184096,0.01911037716000255
11,24,-0.18183689469502554,0.08531991174095895,-0.34906392170730505,-0.014609867682745997
12,21,-0.15576802742890983,0.10583131150408641,-0.3631973979769192,0.051661343119099534
13,18,-0.07392237927790556,0.07589663077322177,-0.22267977559342023,0.0748350170376091
14,15,-0.05727746099721804,0.08562256914247715,-0.22509769651647324,0.11054277452203717
15,11,-0.0755500069493453,0.09624598283686644,-0.26419213330960356,0.11309211941091293
16,9,-0.08038214561317746,0.1408831674156908,-0.3565131537479314,0.19574886252157647
17,6,-0.09667840985946027,0.11166052835751689,-0.31553304544019334,0.12217622572127282
18,5,0.08873875683064729,0.13243677010072535,-0.17083731256677437,0.348314826228069
19,4,-0.21135094002351945,0.23967170138979146,-0.6811074747475108,0.2584055947004718
20,2,-0.02782809242005868,0.3225423429672753,-0.6600110846359183,0.6043548997958009
