iso3c,country_name,trade_rank_years,outcome_years,ever_observed_china_top,unknown_trade_rank_years,n_observed_china_top_periods,n_qualifying_periods,first_qualifying_entry,longest_china_top_period,total_qualifying_treated_years,country_role,first_treat
LIE,Liechtenstein,0,34,FALSE,34,0,0,,0,0,excluded_no_observed_trade_rank,0
YAR,Yemen Arab Republic,0,1,FALSE,34,0,0,,0,0,excluded_no_observed_trade_rank,0
ABW,Aruba,33,0,TRUE,1,1,0,,1,0,excluded_nonqualifying_china_top,0
ARM,Armenia,31,33,TRUE,3,3,0,,2,0,excluded_nonqualifying_china_top,0
BEN,Benin,33,34,TRUE,1,3,0,,2,0,excluded_nonqualifying_china_top,0
BFA,Burkina Faso,33,34,TRUE,1,2,0,,3,0,excluded_nonqualifying_china_top,0
CAF,Central African Republic,33,27,TRUE,1,3,0,,2,0,excluded_nonqualifying_china_top,0
CMR,Cameroon,33,34,TRUE,1,4,0,,3,0,excluded_nonqualifying_china_top,0
COK,Cook Islands,33,0,TRUE,1,1,0,,1,0,excluded_nonqualifying_china_top,0
ETH,Ethiopia,30,34,TRUE,4,3,0,,2,0,excluded_nonqualifying_china_top,0
FRE,FRE,33,0,TRUE,1,3,0,,3,0,excluded_nonqualifying_china_top,0
GHA,Ghana,33,34,TRUE,1,1,0,,1,0,excluded_nonqualifying_china_top,0
GIN,Guinea,33,34,TRUE,1,2,0,,1,0,excluded_nonqualifying_china_top,0
GMB,Gambia,33,34,TRUE,1,3,0,,3,0,excluded_nonqualifying_china_top,0
IRQ,Iraq,33,25,TRUE,1,2,0,,4,0,excluded_nonqualifying_china_top,0
KGZ,Kyrgyzstan,31,30,TRUE,3,1,0,,4,0,excluded_nonqualifying_china_top,0
LAO,Laos,33,34,TRUE,1,2,0,,1,0,excluded_nonqualifying_china_top,0
LBR,Liberia,33,25,TRUE,1,2,0,,1,0,excluded_nonqualifying_china_top,0
MLI,Mali,33,34,TRUE,1,3,0,,2,0,excluded_nonqualifying_china_top,0
MLT,Malta,33,34,TRUE,1,2,0,,2,0,excluded_nonqualifying_china_top,0
MNG,Mongolia,33,34,TRUE,1,1,0,,30,0,excluded_nonqualifying_china_top,0
MOZ,Mozambique,33,34,TRUE,1,1,0,,1,0,excluded_nonqualifying_china_top,0
PAN,Panama,33,34,TRUE,1,1,0,,2,0,excluded_nonqualifying_china_top,0
PNG,Papua New Guinea,33,34,TRUE,1,1,0,,2,0,excluded_nonqualifying_china_top,0
QAT,Qatar,33,34,TRUE,1,1,0,,2,0,excluded_nonqualifying_china_top,0
SOM,Somalia,33,24,TRUE,1,1,0,,1,0,excluded_nonqualifying_china_top,0
SSD,South Sudan,11,13,TRUE,23,1,0,,11,0,excluded_nonqualifying_china_top,0
TCD,Chad,33,33,TRUE,1,1,0,,2,0,excluded_nonqualifying_china_top,0
TLS,Timor-Leste,21,22,TRUE,13,1,0,,2,0,excluded_nonqualifying_china_top,0
TZA,Tanzania,33,34,TRUE,1,1,0,,1,0,excluded_nonqualifying_china_top,0
UKR,Ukraine,31,34,TRUE,3,2,0,,2,0,excluded_nonqualifying_china_top,0
UZB,Uzbekistan,31,29,TRUE,3,1,0,,2,0,excluded_nonqualifying_china_top,0
VEN,Venezuela,33,32,TRUE,1,1,0,,2,0,excluded_nonqualifying_china_top,0
VNM,Vietnam,33,34,TRUE,1,1,0,,1,0,excluded_nonqualifying_china_top,0
ZMB,Zambia,33,34,TRUE,1,4,0,,2,0,excluded_nonqualifying_china_top,0
AFG,Afghanistan,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
AIA,Anguilla,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
ALB,Albania,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
AND,Andorra,33,31,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
ANT,ANT,21,0,FALSE,13,0,0,,0,0,never_observed_china_top_control,0
ARE,United Arab Emirates,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
ARG,Argentina,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
ASM,American Samoa,23,0,FALSE,11,0,0,,0,0,never_observed_china_top_control,0
ATA,Antarctica,23,0,FALSE,11,0,0,,0,0,never_observed_china_top_control,0
ATF,French Southern Territories,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
ATG,Antigua & Barbuda,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
AUT,Austria,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
AZE,Azerbaijan,31,33,FALSE,3,0,0,,0,0,never_observed_china_top_control,0
BDI,Burundi,33,33,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BEL,Belgium,24,34,FALSE,10,0,0,,0,0,never_observed_china_top_control,0
BES,Caribbean Netherlands,12,0,FALSE,22,0,0,,0,0,never_observed_china_top_control,0
BGD,Bangladesh,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BGR,Bulgaria,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BHR,Bahrain,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BHS,Bahamas,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BIH,Bosnia & Herzegovina,31,31,FALSE,3,0,0,,0,0,never_observed_china_top_control,0
BLM,St. Barthélemy,10,0,FALSE,24,0,0,,0,0,never_observed_china_top_control,0
BLR,Belarus,31,34,FALSE,3,0,0,,0,0,never_observed_china_top_control,0
BLX,BLX,10,0,FALSE,24,0,0,,0,0,never_observed_china_top_control,0
BLZ,Belize,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BMU,Bermuda,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BOL,Bolivia,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BRB,Barbados,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BRN,Brunei,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BTN,Bhutan,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
BVT,Bouvet Island,25,0,FALSE,9,0,0,,0,0,never_observed_china_top_control,0
BWA,Botswana,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
CAN,Canada,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
CCK,Cocos (Keeling) Islands,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
CHE,Switzerland,33,22,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
CIV,Côte d’Ivoire,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
COL,Colombia,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
COM,Comoros,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
CPV,Cape Verde,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
CRI,Costa Rica,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
CSK,Czechoslovakia,3,3,FALSE,31,0,0,,0,0,never_observed_china_top_control,0
CUW,Curaçao,13,0,FALSE,21,0,0,,0,0,never_observed_china_top_control,0
CXR,Christmas Island,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
CYM,Cayman Islands,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
CYP,Cyprus,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
CZE,Czechia,30,31,FALSE,4,0,0,,0,0,never_observed_china_top_control,0
DDR,DDR,1,0,FALSE,33,0,0,,0,0,never_observed_china_top_control,0
DEU,Germany,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
DJI,Djibouti,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
DMA,Dominica,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
DNK,Denmark,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
DOM,Dominican Republic,33,32,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
DZA,Algeria,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
ECU,Ecuador,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
EGY,Egypt,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
ESH,Western Sahara,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
ESP,Spain,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
EST,Estonia,31,33,FALSE,3,0,0,,0,0,never_observed_china_top_control,0
ETF,ETF,3,0,FALSE,31,0,0,,0,0,never_observed_china_top_control,0
FIN,Finland,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
FJI,Fiji,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
FLK,Falkland Islands,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
FRA,France,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
FRO,Faroe Islands,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
FSM,Micronesia (Federated States of),32,32,FALSE,2,0,0,,0,0,never_observed_china_top_control,0
GBR,United Kingdom,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
GEO,Georgia,31,31,FALSE,3,0,0,,0,0,never_observed_china_top_control,0
GIB,Gibraltar,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
GLP,Guadeloupe,10,0,FALSE,24,0,0,,0,0,never_observed_china_top_control,0
GNB,Guinea-Bissau,33,31,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
GRC,Greece,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
GRD,Grenada,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
GRL,Greenland,33,0,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
GTM,Guatemala,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
GUF,French Guiana,10,0,FALSE,24,0,0,,0,0,never_observed_china_top_control,0
GUM,Guam,23,0,FALSE,11,0,0,,0,0,never_observed_china_top_control,0
GUY,Guyana,33,34,FALSE,1,0,0,,0,0,never_observed_china_top_control,0
HMD,Heard & McDonald Islands,23,0,FALSE,11,0,0,,0,0,never_observed_china_top_control,0
