event_time,coef,placebo_low,placebo_high
-6,-0.07994719143537389,-0.2404863921252548,0.2120691361403064
-5,-0.026111250024489798,-0.18260021140327984,0.18642789393403783
-4,-0.029959847480272053,-0.18014053079300288,0.16599278855247823
-3,0.037905537725170226,-0.17440439308673472,0.1554392439679299
-2,-0.03675582332108823,-0.10616039026895036,0.11125601638848397
-1,0,0,0
0,-0.08171369826394545,-0.18185927609730318,0.17792326753935866
1,-0.04916181903945572,-0.1784942826337464,0.17007967794679285
2,-0.16522717306802717,-0.22470387209293008,0.2354351497612245
3,-0.16247884889387748,-0.20265997486005827,0.20526220986297378
4,-0.1948943087278908,-0.20319804808126785,0.21188025038046682
5,-0.07977842747755079,-0.19168356310976664,0.18841119459621006
6,-0.1830937701700679,-0.22817001093768233,0.2521231547201161
