event_time,gap
-6,-0.0298677665792788
-5,0.013969354435212978
-4,0.0016262177689613047
-3,0.029646592321853606
-2,-0.003502296512894088
-1,0.01730712254317628
0,-0.020259972261890056
1,-0.016004309779062423
2,-0.10019267348640695
3,-0.11501221259076307
4,-0.13251198649055293
5,-0.03507010762320734
6,-0.09242191634911849
