iso3c,event_time,coef
KOR,-6,-0.10611498753333248
KOR,-5,-0.12887896362857088
KOR,-4,-0.09649664251428525
KOR,-3,-0.029771483066665883
KOR,-2,-0.11637041238095136
KOR,-1,0
KOR,0,0.14760081713333406
KOR,1,0.12633213000952392
KOR,2,-0.10115615163809466
KOR,3,0.07462700731428629
KOR,4,-0.08760303057142771
KOR,5,-0.020443245828570933
KOR,6,0.008612881123809757
AUS,-10,-0.7240435948476189
AUS,-9,-0.8156552709428572
AUS,-8,-0.7423293498285717
AUS,-7,-0.7208093903809524
AUS,-6,-0.6701433196952379
AUS,-5,-0.5650401073142863
AUS,-4,-0.34811759018095256
AUS,-3,-0.14817857730476236
AUS,-2,-0.18141115895238102
AUS,-1,0
AUS,0,-0.22007163788571438
AUS,1,-0.17614655314285765
AUS,2,-0.36196482619047665
AUS,3,-0.22367661714285747
AUS,4,-0.29821854180952423
AUS,5,-0.228299696571429
AUS,6,-0.366867404095238
BRA,-12,-0.012751141704761548
BRA,-11,-0.0947484978
BRA,-10,0.15813355031428544
BRA,-9,0.21455121276190492
BRA,-8,0.0872889234476194
BRA,-7,0.06770401582857088
BRA,-6,0.15939237296190478
BRA,-5,0.15305527583809486
BRA,-4,0.04666069419047625
BRA,-3,0.10056885314285724
BRA,-2,-0.0027887847428569312
BRA,-1,0
BRA,0,-0.16969677304761943
BRA,1,-0.18304586400000022
BRA,2,-0.2879866886666669
BRA,3,-0.29871084342857157
BRA,4,-0.2985994509523806
BRA,5,-0.38941068419047575
BRA,6,-0.039950343895237994
CHL,-12,-0.07175199270476174
CHL,-11,-0.35566870280000007
CHL,-10,-0.10500983168571454
CHL,-9,-0.050736562238095195
CHL,-8,0.02179784844761934
CHL,-7,-0.2517928691714292
CHL,-6,-0.021400472038095253
CHL,-5,0.12394029083809488
CHL,-4,-0.055806460809523784
CHL,-3,-0.015337775857142799
CHL,-2,-0.008424389742856975
CHL,-1,0
CHL,0,-0.10911328804761955
CHL,1,-0.06765744900000026
CHL,2,-0.07404347366666697
CHL,3,-0.1916171284285716
CHL,4,-0.2975460359523807
CHL,5,-0.2243134691904758
CHL,6,-0.49456242889523805
ZAF,-13,0.416684311342858
ZAF,-12,0.2504997452476195
ZAF,-11,0.529091156361905
ZAF,-10,0.5736819958095244
ZAF,-9,0.4920957664952389
ZAF,-8,0.07247181887619036
ZAF,-7,0.21804343600952425
ZAF,-6,0.0695514488857144
ZAF,-5,0.09827946723809577
ZAF,-4,0.015736626190476777
ZAF,-3,-0.05405961169523743
ZAF,-2,-0.05584172695238043
ZAF,-1,0
ZAF,0,0.1466900090476193
ZAF,1,-0.08574021561904743
ZAF,2,0.22315312961904799
ZAF,3,-0.034493977904761275
ZAF,4,0.11844868885714377
ZAF,5,0.5774043291523815
ZAF,6,0.04669043828571462
URY,-16,0.27402070172380993
URY,-15,0.010022925628571488
URY,-14,0.294421746742857
URY,-13,0.3422143561904764
URY,-12,0.23824490687619088
URY,-11,0.21128919925714235
URY,-10,0.36632187639047625
URY,-9,0.3638439392666664
URY,-8,0.22450951761904775
URY,-7,0.25549143657142875
URY,-6,0.1519576586857146
URY,-5,0.19254924342857155
URY,-4,0.12457537038095207
URY,-3,0.25822407942857134
URY,-2,0.017071654761904587
URY,-1,0
URY,0,-0.20380700752380915
URY,1,-0.04535674076190416
URY,2,-0.04882280046666648
URY,3,-0.2456492913333334
URY,4,-0.161583295333333
URY,5,-0.13896861285714274
URY,6,-0.21292376685714282
NZL,-16,0.057981301723809775
NZL,-15,-0.03809377437142836
NZL,-14,-0.04319755325714292
NZL,-13,-0.012071293809523431
NZL,-12,-0.011196823123808985
NZL,-11,-0.1790039107428576
NZL,-10,-2.973936095236329e-4
NZL,-9,-0.009671780733333524
NZL,-8,-0.046384962380952355
NZL,-7,-0.038885803428571064
NZL,-6,-0.14287304131428535
NZL,-5,-0.05668395657142844
NZL,-4,0.10372907038095214
NZL,-3,0.15389327942857145
NZL,-2,0.09047405476190451
NZL,-1,0
NZL,0,-0.16359800752380904
NZL,1,0.08748195923809576
NZL,2,-0.5057694004666664
NZL,3,-0.21783109133333334
NZL,4,-0.339158495333333
NZL,5,-0.1344176128571427
NZL,6,-0.22265576685714272
