iso3c,cue,HR_dist_pre,HR_dist_post,dHR,nonHR_dist_pre,nonHR_dist_post,dNonHR,DDD
KOR,2003,0.7974089635854342,0.9852347652347653,0.1906011650782365,0.42919933338976163,0.3655412366690894,-0.00645378941905575,0.19705495449729224
AUS,2007,1.297907647907648,1.4375365731576912,0.08524097106666306,0.6026321415210304,0.5522896768509983,-0.013512082949798498,0.09875305401646156
CHL,2007,0.5347546897546898,0.49872898323208886,-0.09041366070598117,0.22712851063545514,0.17510398208820238,-0.015194146827019056,-0.07521951387896211
BRA,2009,0.3913936063936064,0.30600660554076703,-0.15381597243701703,0.1593535646675743,0.1359356892950755,-0.0322287098131912,-0.12158726262382583
ZAF,2010,0.16557775557775556,0.24413974659970084,-0.004796376936663349,0.13049105461656646,0.2077285812115586,0.02835317005377358,-0.03314954699043693
NZL,2013,1.136153846153846,1.2368719417591598,0.010298089736098914,0.36577545609507367,0.5080857469853588,0.022706217639636733,-0.012408127903537819
URY,2013,0.43790412486064656,0.41547917412579066,-0.11284495660407068,0.16523255614821256,0.2808294676447451,-0.004007161754115807,-0.10883779484995487
