iso3c,year,hr,dist,n,ctrl,gap,cue,e
AUS,1991,FALSE,0.49152542372881364,59,0.2639628226628646,0.22756260106594906,2007,-16
AUS,1991,TRUE,0.8,10,0.33315558862433864,0.4668444113756614,2007,-16
AUS,1992,FALSE,0.5166666666666667,60,0.2995753581504089,0.2170913085162578,2007,-15
AUS,1992,TRUE,1.1818181818181819,11,0.7266904761904762,0.45512770562770566,2007,-15
AUS,1993,FALSE,0.4117647058823529,51,0.30338125388068615,0.10838345200166677,2007,-14
AUS,1993,TRUE,1.1818181818181819,11,0.7377828212779669,0.444035360540215,2007,-14
AUS,1994,FALSE,0.36538461538461536,52,0.2835417958968734,0.08184281948774197,2007,-13
AUS,1994,TRUE,1.0714285714285716,14,0.6988770129546829,0.37255155847388877,2007,-13
AUS,1995,FALSE,0.484375,64,0.3023974022454539,0.18197759775454608,2007,-12
AUS,1995,TRUE,1.0714285714285716,14,0.7952797741632693,0.2761487972653023,2007,-12
AUS,1996,FALSE,0.3220338983050847,59,0.29394032928940267,0.02809356901568205,2007,-11
AUS,1996,TRUE,1.1176470588235294,17,0.7317738711646274,0.385873187658902,2007,-11
AUS,1997,FALSE,0.4262295081967213,61,0.30726109903180937,0.11896840916491191,2007,-10
AUS,1997,TRUE,0.9523809523809522,21,0.6273590648380565,0.32502188754289574,2007,-10
AUS,1998,FALSE,0.41935483870967744,62,0.34203878482441435,0.07731605388526308,2007,-9
AUS,1998,TRUE,1,15,0.5553096141331435,0.4446903858668565,2007,-9
AUS,1999,FALSE,0.5797101449275361,69,0.3803680832377631,0.19934206168977303,2007,-8
AUS,1999,TRUE,1.05,20,0.5995909366983039,0.45040906330169617,2007,-8
AUS,2000,FALSE,0.4237288135593221,59,0.3201950338413263,0.10353377971799582,2007,-7
AUS,2000,TRUE,1,17,0.5252465834818776,0.4747534165181224,2007,-7
AUS,2001,FALSE,0.4333333333333333,60,0.30778846264012477,0.12554487069320852,2007,-6
AUS,2001,TRUE,1.1428571428571428,21,0.5142013412809799,0.6286558015761629,2007,-6
AUS,2002,FALSE,0.6419753086419755,81,0.47511427221484254,0.16686103642713296,2007,-5
AUS,2002,TRUE,1.0952380952380953,21,0.49567211679993634,0.5995659784381591,2007,-5
AUS,2003,FALSE,0.5454545454545454,66,0.30206594875457315,0.24338859669997226,2007,-4
AUS,2003,TRUE,1.2,25,0.5050867450309671,0.6949132549690329,2007,-4
AUS,2004,FALSE,0.6666666666666667,63,0.32087222642439633,0.3457944402422704,2007,-3
AUS,2004,TRUE,1.45,20,0.5325011246063878,0.9174988753936122,2007,-3
AUS,2005,FALSE,0.6493506493506493,77,0.29568144384680006,0.3536692055038493,2007,-2
AUS,2005,TRUE,1.3636363636363635,22,0.5443264767568173,0.8193098868795462,2007,-2
AUS,2006,FALSE,0.6790123456790123,81,0.3028486495398367,0.37616369613917555,2007,-1
AUS,2006,TRUE,1.5357142857142858,28,0.5781956096034888,0.957518676110797,2007,-1
AUS,2007,FALSE,0.5606060606060606,66,0.2573832137593102,0.3032228468467503,2007,0
AUS,2007,TRUE,1.5384615384615385,26,0.5804959481241908,0.9579655903373477,2007,0
AUS,2008,FALSE,0.6666666666666667,69,0.34953220114933625,0.3171344655173305,2007,1
AUS,2008,TRUE,1.3846153846153846,26,0.5548260330786821,0.8297893515367025,2007,1
AUS,2009,FALSE,0.5,62,0.25941285716975915,0.24058714283024085,2007,2
AUS,2009,TRUE,1.48,25,0.5554167855681422,0.9245832144318578,2007,2
AUS,2010,FALSE,0.3968253968253967,63,0.21474184877014998,0.1820835480552467,2007,3
AUS,2010,TRUE,1.4583333333333335,24,0.6596175208867265,0.7987158124466069,2007,3
AUS,2011,FALSE,0.5352112676056338,71,0.34558760142295536,0.1896236661826784,2007,4
AUS,2011,TRUE,1.4166666666666667,24,0.6243208119528236,0.7923458547138431,2007,4
AUS,2012,FALSE,0.5555555555555556,63,0.34339293290185596,0.21216262265369962,2007,5
AUS,2012,TRUE,1.2608695652173914,23,0.5423577405443837,0.7185118246730077,2007,5
AUS,2013,FALSE,0.6511627906976744,43,0.3105695101089998,0.34059328058867455,2007,6
AUS,2013,TRUE,1.5238095238095237,21,0.5619948222203861,0.9618147015891376,2007,6
AUS,2014,FALSE,0.7377049180327869,61,0.31249999776209914,0.4252049202706878,2007,7
AUS,2014,TRUE,1.6111111111111112,18,0.7004926477494351,0.9106184633616761,2007,7
AUS,2015,FALSE,0.6538461538461539,52,0.4085853903356554,0.24526076351049847,2007,8
AUS,2015,TRUE,1.55,20,0.6794730655679692,0.8705269344320309,2007,8
AUS,2016,FALSE,0.7040816326530613,98,0.49016557169115943,0.2139160609619019,2007,9
AUS,2016,TRUE,1.6842105263157894,19,0.7186409408158634,0.965569585499926,2007,9
AUS,2017,FALSE,0.6521739130434782,92,0.5493215228769344,0.1028523901665438,2007,10
AUS,2017,TRUE,1.2666666666666666,30,0.5555539765095702,0.7111126901570964,2007,10
AUS,2018,FALSE,0.8591549295774648,71,0.40905097640715415,0.4501039531703106,2007,11
AUS,2018,TRUE,1.5238095238095237,21,0.720647389410105,0.8031621343994187,2007,11
AUS,2019,FALSE,0.8918918918918917,74,0.42209464127479757,0.4697972506170941,2007,12
AUS,2019,TRUE,1.6923076923076923,13,0.7993445123252816,0.8929631799824107,2007,12
BRA,1991,FALSE,0.09999999999999996,60,0.2639628226628646,-0.1639628226628646,2009,-18
BRA,1991,TRUE,0.10000000000000002,10,0.33315558862433864,-0.2331555886243386,2009,-18
BRA,1992,FALSE,0.11666666666666665,60,0.2995753581504089,-0.18290869148374228,2009,-17
BRA,1992,TRUE,0.5454545454545454,11,0.7266904761904762,-0.1812359307359308,2009,-17
BRA,1993,FALSE,0.15999999999999998,50,0.30338125388068615,-0.14338125388068618,2009,-16
BRA,1993,TRUE,0.5454545454545454,11,0.7377828212779669,-0.1923282758234215,2009,-16
BRA,1994,FALSE,0.19230769230769224,52,0.2835417958968734,-0.09123410358918116,2009,-15
BRA,1994,TRUE,0.5714285714285715,14,0.6988770129546829,-0.12744844152611134,2009,-15
