specified_r,run_label,nboots,elapsed_seconds,att,se,ci_lo,ci_hi,p,r_cv,att_rel_pct,att_sd_units,n_obs,n_countries,n_treated,n_control,n_treated_country_years,n_entries,n_exits,n_left_censored,panel_min,panel_max,pre_treated_mean,outcome_sd
1,smoke,20,0.565999999999999,-0.04663962261936745,0.035357035463412734,-0.1159394121276564,0.0226601668889215,0.18713419756397556,1,6.538169579352263,0.05764199871799992,5002,160,35,125,440,35,0,0,1990,2022,0.7133437279855327,0.8091257009934885
2,smoke,20,1.2540000000000013,-0.10072962830167595,0.03075504117947234,-0.16100950901344174,-0.040449747589910164,0.0010557847427405927,2,14.120770163092939,0.12449194010027693,5002,160,35,125,440,35,0,0,1990,2022,0.7133437279855327,0.8091257009934885
