event_time,count,att,se,ci_lo,ci_hi
-27,1,-0.03144092274624366,0.034153851838437846,-0.09838247234958183,0.035500626857094514
-26,2,-0.08290932708448048,0.0698158635461065,-0.21974841963484923,0.05392976546588826
-25,3,-0.08339808833926955,0.036430145995159674,-0.1548011744897825,-0.011995002188756598
-24,3,0.04328034926951748,0.13497745864345354,-0.22127546967165143,0.3078361682106864
-23,4,0.09601038993734407,0.10331861045433209,-0.10649408655314682,0.298514866427835
-22,7,-0.07950539104599988,0.0454341984769855,-0.16855642006089144,0.009545637968891699
-21,9,0.09277293397908429,0.04466958577434591,0.005220545861366305,0.18032532209680227
-20,11,-0.005279122709211013,0.047719368267336915,-0.09880908451319136,0.08825083909476934
-19,14,0.015961289239037585,0.05137288775988535,-0.0847295707703377,0.11665214924841287
-18,16,-0.006121376469801609,0.03886743159795451,-0.08230154240179245,0.07005878946218923
-17,21,-0.024946067268526176,0.03093597230492428,-0.08558057298617777,0.03568843844912541
-16,25,-0.03534282485565853,0.03611112431265606,-0.1061206285084644,0.03543497879714735
-15,26,0.01574686958968951,0.02373373812801967,-0.03077125714122904,0.06226499632060806
-14,27,0.011792750260061081,0.020075550327691566,-0.02755532838221439,0.05114082890233655
-13,31,-0.049238515009398375,0.030082646509376105,-0.10820050216777555,0.009723472148978791
-12,32,0.010406474905026159,0.03261480349465357,-0.05351853994449484,0.07433148975454716
-11,32,-0.014660814129886596,0.031113228810311155,-0.07564274259809646,0.04632111433832327
-10,33,-0.008922607453212765,0.02682105992471969,-0.06149188490566336,0.04364666999923783
-9,34,0.04308721866794392,0.022522129612611082,-0.001056155372773801,0.08723059270866164
-8,34,0.02760886567838411,0.031923826475291274,-0.034961834213186785,0.090179565569955
-7,33,0.022041272277718384,0.04244734773544714,-0.06115552928375801,0.10523807383919478
-6,32,-0.007146635489139546,0.036558112077006544,-0.07880053516007238,0.06450726418179328
-5,33,0.008907411737007272,0.02865333966720343,-0.047253134010711455,0.06506795748472599
-4,34,-0.01687845067014958,0.029965687418151882,-0.07561119800972727,0.04185429666942811
-3,32,-0.016278805725087952,0.0382017289536169,-0.09115419447417708,0.05859658302400117
-2,32,0.030484254261111857,0.03402530172698707,-0.036205337123782794,0.09717384564600651
-1,33,-0.03164865545680188,0.02524507502818696,-0.08112900251204833,0.01783169159844456
0,35,0.007071995657974301,0.029189971085518965,-0.05014034766964287,0.06428433898559147
1,35,-0.052091538599299124,0.024602696820268666,-0.10031282436702571,-0.0038702528315725376
2,35,-0.04228666647513222,0.030645693914743012,-0.10235222654802853,0.017778893597764085
3,35,-0.047423506924457764,0.03716766556081421,-0.12027213142365362,0.025425117574738088
4,35,-0.07464355278331841,0.04233916349965263,-0.15762831324263757,0.008341207676000745
5,35,-0.08019975502695552,0.04568328414826735,-0.16973899195755954,0.009339481903648486
6,34,-0.11330735237339662,0.04657018505321963,-0.2045849150777071,-0.02202978966908614
7,31,-0.09640128295722586,0.03662716488286686,-0.1681905261276449,-0.024612039786806816
8,29,-0.16586487916642198,0.07432559786471091,-0.31154305098125534,-0.020186707351588618
9,29,-0.20358774215375033,0.0625823973721571,-0.3262492410031782,-0.08092624330432244
10,27,-0.14690889597091922,0.07556948189735345,-0.295025080489732,0.001207288547893537
11,24,-0.18183689469502554,0.08252773210238078,-0.3435912496156919,-0.020082539774359226
12,21,-0.15576802742890983,0.0884873955550347,-0.3292033227167778,0.01766726785895817
13,18,-0.07392237927790556,0.07380753091195277,-0.218585139865333,0.07074038130952189
14,15,-0.05727746099721804,0.08186077007432169,-0.21772457034288853,0.10316964834845246
15,11,-0.0755500069493453,0.06916677394438328,-0.21111688388033653,0.06001686998164593
16,9,-0.08038214561317746,0.1783690824925473,-0.42998554729857014,0.2692212560722152
17,6,-0.09667840985946027,0.0866444618164434,-0.2665015550196893,0.07314473530076879
18,5,0.08873875683064729,0.10464100154900317,-0.11635760620539894,0.29383511986669353
19,4,-0.21135094002351945,0.18984769842750226,-0.5834524289414239,0.160750548894385
20,2,-0.02782809242005868,0.2970393158746628,-0.6100251515343977,0.5543689666942804
