iso3c,old_country_name,old_in_estimation,old_n_obs,old_ever_treated,old_treated_years,old_first_treat,new_country_name,new_in_estimation,new_n_obs,new_ever_treated,new_treated_years,new_first_treat,country_name,classification_change
JOR,Jordan,TRUE,33,FALSE,0,,Jordan,TRUE,33,FALSE,0,,Jordan,unchanged
JPN,Japan,TRUE,33,TRUE,15,2008,Japan,TRUE,33,TRUE,15,2008,Japan,unchanged
KEN,Kenya,TRUE,33,FALSE,0,,Kenya,TRUE,33,FALSE,0,,Kenya,unchanged
KHM,Cambodia,TRUE,30,FALSE,0,,Cambodia,TRUE,30,FALSE,0,,Cambodia,unchanged
KIR,Kiribati,TRUE,23,FALSE,0,,Kiribati,TRUE,23,FALSE,0,,Kiribati,unchanged
KNA,St. Kitts & Nevis,TRUE,33,FALSE,0,,St. Kitts & Nevis,TRUE,33,FALSE,0,,St. Kitts & Nevis,unchanged
KOR,South Korea,TRUE,32,TRUE,20,2003,South Korea,TRUE,32,TRUE,20,2003,South Korea,unchanged
KWT,Kuwait,TRUE,33,TRUE,5,2018,Kuwait,TRUE,33,TRUE,5,2018,Kuwait,unchanged
LBN,Lebanon,TRUE,33,FALSE,0,,Lebanon,TRUE,33,FALSE,0,,Lebanon,unchanged
LBY,Libya,TRUE,33,FALSE,0,,Libya,TRUE,33,FALSE,0,,Libya,unchanged
LCA,St. Lucia,TRUE,33,FALSE,0,,St. Lucia,TRUE,33,FALSE,0,,St. Lucia,unchanged
LKA,Sri Lanka,TRUE,33,FALSE,0,,Sri Lanka,TRUE,33,FALSE,0,,Sri Lanka,unchanged
LSO,Lesotho,TRUE,33,FALSE,0,,Lesotho,TRUE,33,FALSE,0,,Lesotho,unchanged
LTU,Lithuania,TRUE,31,FALSE,0,,Lithuania,TRUE,31,FALSE,0,,Lithuania,unchanged
LUX,Luxembourg,TRUE,24,FALSE,0,,Luxembourg,TRUE,24,FALSE,0,,Luxembourg,unchanged
LVA,Latvia,TRUE,31,FALSE,0,,Latvia,TRUE,31,FALSE,0,,Latvia,unchanged
MAR,Morocco,TRUE,33,FALSE,0,,Morocco,TRUE,33,FALSE,0,,Morocco,unchanged
MCO,Monaco,TRUE,10,FALSE,0,,Monaco,TRUE,10,FALSE,0,,Monaco,unchanged
MDA,Moldova,TRUE,31,FALSE,0,,Moldova,TRUE,31,FALSE,0,,Moldova,unchanged
MDG,Madagascar,TRUE,33,FALSE,0,,Madagascar,TRUE,33,FALSE,0,,Madagascar,unchanged
MDV,Maldives,TRUE,33,FALSE,0,,Maldives,TRUE,33,FALSE,0,,Maldives,unchanged
MEX,Mexico,TRUE,33,FALSE,0,,Mexico,TRUE,33,FALSE,0,,Mexico,unchanged
MHL,Marshall Islands,TRUE,32,FALSE,0,,Marshall Islands,TRUE,32,FALSE,0,,Marshall Islands,unchanged
MKD,North Macedonia,TRUE,30,FALSE,0,,North Macedonia,TRUE,30,FALSE,0,,North Macedonia,unchanged
MNE,Montenegro,TRUE,17,FALSE,0,,Montenegro,TRUE,17,FALSE,0,,Montenegro,unchanged
MRT,Mauritania,TRUE,32,TRUE,17,2006,Mauritania,TRUE,32,TRUE,17,2006,Mauritania,unchanged
MUS,Mauritius,TRUE,33,FALSE,0,,Mauritius,TRUE,33,FALSE,0,,Mauritius,unchanged
MWI,Malawi,TRUE,33,FALSE,0,,Malawi,TRUE,33,FALSE,0,,Malawi,unchanged
MYS,Malaysia,TRUE,33,TRUE,14,2009,Malaysia,TRUE,33,TRUE,14,2009,Malaysia,unchanged
NAM,Namibia,TRUE,33,FALSE,0,,Namibia,TRUE,33,FALSE,0,,Namibia,unchanged
NER,Niger,TRUE,30,FALSE,0,,Niger,TRUE,30,FALSE,0,,Niger,unchanged
NGA,Nigeria,TRUE,33,FALSE,0,,Nigeria,TRUE,33,FALSE,0,,Nigeria,unchanged
NIC,Nicaragua,TRUE,33,FALSE,0,,Nicaragua,TRUE,33,FALSE,0,,Nicaragua,unchanged
NLD,Netherlands,TRUE,33,FALSE,0,,Netherlands,TRUE,33,FALSE,0,,Netherlands,unchanged
NOR,Norway,TRUE,33,FALSE,0,,Norway,TRUE,33,FALSE,0,,Norway,unchanged
NPL,Nepal,TRUE,33,FALSE,0,,Nepal,TRUE,33,FALSE,0,,Nepal,unchanged
NRU,Nauru,TRUE,23,FALSE,0,,Nauru,TRUE,23,FALSE,0,,Nauru,unchanged
NZL,New Zealand,TRUE,33,TRUE,10,2013,New Zealand,TRUE,33,TRUE,10,2013,New Zealand,unchanged
OMN,Oman,TRUE,32,TRUE,19,2004,Oman,TRUE,32,TRUE,19,2004,Oman,unchanged
PAK,Pakistan,TRUE,33,FALSE,0,,Pakistan,TRUE,33,FALSE,0,,Pakistan,unchanged
PER,Peru,TRUE,33,TRUE,13,2010,Peru,TRUE,33,TRUE,13,2010,Peru,unchanged
PHL,Philippines,TRUE,33,TRUE,18,2005,Philippines,TRUE,33,TRUE,18,2005,Philippines,unchanged
