iso3c,year,old_treatment,old_outcome,new_treatment,new_outcome,master_treatment,master_china_top_status,master_country_role,master_row_status,row_change
KAZ,1992,0,1.3415038,,,0,1,treated_qualifying,nonqualifying_china_top_period,removed_from_estimation
KAZ,1993,0,2.0163751000000003,,,0,1,treated_qualifying,nonqualifying_china_top_period,removed_from_estimation
KAZ,1994,0,2.2691540999999997,,,0,1,treated_qualifying,nonqualifying_china_top_period,removed_from_estimation
KAZ,1995,0,2.125926,,,0,1,treated_qualifying,nonqualifying_china_top_period,removed_from_estimation
MMR,1993,0,0.25912900000000016,,,0,1,treated_qualifying,nonqualifying_china_top_period,removed_from_estimation
PRK,1993,0,0.298605,,,0,1,treated_qualifying,nonqualifying_china_top_period,removed_from_estimation
RUS,1993,0,2.836205,,,0,1,treated_qualifying,nonqualifying_china_top_period,removed_from_estimation
SDN,1990,0,0.7860111,,,0,1,treated_qualifying,nonqualifying_china_top_period,removed_from_estimation
SOM,1990,0,0.6261526,,,0,0,excluded_nonqualifying_china_top,country_nonqualifying_china_top,removed_from_estimation
SOM,1991,0,0.6813399,,,0,0,excluded_nonqualifying_china_top,country_nonqualifying_china_top,removed_from_estimation
SOM,2002,0,0.5594974000000001,,,0,0,excluded_nonqualifying_china_top,country_nonqualifying_china_top,removed_from_estimation
SOM,2003,0,0.11751280000000008,,,0,0,excluded_nonqualifying_china_top,country_nonqualifying_china_top,removed_from_estimation
SOM,2004,0,0.06106519999999993,,,0,0,excluded_nonqualifying_china_top,country_nonqualifying_china_top,removed_from_estimation
SOM,2005,0,0.01135659999999993,,,0,0,excluded_nonqualifying_china_top,country_nonqualifying_china_top,removed_from_estimation
SOM,2006,0,0.27876140000000005,,,0,0,excluded_nonqualifying_china_top,country_nonqualifying_china_top,removed_from_estimation
SOM,2007,0,0.665595,,,0,0,excluded_nonqualifying_china_top,country_nonqualifying_china_top,removed_from_estimation
SOM,2008,0,0.6331309,,,0,0,excluded_nonqualifying_china_top,country_nonqualifying_china_top,removed_from_estimation
