statistic,previous,corrected,difference
ATT,-0.1006420140210192,-0.10072962830167595,-8.761428065674759e-5
Bootstrap SE,0.03912661176449206,0.02898968811494368,-0.01013692364954838
CI lower,-0.17733017307942364,-0.15754941700696556,0.019780756072458078
CI upper,-0.02395385496261476,-0.04390983959638634,-0.019955984633771583
p-value,0.01010504420567779,5.114802662744827e-4,-0.009593563939403306
Selected latent factors,2,2,0
Observations,5037,5002,-35
Countries,161,160,-1
Treated countries,35,35,0
Control countries,126,125,-1
Treated country-years,440,440,0
