iso3c,china_top_period_id,country_name,period_entry_year,period_exit_year,duration_calendar_years,calendar_span_years,prior_year,prior_china_top_status,eligible_entry,qualifies_min5,consecutive_calendar_years
ABW,1,Aruba,2014,2014,1,1,2013,0,TRUE,FALSE,TRUE
AGO,1,Angola,2007,2022,16,16,2006,0,TRUE,TRUE,TRUE
ARM,1,Armenia,1993,1993,1,1,1992,0,FALSE,FALSE,TRUE
ARM,2,Armenia,2015,2015,1,1,2014,0,TRUE,FALSE,TRUE
ARM,3,Armenia,2020,2021,2,2,2019,0,TRUE,FALSE,TRUE
AUS,1,Australia,2009,2022,14,14,2008,0,TRUE,TRUE,TRUE
BEN,1,Benin,2004,2004,1,1,2003,0,TRUE,FALSE,TRUE
BEN,2,Benin,2008,2008,1,1,2007,0,TRUE,FALSE,TRUE
BEN,3,Benin,2012,2013,2,2,2011,0,TRUE,FALSE,TRUE
BFA,1,Burkina Faso,1991,1991,1,1,1990,0,FALSE,FALSE,TRUE
BFA,2,Burkina Faso,2005,2007,3,3,2004,0,TRUE,FALSE,TRUE
BRA,1,Brazil,2009,2022,14,14,2008,0,TRUE,TRUE,TRUE
CAF,1,Central African Republic,2013,2014,2,2,2012,0,TRUE,FALSE,TRUE
CAF,2,Central African Republic,2018,2018,1,1,2017,0,TRUE,FALSE,TRUE
CAF,3,Central African Republic,2020,2020,1,1,2019,0,TRUE,FALSE,TRUE
CHL,1,Chile,2007,2022,16,16,2006,0,TRUE,TRUE,TRUE
CMR,1,Cameroon,2012,2012,1,1,2011,0,TRUE,FALSE,TRUE
CMR,2,Cameroon,2015,2015,1,1,2014,0,TRUE,FALSE,TRUE
CMR,3,Cameroon,2017,2019,3,3,2016,0,TRUE,FALSE,TRUE
CMR,4,Cameroon,2021,2021,1,1,2020,0,TRUE,FALSE,TRUE
COD,1,Congo - Kinshasa,2008,2022,15,15,2007,0,TRUE,TRUE,TRUE
COG,1,Congo - Brazzaville,2003,2005,3,3,2002,0,TRUE,FALSE,TRUE
COG,2,Congo - Brazzaville,2011,2022,12,12,2010,0,TRUE,TRUE,TRUE
COK,1,Cook Islands,2005,2005,1,1,2004,0,TRUE,FALSE,TRUE
CUB,1,Cuba,2004,2015,12,12,2003,0,TRUE,TRUE,TRUE
CUB,2,Cuba,2017,2022,6,6,2016,0,TRUE,TRUE,TRUE
ERI,1,Eritrea,2014,2022,9,9,2013,0,TRUE,TRUE,TRUE
ETH,1,Ethiopia,2009,2010,2,2,2008,0,TRUE,FALSE,TRUE
ETH,2,Ethiopia,2012,2012,1,1,2011,0,TRUE,FALSE,TRUE
ETH,3,Ethiopia,2016,2017,2,2,2015,0,TRUE,FALSE,TRUE
FRE,1,FRE,1992,1992,1,1,1991,0,FALSE,FALSE,TRUE
FRE,2,FRE,1994,1995,2,2,1993,0,FALSE,FALSE,TRUE
FRE,3,FRE,1997,1999,3,3,1996,0,FALSE,FALSE,TRUE
GAB,1,Gabon,2017,2022,6,6,2016,0,TRUE,TRUE,TRUE
GHA,1,Ghana,2019,2019,1,1,2018,0,TRUE,FALSE,TRUE
GIN,1,Guinea,2019,2019,1,1,2018,0,TRUE,FALSE,TRUE
GIN,2,Guinea,2022,2022,1,1,2021,0,TRUE,FALSE,TRUE
GMB,1,Gambia,2011,2013,3,3,2010,0,TRUE,FALSE,TRUE
GMB,2,Gambia,2015,2017,3,3,2014,0,TRUE,FALSE,TRUE
GMB,3,Gambia,2019,2019,1,1,2018,0,TRUE,FALSE,TRUE
GNQ,1,Equatorial Guinea,2006,2006,1,1,2005,0,TRUE,FALSE,TRUE
GNQ,2,Equatorial Guinea,2013,2015,3,3,2012,0,TRUE,FALSE,TRUE
GNQ,3,Equatorial Guinea,2017,2022,6,6,2016,0,TRUE,TRUE,TRUE
HKG,1,Hong Kong SAR China,2001,2010,10,10,2000,0,TRUE,TRUE,TRUE
HKG,2,Hong Kong SAR China,2012,2016,5,5,2011,0,TRUE,TRUE,TRUE
IDN,1,Indonesia,2013,2013,1,1,2012,0,TRUE,FALSE,TRUE
IDN,2,Indonesia,2016,2022,7,7,2015,0,TRUE,TRUE,TRUE
IRN,1,Iran,2007,2019,13,13,2006,0,TRUE,TRUE,TRUE
IRN,2,Iran,2022,2022,1,1,2021,0,TRUE,FALSE,TRUE
IRQ,1,Iraq,2014,2016,3,3,2013,0,TRUE,FALSE,TRUE
IRQ,2,Iraq,2019,2022,4,4,2018,0,TRUE,FALSE,TRUE
JPN,1,Japan,2008,2022,15,15,2007,0,TRUE,TRUE,TRUE
KAZ,1,Kazakhstan,1992,1995,4,4,1991,,FALSE,FALSE,TRUE
KAZ,2,Kazakhstan,2007,2022,16,16,2006,0,TRUE,TRUE,TRUE
KGZ,1,Kyrgyzstan,1992,1995,4,4,1991,,FALSE,FALSE,TRUE
KOR,1,South Korea,2003,2022,20,20,2002,0,TRUE,TRUE,TRUE
KWT,1,Kuwait,2018,2022,5,5,2017,0,TRUE,TRUE,TRUE
LAO,1,Laos,2003,2003,1,1,2002,0,TRUE,FALSE,TRUE
LAO,2,Laos,2014,2014,1,1,2013,0,TRUE,FALSE,TRUE
LBR,1,Liberia,2012,2012,1,1,2011,0,TRUE,FALSE,TRUE
LBR,2,Liberia,2014,2014,1,1,2013,0,TRUE,FALSE,TRUE
MLI,1,Mali,1991,1992,2,2,1990,0,FALSE,FALSE,TRUE
MLI,2,Mali,2006,2006,1,1,2005,0,TRUE,FALSE,TRUE
MLI,3,Mali,2009,2009,1,1,2008,0,TRUE,FALSE,TRUE
MLT,1,Malta,2011,2012,2,2,2010,0,TRUE,FALSE,TRUE
MLT,2,Malta,2021,2022,2,2,2020,0,TRUE,FALSE,TRUE
MMR,1,Myanmar (Burma),1993,1993,1,1,1992,0,FALSE,FALSE,TRUE
MMR,2,Myanmar (Burma),2014,2022,9,9,2013,0,TRUE,TRUE,TRUE
MNG,1,Mongolia,1993,2022,30,30,1992,0,FALSE,FALSE,TRUE
MOZ,1,Mozambique,2014,2014,1,1,2013,0,TRUE,FALSE,TRUE
MRT,1,Mauritania,2006,2022,17,17,2005,0,TRUE,TRUE,TRUE
MYS,1,Malaysia,2009,2022,14,14,2008,0,TRUE,TRUE,TRUE
NCL,1,New Caledonia,2014,2022,9,9,2013,0,TRUE,TRUE,TRUE
NZL,1,New Zealand,2013,2022,10,10,2012,0,TRUE,TRUE,TRUE
OMN,1,Oman,2000,2000,1,1,1999,0,TRUE,FALSE,TRUE
