"model","att","se","ci_lo","ci_hi","p","r_cv","att_rel_pct","att_sd_units","n_obs","n_countries","n_treated","n_control","panel_min","panel_max"
"fect IFE",-0.0597931700497774,0.0324370621520325,-0.123369811867761,0.00378347176820631,0.0652765239451017,1,10.2129332981223,0.0829774547679936,3159,98,32,66,1990,2022
"fect IFE with covariates",-0.0729556348522114,0.0329553066967463,-0.137548035977834,-0.00836323372658873,0.0268442590492205,1,12.6026480729626,0.102530925398146,2627,87,29,58,1990,2020
