"model","lead","estimate","se","ci_lo","ci_hi"
"PanelMatch ATT",0,-0.0473795816733918,0.0615986637060114,-0.180106599452311,0.0639481923790672
"PanelMatch ATT",1,-0.0931534032442293,0.0427700641386075,-0.171275781083936,-0.00402293765316188
"PanelMatch ATT",2,-0.0261004652486693,0.0756000413357165,-0.172364282416556,0.124291556896526
"PanelMatch ATT",3,-0.111515734792198,0.0622864461034434,-0.226637922249023,0.016745714307809
"PanelMatch ATT",4,-0.0519500571743368,0.0673709181384557,-0.161824823394607,0.101369158645573
"PanelMatch ATT",5,-0.121412320939157,0.0571512797743577,-0.214576363252782,0.00979662901440338
"PanelMatch ATT",6,-0.0248826570615287,0.0579661708670987,-0.12959696337491,0.0964290951817709
"PanelMatch ATT",7,-0.107229919961696,0.0658971214591062,-0.227563368412118,0.0307327825254508
"PanelMatch ATT",8,-0.0136308250601398,0.0665950086791941,-0.136568822520773,0.125979506770009
"PanelMatch ART",0,-0.0708196818027211,0.109818383045226,-0.374385707814484,0.034347793178406
"PanelMatch ART",1,0.0169163762244898,0.164458660378629,-0.431207908029762,0.196321714540337
"PanelMatch ART",2,-0.0773342542063492,0.160543994296881,-0.463428625552579,0.188295921112103
"PanelMatch ART",3,-0.136975219603175,0.160958458963161,-0.557266410246032,0.0844445534279761
"PanelMatch ART",4,-0.0896353253492064,0.150791129742091,-0.409607469754762,0.220426200145793
"PanelMatch ART",5,-0.116842047879819,0.182802788651767,-0.564114631480953,0.104151515589916
"PanelMatch ART",6,-0.143587159857143,0.200128132455885,-0.699902584468055,0.0541301315434144
"PanelMatch ART",7,-0.0992317308594104,0.150660632789708,-0.431020135376488,0.161534093209524
"PanelMatch ART",8,-0.333166397117914,0.35220305626555,-1.37473422819802,-0.0565805171546718
