"dropped","iso3c","att","se","p","r_cv"
"Angola","AGO",-0.0547987825104793,0.0326932389133526,0.0937087545447857,1
"Armenia","ARM",-0.0612578685079557,0.0323243148585395,0.0580789111773718,1
"Benin","BEN",-0.0601466237053313,0.0328724473999805,0.0672952355670808,1
"Brazil","BRA",-0.0588729662454565,0.0334777489183263,0.078650565500078,1
"Chile","CHL",-0.0614147124214498,0.033858554578586,0.0696991248939575,1
"Congo - Kinshasa","COD",-0.0537637456260363,0.0418943613918714,0.199381043796339,2
"Congo - Brazzaville","COG",-0.0556521820296333,0.0531653914360714,0.295203541951342,2
"Ethiopia","ETH",-0.0563995695705862,0.0508585201185754,0.267451636229984,2
"Gabon","GAB",-0.0542118948021328,0.049793518371135,0.2762712182356,2
"Ghana","GHA",-0.0578234370227697,0.0484872133892558,0.233045571284617,2
"Guinea","GIN",-0.0565548496319802,0.0505466827875318,0.263198281845529,2
"Equatorial Guinea","GNQ",-0.0581065227837575,0.0520806714628706,0.264549603439954,2
"Indonesia","IDN",-0.0581893331964688,0.0319818139893213,0.0688427008317061,1
"Iraq","IRQ",-0.0514567167908446,0.051628483777059,0.318923250205534,2
"Japan","JPN",-0.0600785564725622,0.0326092795920814,0.0654201592295037,1
"South Korea","KOR",-0.0807135446273497,0.0260943411052202,0.00198048266327933,1
"Kuwait","KWT",-0.0585762956861748,0.0326549155417375,0.072845545889025,1
"Liberia","LBR",-0.051834170023419,0.0512979280406327,0.31227807543235,2
"Myanmar (Burma)","MMR",-0.0513457570526775,0.0299982098124359,0.0869653605346543,1
"Malaysia","MYS",-0.054643191474859,0.0320453735610488,0.0881605017393513,1
"Peru","PER",-0.0570773864969686,0.0331472350243002,0.0850812809885509,1
"Philippines","PHL",-0.0600671107799909,0.0334556783090896,0.0725862523433822,1
"North Korea","PRK",-0.0638999601728533,0.0344374515308395,0.0635196027459344,1
"Saudi Arabia","SAU",-0.0582283311666567,0.0325938215053851,0.0740209724892159,1
"Singapore","SGP",-0.0604647713928798,0.0326597453801276,0.064118549106679,1
"Sierra Leone","SLE",-0.0608900450637327,0.0329215760301193,0.0643786798380944,1
"Chad","TCD",-0.0595624211764396,0.0325927971803841,0.0676288465705187,1
"Thailand","THA",-0.0579850537781855,0.0328514340776158,0.0775521398377033,1
"Uruguay","URY",-0.0546791330016353,0.0331475866560145,0.0990317271911019,1
"Venezuela","VEN",-0.0509400725389902,0.0299266931922151,0.0887250503726784,1
"Vietnam","VNM",-0.068257781581877,0.0337681820881422,0.0432421169684432,1
"South Africa","ZAF",-0.0594633132972224,0.0336330583113104,0.0770605745916783,1
