model,moderator,group_var,status,error_message,nboots,att,se,ci_lo,ci_hi,p,r_cv,n_obs,n_countries,n_treated,n_control
"Baseline IFE, no moderator",none,NA,ok,NA,5,-0.10021475693065109,0.013904598333589603,-0.1274677696644867,-0.07296174419681546,5.706779489143633e-13,2,3465,105,14,91
IFE grouped by displaced_us,displaced_us,displaced_us_group,ok,NA,5,-0.10021475693065109,0.013904598333589603,-0.1274677696644867,-0.07296174419681546,5.706779489143633e-13,2,3465,105,14,91
IFE grouped by displaced_g7,displaced_g7,displaced_g7_group,ok,NA,5,-0.10021475693065109,0.013904598333589603,-0.1274677696644867,-0.07296174419681546,5.706779489143633e-13,2,3465,105,14,91
IFE grouped by displaced_regional_power,displaced_regional_power,displaced_regional_power_group,ok,NA,5,-0.10021475693065109,0.013904598333589603,-0.1274677696644867,-0.07296174419681546,5.706779489143633e-13,2,3465,105,14,91
IFE grouped by pre_entry_high_level_partner,pre_entry_partner_level,pre_entry_high_level_partner_group,ok,NA,5,-0.10021475693065109,0.013904598333589603,-0.1274677696644867,-0.07296174419681546,5.706779489143633e-13,2,3465,105,14,91
