metric,iso3c,country_name,year,partner_iso3,partner_name,value_musd,partner_rank
goods_exports_rank,AUS,Australia,2005,JPN,Japan,24887.296799999996,1
goods_exports_rank,AUS,Australia,2005,CHN,China,15235.453524000002,2
goods_exports_rank,AUS,Australia,2005,USA,United States,7130.731082000002,4
goods_exports_rank,AUS,Australia,2006,JPN,Japan,28174.675182999985,1
goods_exports_rank,AUS,Australia,2006,CHN,China,18033.370941999998,2
goods_exports_rank,AUS,Australia,2006,USA,United States,8008.928024,4
goods_exports_rank,AUS,Australia,2007,JPN,Japan,31490.400164999995,1
goods_exports_rank,AUS,Australia,2007,CHN,China,24715.178246000003,2
goods_exports_rank,AUS,Australia,2007,USA,United States,8406.741451000002,4
goods_exports_rank,AUS,Australia,2008,JPN,Japan,47875.482299999996,1
goods_exports_rank,AUS,Australia,2008,CHN,China,36259.071073999985,2
goods_exports_rank,AUS,Australia,2008,USA,United States,10310.662836999996,4
goods_exports_rank,AUS,Australia,2009,CHN,China,37696.68056400001,1
goods_exports_rank,AUS,Australia,2009,JPN,Japan,35153.92971,2
goods_exports_rank,AUS,Australia,2009,USA,United States,7686.773211,5
goods_exports_rank,AUS,Australia,2010,CHN,China,57897.89272799999,1
goods_exports_rank,AUS,Australia,2010,JPN,Japan,45299.46488399999,2
goods_exports_rank,AUS,Australia,2010,USA,United States,8282.691483,6
goods_exports_rank,AUS,Australia,2011,CHN,China,78302.99491399998,1
goods_exports_rank,AUS,Australia,2011,JPN,Japan,57102.36797,2
goods_exports_rank,AUS,Australia,2011,USA,United States,9672.261739,6
goods_exports_rank,AUS,Australia,2012,CHN,China,78353.23684300002,1
goods_exports_rank,AUS,Australia,2012,JPN,Japan,56865.83004600001,2
goods_exports_rank,AUS,Australia,2012,USA,United States,8939.877141999998,6
goods_exports_rank,AUS,Australia,2013,CHN,China,91855.62749400003,1
goods_exports_rank,AUS,Australia,2013,JPN,Japan,51310.530412,2
goods_exports_rank,AUS,Australia,2013,USA,United States,8594.07581,6
goods_exports_rank,AUS,Australia,2014,CHN,China,89438.97521800004,1
goods_exports_rank,AUS,Australia,2014,JPN,Japan,48296.82717,2
goods_exports_rank,AUS,Australia,2014,USA,United States,10048.347392,4
goods_exports_rank,AUS,Australia,2015,CHN,China,73273.61235299999,1
goods_exports_rank,AUS,Australia,2015,JPN,Japan,34975.498044999986,2
goods_exports_rank,AUS,Australia,2015,USA,United States,10241.134998000001,4
goods_exports_rank,AUS,Australia,2016,CHN,China,70636.82621300001,1
goods_exports_rank,AUS,Australia,2016,JPN,Japan,30607.395544999996,2
goods_exports_rank,AUS,Australia,2016,USA,United States,8732.904121999996,4
goods_exports_rank,AUS,Australia,2017,CHN,China,94511.19654499998,1
goods_exports_rank,AUS,Australia,2017,JPN,Japan,39049.11836900002,2
goods_exports_rank,AUS,Australia,2017,USA,United States,9295.426602999996,5
goods_exports_rank,AUS,Australia,2018,CHN,China,105585.32803900001,1
goods_exports_rank,AUS,Australia,2018,JPN,Japan,45950.30953,2
