metric,iso3c,country_name
goods_exports_rank,CSK,
goods_exports_rank,LIE,Liechtenstein
goods_exports_rank,MCO,Monaco
goods_exports_rank,YUG,
goods_services_exports_rank,CSK,
goods_services_exports_rank,LIE,Liechtenstein
goods_services_exports_rank,MCO,Monaco
goods_services_exports_rank,YUG,
goods_services_two_way_rank,CSK,
goods_services_two_way_rank,LIE,Liechtenstein
goods_services_two_way_rank,MCO,Monaco
goods_services_two_way_rank,YUG,
