iso3c,country_name,first_china_rank1_year_ge2005_goods_exports_rank,first_china_rank1_year_ge2005_goods_services_exports_rank,first_china_rank1_year_ge2005_goods_services_two_way_rank,onset_status_goods_exports_rank,onset_status_goods_services_exports_rank,onset_status_goods_services_two_way_rank,first_china_rank1_year_ge2005_goods_two_way_supplemental,publicly_reported_onset,public_apparent_metric,public_sources,public_urls,public_evidence_paraphrase,public_minus_goods_exports,public_minus_goods_services_exports,public_minus_goods_services_two_way,public_minus_goods_two_way_supplemental,any_services_export_change,any_two_way_change,any_change_from_goods_exports
PRT,Portugal,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
PRY,Paraguay,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
QAT,Qatar,2021,2021,2020,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
ROU,Romania,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
RUS,Russia,2012,2012,2010,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
RWA,Rwanda,,,2013,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
SAU,Saudi Arabia,2013,2013,2015,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
SDN,Sudan,2005,2005,2005,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,,,,,,,,,,,FALSE,FALSE,FALSE
SEN,Senegal,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SGP,Singapore,,2005,2013,never_china_rank1_in_observed_window,left_censored_china_rank1_in_2005,observed_first_rank1_after_2005,,,,,,,,,,,TRUE,TRUE,TRUE
SLB,Solomon Islands,2005,2005,2005,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,,,,,,,,,,,FALSE,FALSE,FALSE
SLE,Sierra Leone,2012,2012,2011,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
SLV,El Salvador,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SMR,San Marino,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SOM,Somalia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SSD,South Sudan,2012,2012,2012,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,FALSE,FALSE
STP,São Tomé & Príncipe,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SUR,Suriname,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SVK,Slovakia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SVN,Slovenia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SWE,Sweden,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SWZ,Eswatini,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SYC,Seychelles,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
SYR,Syria,,,2012,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
TCD,Chad,2019,2019,2019,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,FALSE,FALSE
TGO,Togo,,,2006,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
THA,Thailand,2008,2008,2011,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
TJK,Tajikistan,,,2009,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
TKM,Turkmenistan,2010,2010,2010,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,FALSE,FALSE
TLS,Timor-Leste,2021,2022,,observed_first_rank1_after_2005,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,,,,,,,,,,,TRUE,TRUE,TRUE
TON,Tonga,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
TTO,Trinidad & Tobago,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
TUN,Tunisia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
TUR,Turkey,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
TUV,Tuvalu,,,2008,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
TZA,Tanzania,2011,2011,2010,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
UGA,Uganda,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
UKR,Ukraine,2020,2020,2020,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,FALSE,FALSE
URY,Uruguay,2013,2013,2013,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,FALSE,FALSE
USA,United States,,,2014,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
UZB,Uzbekistan,2013,2013,2015,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
VCT,St. Vincent & Grenadines,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
VEN,Venezuela,2021,2021,2019,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
VNM,Vietnam,2018,2018,2007,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
VUT,Vanuatu,,,2013,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
WSM,Samoa,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
YEM,Yemen,2005,2005,2005,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,,,,,,,,,,,FALSE,FALSE,FALSE
ZAF,South Africa,2009,2009,2009,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,FALSE,FALSE
ZMB,Zambia,2012,2012,2012,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,FALSE,FALSE
ZWE,Zimbabwe,2011,2011,,observed_first_rank1_after_2005,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,TRUE,TRUE
