shock_specification,estimate,se_placebo,ci_95_low,ci_95_high,p_value_two_sided,rank_p_one_sided_negative,rank_p_two_sided,se_replications
shock_2008,-0.2837511551195356,NA,NA,NA,NA,NA,NA,0
shock_2009,-0.2812586088344703,NA,NA,NA,NA,NA,NA,0
shock_2008_2009,-0.2839206177098933,0.13620856371674878,-0.55088449698065,-0.016956738439136587,0.03711880206686967,0.03125,0.07291666666666667,1000
price_shock_2008,-0.2730396106082552,NA,NA,NA,NA,NA,NA,0
price_shock_2009,-0.2852651943151222,NA,NA,NA,NA,NA,NA,0
price_shock_2008_2009,-0.2762035488642006,0.13536897143420357,-0.5415218574994709,-0.010885240228930282,0.04131292835880925,NA,NA,1000
