iso3c,country_name,pre_window_start,pre_window_end,observed_years,pre_primary_share_mean,pre_agriculture_share_mean,pre_mining_energy_share_mean,pre_energy_mapped_share_mean,pre_metals_mapped_share_mean,pre_mining_unmapped_share_mean,pre_china_goods_share_mean,price_mapping_coverage,pre_primary_share_pooled,pre_agriculture_share_pooled,pre_mining_energy_share_pooled,pre_goods_exports
ABW,Aruba,2004,2008,5,0.008665824368186031,3.258969534520388e-5,0.008633234672840827,0.005969514977383251,0.0026637196954575767,0,2.8504646071357126e-7,1,0.008820575171795481,2.5529653598320857e-5,0.00879504551819716,20731.695319
AFG,Afghanistan,2004,2008,5,0.7569641093884192,0.7316099981877809,0.025354111200638286,0.014378989893246277,0.010975121307392009,0,0.0058564080882820115,1,0.7477926352335866,0.7231590243273396,0.02463361090624691,1252.4855620000003
AGO,Angola,2004,2008,5,0.9727788206434704,2.1908578041148386e-4,0.972559734863059,0.9535036918405135,0.01905604302254545,0,0.32803160246910784,1.0000000000000002,0.9713707231619658,2.0131498753230822e-4,0.9711694081744335,177682.12112999987
AIA,Anguilla,2004,2008,5,0.011367231032009883,0,0.011367231032009883,0.010990906125069373,3.763249069405108e-4,0,1.0414327568391459e-4,1.0000000000000002,0.006779876707453249,0,0.006779876707453249,89.17359800000006
ALB,Albania,2004,2008,5,0.1426918270810411,0.040075155310595086,0.10261667177044602,0.034421943611058776,0.06403467771596541,0.0041600504434218194,0.02911430311213263,0.9708459094783393,0.15123754647709314,0.037462089169304616,0.11377545730778854,5096.726884
AND,Andorra,2004,2008,5,0.004165234064748359,5.851658326406356e-4,0.0035800682321077233,4.421425612994682e-5,0.0035358539759777763,0,1.0716093436350601e-4,1,0.003747751521773249,5.341700699535658e-4,0.0032135814518196824,798.2682370000006
ANT,NA,2004,2008,5,0.02344792459902411,1.2048077274767628e-4,0.023327443826276432,0.009726278049998965,0.013601165776277468,0,8.405742344409785e-5,1,0.024319728424893796,1.24332326419754e-4,0.024195396098474042,15962.397368000016
ARE,United Arab Emirates,2004,2008,5,0.5526031537888159,0.009998965342814064,0.5426041884460018,0.5180935671479965,0.02450758019533268,3.041102672971224e-6,0.024721095761230653,0.9999944967692426,0.5618030156241665,0.009665974390202052,0.5521370412339645,549746.9081219975
ARG,Argentina,2004,2008,5,0.29072303481822726,0.20849905796759158,0.08222397685063565,0.05806083007488949,0.021767907180712958,0.0023952395950331963,0.09312088942074542,0.9917610945533408,0.29091783209187655,0.214258657372224,0.07665917471965257,272594.4016280001
ARM,Armenia,2004,2008,5,0.14749203035994302,0.019970032870478292,0.12752199748946472,6.573656162246854e-6,0.10992566316990976,0.0175897606633927,0.01839489964886981,0.8807409415921237,0.14683979805028058,0.020686288165485654,0.1261535098847949,4679.686815999997
