iso3c,country_name,pre_window_start,pre_window_end,observed_years,pre_primary_share_mean,pre_agriculture_share_mean,pre_mining_energy_share_mean,pre_energy_mapped_share_mean,pre_metals_mapped_share_mean,pre_mining_unmapped_share_mean,pre_china_goods_share_mean,price_mapping_coverage,pre_primary_share_pooled,pre_agriculture_share_pooled,pre_mining_energy_share_pooled,pre_goods_exports
ASM,American Samoa,2004,2008,5,0.20698683670729207,0.0011971040821231174,0.20578973262516895,0.024591203367108648,0.18119852925806032,0,0,1.0000000000000002,0.38154576161437775,0.0012601105962475715,0.3802856510181302,249.45746899999992
ATA,Antarctica,2004,2008,5,0.06323078527070394,0.061309561557639544,0.0019212237130643902,0,0.0019212237130643902,0,0,0.9999999999999998,0.05595866931377324,0.05404102697314254,0.0019176423406307057,9.647262999999999
ATF,French Southern Territories,2004,2008,5,0.006048563473399634,0.0010913893395301198,0.0049571741338695135,0,0.0049571741338695135,0,0,1,0.005437542322209068,5.148520558078005e-4,0.004922690266401268,53.646479
ATG,Antigua & Barbuda,2004,2008,5,0.01817254467103638,0.01519233781219581,0.002980206858840573,0.0013627142443324825,0.0016174926145080904,0,4.9470146126379665e-5,1.0000000000000002,0.017177184844633417,0.013962506285473816,0.0032146785591596013,1569.0980940000009
AUS,Australia,2004,2008,5,0.5036361027946249,0.0771864466173473,0.4264496561772776,0.24712209794283957,0.17931930976081883,8.248473619276345e-6,0.14934948891327898,0.9999836221558118,0.516560280818708,0.07303042080198045,0.4435298600167275,678648.2156029989
AUT,Austria,2004,2008,5,0.035764723419644054,0.01043219953729784,0.025332523882346216,7.743794921521962e-4,0.0029902842540438894,0.021567860136150134,0.017537351438196815,0.39695157479384247,0.03524452665886056,0.010497666853999943,0.024746859804860622,603884.533789
AZE,Azerbaijan,2004,2008,5,0.7661033552345756,0.02503989585246936,0.7410634593821063,0.7385282609933889,7.956811512851441e-4,0.0017395172374322799,0.0045498464029448795,0.9977293961375491,0.83698737830706,0.01609827133145161,0.8208891069756085,67153.879677
BDI,Burundi,2004,2008,5,0.44454649817332137,0.4220970045465242,0.02244949362679716,2.8890274479590718e-5,0.022420603352317568,0,0.004309341871414091,1,0.4085608905342131,0.38837637378374884,0.020184516750464187,685.9599450000004
BEL,Belgium,2004,2008,5,0.09789905591157914,0.02268932244014455,0.0752097334714346,0.03846390540079246,0.034803508049414476,0.0019423200212276251,0.014759087330038306,0.9801599718900055,0.09815992857639694,0.022751673763887384,0.07540825481250957,1369895.708484998
BEN,Benin,2004,2008,5,0.4401702416358266,0.43964583471957336,5.244069162531804e-4,1.0338194421415956e-5,5.140687218317644e-4,0,0.16823982627644513,0.9999999999999999,0.43424154343247146,0.4336812212398237,5.603221926478106e-4,3103.4091149999977
BFA,Burkina Faso,2004,2008,5,0.6954157812171317,0.6946125145854546,8.032666316770224e-4,2.3565641049873878e-7,8.030309752665236e-4,0,0.310335885596929,1,0.6849097517864987,0.6841857046569795,7.240471295192034e-4,2498.819380999996
BGD,Bangladesh,2004,2008,5,0.019858098858939036,0.01938213048316448,4.7596837577455157e-4,2.810796536756723e-4,1.9467923227342937e-4,2.094898254499483e-7,0.00761386374471586,0.9999894506605622,0.019965786155291668,0.019351726951689137,6.140592036025322e-4,67541.96786999996
BGR,Bulgaria,2004,2008,5,0.0867917838673854,0.058078009851451645,0.028713774015933755,2.8661790234782935e-4,0.01556534989315285,0.012861806220433075,0.006956531295573926,0.8518084817788119,0.08829460815635747,0.059630761707897065,0.028663846448460414,73641.18831000009
BHR,Bahrain,2004,2008,5,0.06952472503293505,0.0019963446603416045,0.06752838037259344,0.016510781192584652,0.05101740737817311,1.9180183568452634e-7,0.015718032863750894,0.999997241242801,0.07281086797968572,0.0017806500270931471,0.07103021795259257,34189.50836700003
BHS,Bahamas,2004,2008,5,0.044490828028214593,0.0045772139946991305,0.03991361403351546,0.008820124448298926,0.031093489585216533,0,0.0020433490365405755,1,0.04475421215974001,0.00465038779986978,0.04010382435987023,10927.487165999999
BIH,Bosnia & Herzegovina,2004,2008,5,0.09833661638308437,0.01879944464681782,0.07953717173626655,0.010029017098221633,0.02707410045236732,0.0424340541856776,0.01651123226106224,0.5684816526494092,0.0970168711778931,0.018625257394254902,0.07839161378363818,16898.303059000005
BLR,Belarus,2004,2008,5,0.03649467265373504,0.011263282547616897,0.02523139010611814,0.019941326593649968,0.003914919683468623,0.0013751438289995523,0.02402377152276573,0.962319326931713,0.03539742441389524,0.01122115449480003,0.02417626991909521,89983.57134
BLZ,Belize,2004,2008,5,0.3163337176942501,0.2255655629183109,0.09076815477593923,0.08945740526132252,0.0013107495146167068,0,2.026911922504909e-4,1,0.26043482467521933,0.18344800234325145,0.07698682233196798,3992.5891949999996
BMU,Bermuda,2004,2008,5,0.07272206692228123,7.108746040680787e-5,0.07265097946187442,0.06332208692658331,0.009328892535291107,0,1.6227177879288917e-5,1,0.09150983683628744,4.4719343789880715e-5,0.09146511749249754,2969.6768499999994
BOL,Bolivia,2004,2008,5,0.6843001205987528,0.05895913183636249,0.6253409887623903,0.5043115954391333,0.1210265653465461,2.8279767110588414e-6,0.014752147825423178,0.9999958673444213,0.6954767809728299,0.056141895533834064,0.639334885438996,19571.796384000005
BRA,Brazil,2004,2008,5,0.2903853044069215,0.11253159244355555,0.17785371196336594,0.05253021908188778,0.12479176192101295,5.317309604652275e-4,0.09587697264207823,0.9981688778585017,0.3024487222116852,0.11326561222720766,0.1891831099844776,789807.1417700013
BRB,Barbados,2004,2008,5,0.06691611828336766,0.014110633729501564,0.052805484553866085,0.04982220741017069,0.0029832771436953944,0,0.0013337389015928786,0.9999999999999998,0.06645904661064882,0.014091361733166705,0.05236768487748211,2604.997209999998
BRN,Brunei,2004,2008,5,0.946225271592392,1.775618191868503e-4,0.9460477097732051,0.945988005412748,5.9704360457220146e-5,0,0.02979068561762507,1,0.9523104929679338,1.6990276610084074e-4,0.9521405902018331,38134.093685999964
BTN,Bhutan,2004,2008,5,0.04070908092839866,0.008819482211297143,0.031889598717101515,0.006430966439719915,0.025458632277381602,0,9.933027923083606e-4,1,0.04042864404427815,0.005566371706340038,0.034862272337938115,1060.9196280000003
BVT,Bouvet Island,2004,2008,5,0.0016470309808488052,0,0.0016470309808488052,0,0.0016470309808488052,0,0,1,5.488806201127092e-4,0,5.488806201127092e-4,42.486469999999976
BWA,Botswana,2004,2008,5,0.6483023842659247,0.0019210455090781615,0.6463813387568466,7.577750183790084e-4,0.6455010196768372,1.2254406163038332e-4,0.01559102667599536,0.999810976999924,0.6607534300184289,0.0017674414152418052,0.6589859886031871,17703.16217000001
CAF,Central African Republic,2004,2008,5,0.6255325462708459,0.4010098808480943,0.22452266542275157,0.0037269089599969232,0.22079575646275465,0,0.05205020517622787,1,0.6261543992776517,0.40253257954686567,0.22362181973078604,1018.5784700000006
CAN,Canada,2004,2008,5,0.24464344354294842,0.04238188695129227,0.20226155659165618,0.1732438742155538,0.022218101608885706,0.006799580767216581,0.024205126971548783,0.9722061598351278,0.24915683767387156,0.04319198098783876,0.20596485668603282,1835522.6719590034
CCK,Cocos (Keeling) Islands,2004,2008,5,0.003604470600119905,0.0015973445822295596,0.0020071260178903456,0,0.0020071260178903456,0,0,1.0000000000000002,0.0019268263119003523,4.7046849303981013e-4,0.0014563578188605422,40.82101199999999
CHE,Switzerland,2004,2008,5,0.03416487570565352,0.005797096941394578,0.028367778764258937,0.0026421455944153076,0.00948475353620659,0.016240879633637042,0.025974970573819547,0.5246322634520943,0.03388504597347864,0.0056359417982271825,0.028249104175251456,835324.1473289994
CHL,Chile,2004,2008,5,0.3280719434615722,0.0852723842877961,0.24279955917377613,2.570251956328746e-4,0.24254145560802323,1.0783701200453783e-6,0.12710743964461363,0.999996713007188,0.3291852866730359,0.08278054832045327,0.24640473835258267,272533.5876329999
CHN,China,2004,2008,5,0.020573971196856087,0.010249259495782903,0.010324711701073184,0.006340567337043551,0.0033314002555297094,6.527441084999193e-4,0,0.9682733050292368,0.019938257150895342,0.009958392587704933,0.009979864563190407,6183117.016396999
CIV,Côte d’Ivoire,2004,2008,5,0.5212519693602269,0.39736573797023644,0.12388623138999047,0.12134159708662154,0.0025446174873053787,1.681606355305606e-8,0.011408288492404038,0.9999999677390887,0.5239542703677184,0.39491302730709005,0.12904124306062836,39428.31870900008
CMR,Cameroon,2004,2008,5,0.6940350409216887,0.2133333050233392,0.4807017358983494,0.48049910822700115,2.0261812657720825e-4,9.544771037616613e-9,0.042214262108821836,0.9999999862474219,0.6944410431160569,0.20940636871905416,0.4850346743970027,23444.149149000034
COD,Congo - Kinshasa,2004,2008,5,0.7783073339699205,0.06584469492390493,0.7124626390460155,0.10271123467087681,0.6088344644683691,9.169399067696203e-4,0.2204235610865358,0.9988218793955177,0.7429408349295613,0.06154605568855439,0.681394779241007,9908.357475999997
COG,Congo - Brazzaville,2004,2008,5,0.9081560015454782,0.03511727100569907,0.8730387305397792,0.836215190936324,0.03682353576746327,3.8359918513436576e-9,0.31943190044796627,0.999999995776065,0.9049195360997473,0.030273904163477763,0.8746456319362694,43463.12972700003
COK,Cook Islands,2004,2008,5,0.13182865832259075,0.13175910139587227,6.955692671848823e-5,0,6.955692671848823e-5,0,0.11011592546417569,1,0.1222627628067364,0.12221021340250747,5.254940422891851e-5,96.29033999999999
COL,Colombia,2004,2008,5,0.5059934717535001,0.15161748600007097,0.3543759857534291,0.34881953545347555,0.0022242595280941527,0.003332190771859403,0.01669092269506168,0.9934145577801392,0.5114635667159314,0.145790557704309,0.3656730090116224,143615.60383400033
COM,Comoros,2004,2008,5,0.47701407667462264,0.4770064848763055,7.591798317164876e-6,0,7.591798317164876e-6,0,2.0313341710588502e-5,1,0.46798361872231625,0.46797740235535024,6.2163669660359795e-6,164.24384300000003
CPV,Cape Verde,2004,2008,5,0.03020541825387945,0.027805448814108246,0.0023999694397712048,1.5355267852639317e-6,0.002398433912985941,0,4.1531167305977726e-5,1.0000000000000002,0.02500933270016263,0.02347985539570986,0.0015294773044527688,408.46699600000005
CRI,Costa Rica,2004,2008,5,0.20323416315659087,0.20306752081263357,1.6664234395729347e-4,1.1947492490288362e-5,1.500089701877332e-4,4.685881279271899e-6,0.10494147487882563,0.9999769434370359,0.2034926176746921,0.20332191443189762,1.7070324279449235e-4,71883.64321100003
CUB,Cuba,2004,2008,5,0.06591356259513789,0.03094127663853068,0.034972285956607216,0.007031799535079166,0.02794048642152805,0,0.32853917488172435,1,0.06508993317679321,0.027206641355974205,0.03788329182081901,8168.539589000003
CXR,Christmas Island,2004,2008,5,0.7006976757494674,0.0017236311436043012,0.6989740446058631,0,0.6989740446058631,0,0,1,0.7212680670889661,0.001148288439120902,0.7201197786498452,132.857734
CYM,Cayman Islands,2004,2008,5,0.0027900043621752425,9.400663329676343e-5,0.002695997728878479,0.00255192905511536,1.440686737631197e-4,0,4.7261261916340755e-6,1.0000000000000002,0.003605528755233152,2.30560719170917e-4,0.0033749680360622347,4350.719427
CYP,Cyprus,2004,2008,5,0.07815600216482604,0.06476581941946882,0.013390182745357207,0.0033744783635080867,0.00940123483832578,6.144695435233423e-4,0.0013859585689170977,0.9921379097381736,0.07299359223739978,0.06056529264842836,0.012428299588971426,16183.914023000018
CZE,Czechia,2004,2008,5,0.03635783077385482,0.014876759378596484,0.021481071395258337,0.009040734923800831,0.0019155537563186609,0.010524782715138846,0.0071109896380401275,0.7105222591357871,0.03728006017048059,0.015176999054179052,0.02210306111630154,429133.0352429995
DEU,Germany,2004,2008,5,0.02362675244424051,0.011285941205118557,0.012340811239121952,0.005715046031601401,0.0020213709254276622,0.004604394282092884,0.037020525377073406,0.8051194596904789,0.02356711652403639,0.011425790858585477,0.012141325665450913,5275080.145346009
DJI,Djibouti,2004,2008,5,0.475051928128541,0.44947019503257096,0.025581733095970092,0.009326032721574633,0.016255700374395454,0,0.00950729013583791,1,0.49084354403098446,0.4765776493781528,0.014265894652831639,644.5210919999994
DMA,Dominica,2004,2008,5,0.23618313239689281,0.18343979705080984,0.05274333534608301,8.300228524537803e-6,0.052735035117558476,0,0.021530279395551803,1.0000000000000002,0.2363109089360361,0.18198091449906095,0.05432999443697514,436.7569930000002
DNK,Denmark,2004,2008,5,0.1200394986936558,0.041200272794824785,0.07883922589883102,0.06948993181416398,0.0015664888630103869,0.007782805221656668,0.020270996742882175,0.9351646307560932,0.11966339990771459,0.04121261545334351,0.07845078445437108,406373.09607200115
DOM,Dominican Republic,2004,2008,5,0.05813419735700879,0.05354464332209127,0.004589554034917514,0.0018194757941413983,0.0027700315851731908,4.665560292513241e-8,0.010475989653886374,0.9999991974499512,0.05877813484881714,0.05400961002873316,0.004768524820083975,33016.93541299999
DZA,Algeria,2004,2008,5,0.7918734017197057,0.0010015295787830505,0.7908718721409225,0.7889151541574443,0.001956700816683008,1.7166795102017768e-8,0.010564970182105513,0.9999999783212882,0.7932776686089374,9.991059253695652e-4,0.792278562683568,252117.97128199998
ECU,Ecuador,2004,2008,5,0.7353914625949126,0.22963560411083564,0.505755858484077,0.5056151105537822,7.610382834203482e-5,6.464410195284017e-5,0.012443464234925478,0.99991209565892325,0.7329332028468104,0.22438755373578043,0.50854564911103,76634.12603200016
EGY,Egypt,2004,2008,5,0.3416541718577092,0.07780847184930187,0.26384570000840735,0.24354437985513602,0.0179342691038401,0.00236705104943116,0.012322594520315432,0.9930717923432324,0.3553419619289725,0.0729756910452297,0.2823662708837428,105286.58110600019
ERI,Eritrea,2004,2008,5,0.19286267087094103,0.17939849322007353,0.01346417765086751,0,0.01346417765086751,0,0.04939060061140105,1.0000000000000002,0.14142011461148818,0.1314815017514017,0.009938612860086488,148.7334320000001
ESH,Western Sahara,2004,2008,5,0.05358668212285379,0,0.05358668212285379,0,0.05358668212285379,0,0,1,0.11525312050471803,0,0.11525312050471803,21.25353299999999
ESP,Spain,2004,2008,5,0.07764336429880132,0.06494357932924337,0.012699784969557952,0.0037570384613176302,0.004521700813305793,0.004421045694934527,0.011023570027125793,0.9430595810104175,0.07774679755177157,0.06468639831455826,0.013060399237213315,1063649.0512800016
EST,Estonia,2004,2008,5,0.05346797191619191,0.031200001658462824,0.022267970257729086,0.0067231331945523595,0.006479249322739125,0.009065587740437604,0.011094732941516845,0.8304482587323976,0.05306341027928852,0.031408477350794085,0.021654932928494443,44367.433239
ETH,Ethiopia,2004,2008,5,0.7328268380272812,0.7267503509045163,0.0060764871227648,7.2705089907877964e-6,0.006069216613774013,0,0.06851348314319493,0.9999999999999999,0.7327638145296113,0.7270709148443835,0.005692899685227811,6164.115818000004
FIN,Finland,2004,2008,5,0.013968326049926046,0.008824880139338248,0.0051434459105878,9.607270215619787e-5,0.0028466079324974613,0.0022007652759341405,0.041471767284816496,0.8424460262405037,0.01395441845936359,0.00882066867790569,0.0051337497814578975,392462.666427001
FJI,Fiji,2004,2008,5,0.09642923266263673,0.09395875131289912,0.0024704813497376074,0.0013562483714085589,0.0010747611289389422,3.9471849390106246e-5,0.004329971405721562,0.9995906651095295,0.09582915068007211,0.0934275036056935,0.0024016470743785812,3950.7199459999974
FLK,Falkland Islands,2004,2008,5,3.9623669302319423e-4,3.8717123769849745e-4,9.065455324696768e-6,0,9.065455324696768e-6,0,0,1,4.1041281391297166e-4,4.017535193096595e-4,8.659294603312219e-6,773.504114
FRA,France,2004,2008,5,0.04481442803410279,0.03339902213000984,0.011415405904092957,0.0014951767459835572,0.0019520943518384058,0.007968134806270994,0.0230648090963892,0.8221971102653053,0.04502006665200553,0.033662621033213894,0.01135744561879163,2405827.667075999
FRE,NA,2004,2008,5,0.0056908755611618555,0.0021846344566276354,0.00350624110453422,7.942756144589109e-5,0.0024748014578943648,9.520120851939641e-4,0,0.8327125457300282,0.004769673746685963,0.0017441800679616015,0.0030254936787243625,10135.361781000001
FRO,Faroe Islands,2004,2008,5,0.26135942510770616,0.2610219561683204,3.374689393857434e-4,1.6325228146366234e-6,3.3583641657110677e-4,0,0.01030759505776417,1,0.2568995038737278,0.2565559600298684,3.435438438593966e-4,4023.055643999998
FSM,Micronesia (Federated States of),2004,2008,5,0.1488910788265212,0.1486120565739779,2.7902225254328265e-4,0,2.7902225254328265e-4,0,8.75165495441924e-4,1,0.1353686975021874,0.13517130420800952,1.973932941778963e-4,220.22024700000006
GAB,Gabon,2004,2008,5,0.8991424070522417,0.10539583060395487,0.7937465764482867,0.7033434867235798,0.090403089724707,0,0.13937244088209325,1,0.8919059355569627,0.10272125219324216,0.7891846833637207,30076.078874000028
GBR,United Kingdom,2004,2008,5,0.10198862447041727,0.011799166204955821,0.09018945826546146,0.06856892341718933,0.020147559761066924,0.001472975087205224,0.016771932126847272,0.9855574570707888,0.1020021336211081,0.011792798999312045,0.09020933462179608,1845995.527039
GEO,Georgia,2004,2008,5,0.24741972198653958,0.05836334129966381,0.18905638068687577,0.11205515080264367,0.07291817775310391,0.0040830521311281814,0.006825169323092214,0.9834974669830471,0.24371561114810494,0.056766332319951054,0.18694927882815388,7900.394242000004
GHA,Ghana,2004,2008,5,0.5128381292611826,0.41787878297288183,0.09495934628830074,0.004899070373109553,0.07783616452025718,0.012224111394934,0.022973034867617648,0.9761638016023798,0.4931943963245551,0.39863787083925295,0.09455652548530209,19179.797594000032
GIB,Gibraltar,2004,2008,5,0.02579143969226983,0.004860959720220224,0.020930479972049606,0.012023456653863134,0.008907023318186472,0,2.0056938883672823e-5,1,0.030378669050627007,0.004702911309215645,0.02567575774141136,1032.8404430000005
GIN,Guinea,2004,2008,5,0.7300815907647259,0.0610780673429822,0.6690035234217437,0.15596559171421584,0.5130379317075279,0,0.01571228558608321,1,0.7299563457283166,0.06072805442703367,0.6692282913012829,8257.256761000006
GMB,Gambia,2004,2008,5,0.5456833451902373,0.5152786388032758,0.030404706386961456,0.001560116439090623,0.028844589947870834,0,0.05415563375353542,1,0.5456264615510996,0.5127579616898794,0.03286849986122011,222.0025869999998
GNB,Guinea-Bissau,2004,2008,5,0.8932561345460156,0.8407609985475027,0.0524951359985128,0.05156246494423017,9.326710542826257e-4,0,0.002527625871767113,1,0.8984014668746488,0.8380048307214848,0.06039663615316405,466.8085310000001
GNQ,Equatorial Guinea,2004,2008,5,0.9407728520485875,0.014759983597140428,0.926012868451447,0.9259270182279883,8.585022345878396e-5,0,0.2155717439917517,1,0.9398955096018425,0.012520076712313203,0.9273754328895292,44576.412015999995
GRC,Greece,2004,2008,5,0.12862899550234017,0.10955036563544267,0.019078629866897498,7.771304011429899e-4,0.016199502036219775,0.0021019974295347355,0.005411079879176405,0.9836584479158396,0.12584769474299579,0.10684405050929416,0.019003644233701607,101291.14986199989
GRD,Grenada,2004,2008,5,0.34899927280748805,0.34645248310945165,0.002546789698036394,3.704694464453474e-5,0.002509742753391859,0,0.001808678693596169,1,0.32487714996196093,0.3213621499918767,0.0035149999700842837,217.27710000000005
GRL,Greenland,2004,2008,5,0.05354363665433123,0.003850839893609405,0.04969279676072182,0,0.04969279676072182,0,0.05047382007495011,1,0.0550810183151744,0.0036865672429151814,0.05139445107225923,3040.7650969999986
GTM,Guatemala,2004,2008,5,0.3092642809201893,0.26778035749485996,0.041483923425329326,0.03730316127860598,0.002225531447025288,0.0019552306996980604,0.0070117705364579185,0.9936777997967291,0.3108182950293128,0.2688242935980098,0.041994001431303024,33381.979287999995
GUF,French Guiana,2004,2008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
GUM,Guam,2004,2008,5,0.17647881436482174,0.17361929067560822,0.002859523689213549,0.0026498685243616436,2.096551648519057e-4,0,0,1.0000000000000002,0.16267672929527327,0.16031494452395809,0.0023617847713151624,361.34706700000015
GUY,Guyana,2004,2008,5,0.3419623027159194,0.140779833205918,0.20118246951000138,2.489608502370746e-5,0.20115757342497767,0,0.013924173542522875,1,0.344514140198065,0.1431555596510912,0.20135858054697378,4375.333514999993
HKG,Hong Kong SAR China,2004,2008,5,0.026727062200218556,0.014187337976999443,0.012539724223219115,4.787407974291816e-5,0.009186775662416156,0.00330507448106004,0.1536087699481728,0.8763397766540532,0.026997337840332286,0.014336390244205072,0.012660947596127218,343763.52819999994
HMD,Heard & McDonald Islands,2004,2008,5,0,0,0,0,0,0,0,NA,0,0,0,2.890345
HND,Honduras,2004,2008,5,0.17526181328226426,0.15889658855106747,0.01636522473119677,3.547592247010198e-6,0.01604955385621096,3.1212328273880083e-4,0.0021846595895915963,0.9982191027418157,0.1763447313207022,0.1601552388953021,0.016189492425400125,27660.174157000016
HRV,Croatia,2004,2008,5,0.08095866881611272,0.026677442824159712,0.05428122599195301,0.028370487875724527,0.008693278916035586,0.01721745920019289,0.004187408563305616,0.7873302581184958,0.08287448701517995,0.02755599895630741,0.05531848805887255,50062.67459899994
HTI,Haiti,2004,2008,5,0.04036129384050663,0.04013878754551109,2.2250629499553776e-4,1.5639866009894834e-6,2.2094230839454827e-4,0,4.125863852656748e-4,1,0.04023238336814085,0.04002452780485236,0.00020785556328848149,2838.3363459999987
HUN,Hungary,2004,2008,5,0.038107052501376394,0.03246942456419269,0.005637627937183701,0.0012925299554364968,6.455017103295849e-4,0.0036995962714176187,0.0109688934838694,0.9029157064487211,0.03961247225362994,0.0333436183956527,0.006268853857977253,354329.1153890001
IDN,Indonesia,2004,2008,5,0.32846173248819244,0.06161313774986212,0.26684859473833034,0.22849466214469974,0.03835351601808258,4.165755479557029e-7,0.08211612702559945,0.9999987317379567,0.33347619470489764,0.062359010284743534,0.27111718442015414,627761.3443389982
IMN,Isle of Man,2004,2008,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
IND,India,2004,2008,5,0.12859606149061512,0.057530848514880335,0.07106521297573479,9.104284138313122e-4,0.07012933241628777,2.5452145615708046e-5,0.08541417379647909,0.9998020767874174,0.12991939094001764,0.057587668070974964,0.07233172286904267,721098.076724
IOT,British Indian Ocean Territory,2004,2008,5,0.012931713231741667,0.011587633134862222,0.001344080096879444,0,0.001344080096879444,0,0,1,0.011480888406527558,0.010332705316176416,0.001148183090351143,18.037193
IRL,Ireland,2004,2008,5,0.01452359238538984,0.00918682976354258,0.005336762621847259,1.808744983011205e-4,0.00501646191444395,1.394262091021888e-4,0.011767294056681582,0.9904000191273307,0.014608286436138547,0.009211945403532953,0.005396341032605594,732437.6602810004
IRN,Iran,2004,2008,5,0.8326588119719143,0.022882997363091913,0.8097758146088223,0.79256288147916365,0.01695305019493083,2.5988293472789997e-4,0.1588402316177563,0.9996878878467492,0.8369419355763897,0.020276625784560333,0.8166653097918292,323182.5844510001
IRQ,Iraq,2004,2008,5,0.9729641539584735,0.002385760521848486,0.970578393436625,0.9700404210258725,5.379724107524326e-4,0,0.021561512922935244,1,0.9780735359581754,0.0019391263748588007,0.9761344095833165,161007.12519199995
ISL,Iceland,2004,2008,5,0.0726783240057457,0.07022047957334787,0.0024578444323978266,5.164276126583293e-7,0.0024573280047851683,0,0.014502651663505567,1,0.07367518083158553,0.07126395780810456,0.00241122302348097,18308.99571300001
ISR,Israel,2004,2008,5,0.09630925084706429,0.029317394900130096,0.0669918559469342,0.0013650565467079735,0.06339867898746333,0.0022281204127628925,0.027780990865471318,0.9768649387969898,0.09505153133540967,0.028857289115539735,0.06619424221986994,236399.33854100015
ITA,Italy,2004,2008,5,0.02198214381605983,0.01766518017424003,0.004316963641819799,0.0014178624779478796,0.0021828344273236698,7.162667365482496e-4,0.02123239749053538,0.9674159744135167,0.022167786428962378,0.01775086674942618,0.004416919679536195,2011286.4605979985
JAM,Jamaica,2004,2008,5,0.09531870240951908,0.04274050348349028,0.052578198926028795,3.2289776167220407e-7,0.05257787602826713,0,0.08725166259091653,1.0000000000000002,0.09567308138686115,0.04168902300568653,0.053984058381174614,10975.617465000005
JOR,Jordan,2004,2008,5,0.12147537548137192,0.047238143550493224,0.0742372319308787,0.0030321595450062944,0.07098201721408397,2.2305517178843469e-4,0.015127526290738184,0.9981637828168505,0.12676430335789593,0.047200083002897776,0.07956422035499815,28199.95036700002
JPN,Japan,2004,2008,5,0.0018741508961855622,0.0011493911082413055,7.247597879442569e-4,1.9760146240061104e-5,7.010818586578173e-4,3.917783046378513e-6,0.1609713371532326,0.9979095690457197,0.0018981779372154014,0.0011541986763871793,7.439792608282221e-4,3593836.7422009925
KAZ,Kazakhstan,2004,2008,5,0.6808552079822179,0.03468410477313781,0.64617110320908,0.5930936541126481,0.05176340690319186,0.0013140421932401364,0.11593583796670294,0.9980700122759809,0.6816539039949366,0.036741864613131545,0.6449120393818052,184036.81803299964
KEN,Kenya,2004,2008,5,0.45157090060592,0.43207568524718803,0.019495215358731936,0.0010025421522538473,0.017697875253374525,7.947979531035651e-4,0.007361347169765009,0.9982399265496579,0.4534952044161927,0.4337261955793513,0.019769008836841233,19243.320043999996
KGZ,Kyrgyzstan,2004,2008,5,0.2291914132829135,0.18074769369127913,0.048443719591634384,0.005330015872865973,0.007503651164504996,0.035610052554263416,0.06655274145309494,0.8446274577036338,0.23948546548533942,0.19264962632903432,0.046835839156305105,4993.722611000001
