specification,label,role,preferred_by_identification,identification_rationale,estimate,se_placebo,ci_95_low,ci_95_high,p_value_two_sided,rank_p_one_sided_negative,rank_p_two_sided,rank_one_sided,rank_two_sided,rank_denominator,n_countries,n_treated_units,n_donors,n_pre_years,n_post_years,rmspe_pre_intercept_adjusted,sign_stable_vs_current,magnitude_ratio_vs_current,placebo_inference_stable,se_method,se_replications,se_source,rank_inference_status
current_baseline,Current manuscript baseline,comparison,FALSE,"Uses the current time-varying covariate matrix, including post-2009 observations.",-0.26394046182119363,0.14496980105886167,-0.5480760507424991,0.020195127100111787,0.06865882490070674,0.04166666666666666,0.08333333333333333,4,8,96,96,1,95,12,7,0.060127465311269473,TRUE,1,TRUE,synthdid placebo,1000,"Reused audited target se_synth (1,000 placebo replications).",Reused audited baseline placebo-in-space ranks from table_a8.
all_current_covariates_frozen,All current covariates frozen before treatment,post-treatment audit,FALSE,"Preserves all current covariate concepts but fixes them using 2004-2008 means, 2008 endpoints, or time-invariant values.",-0.2723038606962545,0.13958741279063142,-0.5458901624610177,0.0012824410685086662,0.05108362475679472,NA,NA,NA,NA,NA,96,1,95,12,7,0.05808861331142345,TRUE,1.031686687283008,TRUE,synthdid placebo,1000,Locally recomputed with exact parallel synthdid placebo algorithm.,"Not recomputed: rank inference is reported for the audited baseline, the preferred main specification, and the pre-specified commodity robustness."
predetermined_core,SDiD without time-varying/post-treatment covariates,preferred main specification,TRUE,Removes contemporaneous covariates; the retained time-invariant levels are empirically inert in this synthdid parametrization.,-0.2723038606962537,0.13000875275368673,-0.5271163337684521,-0.017491387624055166,0.03621510162907965,0.03125,0.07291666666666667,3,7,96,96,1,95,12,7,0.05808861331142352,TRUE,1.0316866872830048,TRUE,synthdid placebo,1000,"Reused audited target se_synth_no_time_varying_covariates (1,000 placebo replications).",Locally recomputed placebo-in-space ranks.
predetermined_plus_primary_level,Predetermined core + primary composition,composition diagnostic,FALSE,Adds the 2004-2008 mean annual primary-goods share; its level is predetermined but time invariant.,-0.2723038606962555,0.13235161560507192,-0.5317082605778858,-0.01289946081462523,0.0396451170014058,NA,NA,NA,NA,NA,96,1,95,12,7,0.05808861331142351,TRUE,1.0316866872830117,TRUE,synthdid placebo,1000,Locally recomputed with exact parallel synthdid placebo algorithm.,"Not recomputed: rank inference is reported for the audited baseline, the preferred main specification, and the pre-specified commodity robustness."
predetermined_plus_primary_gfc_2008_2009,Predetermined core + primary exposure x 2008-2009,commodity mechanism robustness,FALSE,Includes the first treated year and may absorb part of the treatment mechanism; it is not an estimate of the total effect.,-0.2839206177098933,0.13620856371674878,-0.55088449698065,-0.016956738439136587,0.03711880206686967,0.03125,0.07291666666666667,3,7,96,96,1,95,12,7,0.05882677729773115,TRUE,1.0756994806739226,TRUE,synthdid placebo,1000,Locally recomputed with exact parallel synthdid placebo algorithm.,Locally recomputed placebo-in-space ranks.
predetermined_plus_agriculture_mining_gfc,Predetermined core + separate agriculture/mining exposure,decomposition robustness,FALSE,Separates Agriculture and Mining and Energy levels and 2008-2009 interactions.,-0.28388670208871686,0.12055306687008722,-0.5201663713799365,-0.04760703279749717,0.018529227491198532,NA,NA,NA,NA,NA,96,1,95,12,7,0.05889741821816174,TRUE,1.0755709834327554,TRUE,synthdid placebo,1000,Locally recomputed with exact parallel synthdid placebo algorithm.,"Not recomputed: rank inference is reported for the audited baseline, the preferred main specification, and the pre-specified commodity robustness."
predetermined_plus_weighted_price_gfc,Predetermined core + Pink Sheet price exposure,price-shock robustness,FALSE,"Uses global commodity price changes from 2007, weighted by 2004-2008 export composition and activated only in 2008-2009.",-0.2762035488642006,0.13536897143420357,-0.5415218574994709,-0.010885240228930282,0.04131292835880925,NA,NA,NA,NA,NA,96,1,95,12,7,0.05807805937167476,TRUE,1.0464615654545404,TRUE,synthdid placebo,1000,Locally recomputed with exact parallel synthdid placebo algorithm.,"Not recomputed: rank inference is reported for the audited baseline, the preferred main specification, and the pre-specified commodity robustness."
predetermined_plus_pre_china_gfc,Predetermined core + prior China exposure x 2008-2009,China-demand robustness,FALSE,Uses mean 2004-2008 China export share interacted with the common shock window.,-0.28432253113163014,0.127148375522968,-0.5335287678494216,-0.03511629441383873,0.025342106191114527,NA,NA,NA,NA,NA,96,1,95,12,7,0.05986014442842321,TRUE,1.0772222234128102,TRUE,synthdid placebo,1000,Locally recomputed with exact parallel synthdid placebo algorithm.,"Not recomputed: rank inference is reported for the audited baseline, the preferred main specification, and the pre-specified commodity robustness."
existing_commodity_gfc_exposure,Legacy commodity/GFC reconstruction,invalid legacy comparator,FALSE,"Reproduces the prior target, whose exposure denominator includes domestic flows; retained only for audit and not as valid robustness.",-0.3055225349973052,0.14756085297818794,-0.5947364923625635,-0.016308577632046906,0.038406947821586414,NA,NA,NA,NA,NA,96,1,95,12,7,0.06169440305733302,TRUE,1.1575433826598414,TRUE,synthdid placebo,1000,"Reused audited china_demand_sdid_diagnostics_table row (1,000 placebo replications).","Not recomputed: rank inference is reported for the audited baseline, the preferred main specification, and the pre-specified commodity robustness."
