specification,weight_rank,iso3c,country_name,unit_weight
all_current_covariates_frozen,20,CYP,Cyprus,0.016209331209934646
all_current_covariates_frozen,21,BRB,Barbados,0.015769121904752898
all_current_covariates_frozen,22,HTI,Haiti,0.015727300410263382
all_current_covariates_frozen,23,HUN,Hungary,0.01548111583418569
all_current_covariates_frozen,24,KEN,Kenya,0.01541313238047369
all_current_covariates_frozen,25,NOR,Norway,0.015275418557308478
all_current_covariates_frozen,26,SUR,Suriname,0.01504998039409417
all_current_covariates_frozen,27,TTO,Trinidad & Tobago,0.014450102683794956
all_current_covariates_frozen,28,DNK,Denmark,0.013803575388387375
all_current_covariates_frozen,29,NIC,Nicaragua,0.013675606646570679
all_current_covariates_frozen,30,LTU,Lithuania,0.013675588502957149
all_current_covariates_frozen,31,TUN,Tunisia,0.013590272887198336
all_current_covariates_frozen,32,HRV,Croatia,0.013538365126123143
all_current_covariates_frozen,33,POL,Poland,0.013524255912185411
all_current_covariates_frozen,34,PAK,Pakistan,0.013154964322860393
all_current_covariates_frozen,35,EST,Estonia,0.01301371080391426
all_current_covariates_frozen,36,SLV,El Salvador,0.012787820438840436
all_current_covariates_frozen,37,JAM,Jamaica,0.01264542173615163
all_current_covariates_frozen,38,TGO,Togo,0.011722351120224773
all_current_covariates_frozen,39,MDV,Maldives,0.011608505141629933
all_current_covariates_frozen,40,LBN,Lebanon,0.011548159335917203
all_current_covariates_frozen,41,LVA,Latvia,0.011423971987132648
all_current_covariates_frozen,42,ESP,Spain,0.011132678487376393
all_current_covariates_frozen,43,SVN,Slovenia,0.010687692631309085
all_current_covariates_frozen,44,BGR,Bulgaria,0.010511425884568418
all_current_covariates_frozen,45,MUS,Mauritius,0.010493689549936607
all_current_covariates_frozen,46,JOR,Jordan,0.01047164990857241
all_current_covariates_frozen,47,ROU,Romania,0.010394121927618355
all_current_covariates_frozen,48,AUT,Austria,0.01012382905512333
all_current_covariates_frozen,49,GUY,Guyana,0.010054182003937989
all_current_covariates_frozen,50,CZE,Czechia,0.009954709455066624
all_current_covariates_frozen,51,DZA,Algeria,0.009877406220523452
all_current_covariates_frozen,52,QAT,Qatar,0.009683982023398721
all_current_covariates_frozen,53,NAM,Namibia,0.009248775090940664
all_current_covariates_frozen,54,SWE,Sweden,0.00916976880300353
all_current_covariates_frozen,55,FIN,Finland,0.008929208822869298
all_current_covariates_frozen,56,NLD,Netherlands,0.008874836875830442
all_current_covariates_frozen,57,COM,Comoros,0.008629499127300006
all_current_covariates_frozen,58,UGA,Uganda,0.008465707144980215
all_current_covariates_frozen,59,SEN,Senegal,0.008408002714513429
all_current_covariates_frozen,60,GRC,Greece,0.00827000143806742
all_current_covariates_frozen,61,PAN,Panama,0.008240499150702952
all_current_covariates_frozen,62,ISR,Israel,0.008166943162722116
all_current_covariates_frozen,63,PRT,Portugal,0.00806775821791214
all_current_covariates_frozen,64,ITA,Italy,0.007853277011033851
all_current_covariates_frozen,65,SVK,Slovakia,0.007777969031919135
all_current_covariates_frozen,66,MAR,Morocco,0.007345126694438541
all_current_covariates_frozen,67,MDA,Moldova,0.007314339668994027
all_current_covariates_frozen,68,BTN,Bhutan,0.006180104059926094
all_current_covariates_frozen,69,GBR,United Kingdom,0.005925567982923336
all_current_covariates_frozen,70,USA,United States,0.00436271384304135
all_current_covariates_frozen,71,LKA,Sri Lanka,0.0037994650857947117
all_current_covariates_frozen,72,BWA,Botswana,0.0030995225426561704
all_current_covariates_frozen,73,IRL,Ireland,0.003019631389015416
all_current_covariates_frozen,74,CAN,Canada,0.0029700253282427883
all_current_covariates_frozen,75,LBY,Libya,0.0023139846482236577
all_current_covariates_frozen,76,ARE,United Arab Emirates,8.597830731803782e-4
all_current_covariates_frozen,77,FRA,France,5.960347928886353e-4
all_current_covariates_frozen,78,BGD,Bangladesh,5.052978493829094e-4
all_current_covariates_frozen,79,BHR,Bahrain,4.403143999589192e-4
all_current_covariates_frozen,80,BLR,Belarus,4.403143999589192e-4
all_current_covariates_frozen,81,CIV,Côte d’Ivoire,4.403143999589192e-4
all_current_covariates_frozen,82,CPV,Cape Verde,4.403143999589192e-4
all_current_covariates_frozen,83,ECU,Ecuador,4.403143999589192e-4
all_current_covariates_frozen,84,EGY,Egypt,4.403143999589192e-4
all_current_covariates_frozen,85,GAB,Gabon,4.403143999589192e-4
all_current_covariates_frozen,86,GHA,Ghana,4.403143999589192e-4
all_current_covariates_frozen,87,GIN,Guinea,4.403143999589192e-4
all_current_covariates_frozen,88,KWT,Kuwait,4.403143999589192e-4
all_current_covariates_frozen,89,MDG,Madagascar,4.403143999589192e-4
all_current_covariates_frozen,90,MEX,Mexico,4.403143999589192e-4
all_current_covariates_frozen,91,NGA,Nigeria,4.403143999589192e-4
all_current_covariates_frozen,92,RWA,Rwanda,4.403143999589192e-4
all_current_covariates_frozen,93,SWZ,Eswatini,4.403143999589192e-4
all_current_covariates_frozen,94,UKR,Ukraine,4.403143999589192e-4
all_current_covariates_frozen,95,VEN,Venezuela,4.403143999589192e-4
predetermined_core,1,GEO,Georgia,0.030501308836623577
predetermined_core,2,MLT,Malta,0.03047827617581779
predetermined_core,3,TCD,Chad,0.02770255709515166
predetermined_core,4,GTM,Guatemala,0.027344567083984438
predetermined_core,5,PRY,Paraguay,0.026966262293782912
predetermined_core,6,BOL,Bolivia,0.02258701698268947
predetermined_core,7,ALB,Albania,0.022104894289254988
predetermined_core,8,COL,Colombia,0.021839997688418485
predetermined_core,9,IND,India,0.021805056343228713
predetermined_core,10,DOM,Dominican Republic,0.02178320600106761
predetermined_core,11,AZE,Azerbaijan,0.021021906541448577
predetermined_core,12,DEU,Germany,0.020838641754271182
predetermined_core,13,TUR,Turkey,0.02076332895506092
predetermined_core,14,CRI,Costa Rica,0.017895608774214297
predetermined_core,15,MWI,Malawi,0.017757961734512766
predetermined_core,16,FJI,Fiji,0.01734382857659083
predetermined_core,17,ARG,Argentina,0.016453859968024946
predetermined_core,18,PNG,Papua New Guinea,0.016240331435217564
predetermined_core,19,ISL,Iceland,0.01621876124850198
predetermined_core,20,CYP,Cyprus,0.01620933120993463
predetermined_core,21,BRB,Barbados,0.015769121904752884
predetermined_core,22,HTI,Haiti,0.015727300410263382
predetermined_core,23,HUN,Hungary,0.015481115834185695
predetermined_core,24,KEN,Kenya,0.015413132380473678
predetermined_core,25,NOR,Norway,0.015275418557308493
predetermined_core,26,SUR,Suriname,0.015049980394094161
predetermined_core,27,TTO,Trinidad & Tobago,0.014450102683794958
predetermined_core,28,DNK,Denmark,0.013803575388387373
predetermined_core,29,NIC,Nicaragua,0.013675606646570684
predetermined_core,30,LTU,Lithuania,0.013675588502957175
predetermined_core,31,TUN,Tunisia,0.013590272887198341
predetermined_core,32,HRV,Croatia,0.013538365126123138
predetermined_core,33,POL,Poland,0.013524255912185418
predetermined_core,34,PAK,Pakistan,0.013154964322860375
predetermined_core,35,EST,Estonia,0.013013710803914263
predetermined_core,36,SLV,El Salvador,0.012787820438840447
predetermined_core,37,JAM,Jamaica,0.012645421736151618
predetermined_core,38,TGO,Togo,0.011722351120224735
predetermined_core,39,MDV,Maldives,0.011608505141629914
predetermined_core,40,LBN,Lebanon,0.011548159335917138
predetermined_core,41,LVA,Latvia,0.011423971987132667
predetermined_core,42,ESP,Spain,0.011132678487376391
predetermined_core,43,SVN,Slovenia,0.010687692631309089
predetermined_core,44,BGR,Bulgaria,0.01051142588456842
predetermined_core,45,MUS,Mauritius,0.010493689549936605
predetermined_core,46,JOR,Jordan,0.01047164990857242
predetermined_core,47,ROU,Romania,0.010394121927618334
predetermined_core,48,AUT,Austria,0.010123829055123322
predetermined_core,49,GUY,Guyana,0.01005418200393799
predetermined_core,50,CZE,Czechia,0.009954709455066622
predetermined_core,51,DZA,Algeria,0.009877406220523487
predetermined_core,52,QAT,Qatar,0.009683982023398725
predetermined_core,53,NAM,Namibia,0.009248775090940657
predetermined_core,54,SWE,Sweden,0.009169768803003532
predetermined_core,55,FIN,Finland,0.008929208822869293
