specification,year_end,iso3c,estimate,rmspe_pre,status,error
current_baseline,2015,ALB,-0.09483593483648826,0.14227648699860196,estimated,
current_baseline,2015,ARE,0.10366632161834612,0.0940229099499298,estimated,
current_baseline,2015,ARG,-0.22556172689652945,0.0668885545131443,estimated,
current_baseline,2015,AUT,-0.0977872040520754,0.05782806703902383,estimated,
current_baseline,2015,AZE,-0.1577419020047667,0.08525937984665295,estimated,
current_baseline,2015,BGD,-6.709849075056928e-4,0.10178455361869725,estimated,
current_baseline,2015,BGR,-0.0799341465251765,0.07126154543208643,estimated,
current_baseline,2015,BHR,-0.06611316245864488,0.123282767403035,estimated,
current_baseline,2015,BLR,0.0622904228099045,0.18243538209589025,estimated,
current_baseline,2015,BOL,0.3754175408293864,0.07300407413335494,estimated,
current_baseline,2015,BRA,-0.26394046182119363,0.060127465311269473,estimated,
current_baseline,2015,BRB,0.1551416578319234,0.07972975658601518,estimated,
current_baseline,2015,BTN,0.04592073051844804,0.09915173624952696,estimated,
current_baseline,2015,BWA,-0.00417018273464306,0.07183050845636467,estimated,
current_baseline,2015,CAN,0.23048704789748775,0.10364502638826556,estimated,
current_baseline,2015,CIV,-0.03713093425893119,0.1244366586250624,estimated,
current_baseline,2015,COL,0.12051746111662988,0.09125264261780862,estimated,
current_baseline,2015,COM,-0.09441663319757022,0.08868633998230245,estimated,
current_baseline,2015,CPV,0.00327040716712865,0.083957021240986765,estimated,
current_baseline,2015,CRI,-0.07414778358118115,0.10114691400955032,estimated,
current_baseline,2015,CYP,-0.01426883923908206,0.0703946110556031,estimated,
current_baseline,2015,CZE,0.05566374773130574,0.05290380770201421,estimated,
current_baseline,2015,DEU,0.10692125479179108,0.09340322662407376,estimated,
current_baseline,2015,DNK,-0.00490887121386916,0.04614372952343854,estimated,
current_baseline,2015,DOM,-0.02364191521961532,0.15185854394758752,estimated,
current_baseline,2015,DZA,-0.06624339546887884,0.1760926823218355,estimated,
current_baseline,2015,ECU,0.23407377214015276,0.06757745776818697,estimated,
current_baseline,2015,EGY,0.00432760961023698,0.21159719096938587,estimated,
