metric,metric_label,iso3c,country_name,years_compared,top1_agreement_rate,top2_unordered_agreement_rate,china_top1_status_disagreements_n,china_in_top2_status_disagreements_n,china_in_top2_any_year
goods_services_exports_combined,Bens + serviços: exportações,GHA,Ghana,8,0.75,0.375,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,GRC,Greece,8,0.75,0.75,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,SLE,Sierra Leone,8,0.75,0.75,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,KGZ,Kyrgyzstan,8,0.75,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,PAN,Panama,8,0.75,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,GUY,Guyana,8,0.75,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,ROU,Romania,8,0.75,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,ZAF,South Africa,8,0.75,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,COM,Comoros,8,0.875,0.125,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,LBN,Lebanon,8,0.875,0.125,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,CUB,Cuba,8,0.875,0.25,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,PRK,North Korea,8,0.875,0.25,1,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,SYC,Seychelles,8,0.875,0.375,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,8,0.875,0.5,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,MDA,Moldova,8,0.875,0.5,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,PAK,Pakistan,8,0.875,0.625,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,TGO,Togo,8,0.875,0.625,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,LCA,St. Lucia,8,0.875,0.75,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,MLI,Mali,8,0.875,0.75,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,SGP,Singapore,8,0.875,0.75,1,2,TRUE
goods_services_exports_combined,Bens + serviços: exportações,KAZ,Kazakhstan,8,0.875,0.875,0,0,TRUE
