source_bpm5,metric,metric_label,iso3c,country_name,year,top1_partner_iso3_bpm5,top1_partner_name_bpm5,top1_value_musd_bpm5,top2_partner_iso3_bpm5,top2_partner_name_bpm5,top2_value_musd_bpm5,top1_top2_margin_musd_bpm5,top1_top2_margin_share_bpm5,source_bpm6,top1_partner_iso3_bpm6,top1_partner_name_bpm6,top1_value_musd_bpm6,top2_partner_iso3_bpm6,top2_partner_name_bpm6,top2_value_musd_bpm6,top1_top2_margin_musd_bpm6,top1_top2_margin_share_bpm6,top1_same,top2_ordered_same,top2_unordered_same,china_top1_bpm5,china_top1_bpm6,china_top1_status_same,china_in_top2_bpm5,china_in_top2_bpm6,china_in_top2_status_same,china_in_top2_any_source,china_top1_any_source,top1_disagreement_involves_china,top2_disagreement_involves_china,min_top1_top2_margin_share,close_top1_top2_case
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2005,USA,United States,406.58948699999996,IND,India,164.290796,242.29869099999996,0.5959295524037983,BPM6,USA,United States,745.835219,GBR,United Kingdom,528.860741,216.9744780000001,0.290914765718512,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.290914765718512,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2006,USA,United States,302.8845649999999,IND,India,136.307302,166.5772629999999,0.5499694677409526,BPM6,USA,United States,1015.8518110000001,GBR,United Kingdom,569.2023220000001,446.649489,0.4396797684106309,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.4396797684106309,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2007,USA,United States,386.424404,IND,India,239.298793,147.125611,0.3807358165712536,BPM6,USA,United States,1156.7868660000001,GBR,United Kingdom,642.801712,513.9851540000002,0.44432139498374984,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.3807358165712536,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2008,USA,United States,408.38635700000003,IND,India,349.063579,59.32277800000003,0.1452614098957278,BPM6,USA,United States,1158.4149919999998,GBR,United Kingdom,594.8058219999999,563.6091699999998,0.4865347685348326,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.1452614098957278,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2009,NGA,Nigeria,1011.695835,USA,United States,561.388731,450.307104,0.4451012729532488,BPM6,USA,United States,1067.6656940000003,NGA,Nigeria,806.8131529999999,260.8525410000003,0.2443204295744659,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.2443204295744659,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2010,USA,United States,535.9862999999999,GBR,United Kingdom,496.7679549999999,39.218345,0.07317042431868129,BPM6,USA,United States,985.0524509999999,GBR,United Kingdom,546.800193,438.25225799999987,0.4449024593107681,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.07317042431868129,TRUE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2011,GBR,United Kingdom,537.3732910000001,IND,India,414.90177100000005,122.47152000000006,0.22790771713289343,BPM6,USA,United States,1070.3463709999996,GBR,United Kingdom,570.655792,499.6905789999996,0.46684941672960534,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.22790771713289343,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2012,USA,United States,468.13136699999995,ARE,United Arab Emirates,466.51578700000005,1.615579999999909,0.0034511252906492575,BPM6,USA,United States,1013.211761,GBR,United Kingdom,411.9403789999999,601.2713820000001,0.5934311119785749,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0034511252906492575,TRUE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2005,USA,United States,9757.550669,CHN,China,6788.219414,2969.331255,0.30431112845087704,BPM6,USA,United States,8855.754767,CHN,China,6604.896512,2250.858255,0.25416899114997815,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.25416899114997815,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2006,USA,United States,13169.482933999998,CHN,China,11219.036345999997,1950.4465880000007,0.14810350548877527,BPM6,USA,United States,12239.567710999998,CHN,China,10976.041360999998,1263.52635,0.1032329229131547,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.1032329229131547,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2007,USA,United States,14001.237782,CHN,China,13297.965161,703.2726210000001,0.05022931771818973,BPM6,CHN,China,12965.437856,USA,United States,12954.809599,10.628257000000303,8.197376068623766e-4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,8.197376068623766e-4,TRUE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2008,CHN,China,22912.672251999997,USA,United States,21097.297256,1815.374995999995,0.07923017341818499,BPM6,CHN,China,22430.976199999997,USA,United States,19527.48932,2903.4868799999967,0.12944095050129817,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.07923017341818499,TRUE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2009,CHN,China,15152.343474,USA,United States,11112.196253,4040.1472209999993,0.266635139833816,BPM6,CHN,China,14743.135516,USA,United States,9947.040501,4796.095015000001,0.32531037985746214,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.266635139833816,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2010,CHN,China,23422.14528100001,USA,United States,13877.789519000002,9544.355762000007,0.40749280851495556,BPM6,CHN,China,22909.638496000007,USA,United States,12611.442072,10298.196424000007,0.4495137025317121,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.40749280851495556,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2011,CHN,China,25545.910857,USA,United States,15510.926493,10034.984363999998,0.39282155254410306,BPM6,CHN,China,25000.641644,USA,United States,14297.897256,10702.744388,0.4280987880392499,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.39282155254410306,FALSE
