metric,metric_label,country_years_any_source,country_years_compared,bpm5_only_country_years,bpm6_only_country_years,top1_agreement_n,top1_agreement_rate,top2_ordered_agreement_n,top2_ordered_agreement_rate,top2_unordered_agreement_n,top2_unordered_agreement_rate,china_top1_status_agreement_n,china_top1_status_agreement_rate,china_in_top2_status_agreement_n,china_in_top2_status_agreement_rate,china_in_top2_any_source_n,china_top1_status_disagreements_n,top1_disagreements_involving_china_n,top2_disagreements_involving_china_n,close_top1_top2_cases_n
goods_services_exports_combined,Bens + serviços: exportações,1504,1504,0,0,1317,0.8756648936170213,1113,0.7400265957446809,1167,0.7759308510638298,1493,0.992686170212766,1475,0.980718085106383,305,11,11,58,226
goods_services_two_way_combined,Bens + serviços: exportações + importações,1504,1504,0,0,1377,0.9155585106382979,1186,0.788563829787234,1242,0.8257978723404256,1487,0.9886968085106383,1455,0.9674202127659575,450,17,17,86,294
services_exports_only,Serviços: exportações,1455,1407,0,48,907,0.644633972992182,545,0.38734896943852165,654,0.464818763326226,1366,0.9708599857853589,1291,0.9175550817341862,200,41,41,144,327
services_two_way_only,Serviços: exportações + importações,1455,1407,0,48,1071,0.7611940298507462,637,0.4527363184079602,742,0.527363184079602,1397,0.9928926794598436,1360,0.9665955934612651,88,10,10,55,242
