metric,metric_label,year,common_bpm5_bpm6,bpm6_only
goods_services_exports_combined,Bens + serviços: exportações,2005,187,0
goods_services_exports_combined,Bens + serviços: exportações,2006,188,0
goods_services_exports_combined,Bens + serviços: exportações,2007,188,0
goods_services_exports_combined,Bens + serviços: exportações,2008,188,0
goods_services_exports_combined,Bens + serviços: exportações,2009,188,0
goods_services_exports_combined,Bens + serviços: exportações,2010,188,0
goods_services_exports_combined,Bens + serviços: exportações,2011,188,0
goods_services_exports_combined,Bens + serviços: exportações,2012,189,0
goods_services_two_way_combined,Bens + serviços: exportações + importações,2005,187,0
goods_services_two_way_combined,Bens + serviços: exportações + importações,2006,188,0
goods_services_two_way_combined,Bens + serviços: exportações + importações,2007,188,0
goods_services_two_way_combined,Bens + serviços: exportações + importações,2008,188,0
goods_services_two_way_combined,Bens + serviços: exportações + importações,2009,188,0
goods_services_two_way_combined,Bens + serviços: exportações + importações,2010,188,0
goods_services_two_way_combined,Bens + serviços: exportações + importações,2011,188,0
goods_services_two_way_combined,Bens + serviços: exportações + importações,2012,189,0
services_exports_only,Serviços: exportações,2005,175,6
services_exports_only,Serviços: exportações,2006,176,6
services_exports_only,Serviços: exportações,2007,176,6
services_exports_only,Serviços: exportações,2008,176,6
services_exports_only,Serviços: exportações,2009,176,6
services_exports_only,Serviços: exportações,2010,176,6
services_exports_only,Serviços: exportações,2011,176,6
services_exports_only,Serviços: exportações,2012,176,6
services_two_way_only,Serviços: exportações + importações,2005,175,6
services_two_way_only,Serviços: exportações + importações,2006,176,6
services_two_way_only,Serviços: exportações + importações,2007,176,6
services_two_way_only,Serviços: exportações + importações,2008,176,6
services_two_way_only,Serviços: exportações + importações,2009,176,6
services_two_way_only,Serviços: exportações + importações,2010,176,6
services_two_way_only,Serviços: exportações + importações,2011,176,6
services_two_way_only,Serviços: exportações + importações,2012,176,6
