source,metric,metric_label,iso3c,country_name,year,top1_partner_iso3,top1_partner_name,top1_value_musd,top2_partner_iso3,top2_partner_name,top2_value_musd,top1_top2_margin_musd,top1_top2_margin_share
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2005,USA,United States,406.58948699999996,IND,India,164.290796,242.29869099999996,0.5959295524037983
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2006,USA,United States,302.8845649999999,IND,India,136.307302,166.5772629999999,0.5499694677409526
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2007,USA,United States,386.424404,IND,India,239.29879300000002,147.12561099999996,0.38073581657125355
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2008,USA,United States,408.38635700000003,IND,India,349.063579,59.32277800000003,0.1452614098957278
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2009,NGA,Nigeria,1011.6958350000001,USA,United States,561.388731,450.3071040000001,0.44510127295324886
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2010,USA,United States,535.9862999999999,GBR,United Kingdom,496.7679549999999,39.218345,0.07317042431868129
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2011,GBR,United Kingdom,537.3732910000001,IND,India,414.90177100000005,122.47152000000006,0.22790771713289343
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2012,USA,United States,468.13136699999995,ARE,United Arab Emirates,466.51578700000005,1.615579999999909,0.0034511252906492575
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2005,USA,United States,9757.550668999998,CHN,China,6788.219414,2969.3312549999982,0.3043111284508769
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2006,USA,United States,13169.482933999996,CHN,China,11219.036345999997,1950.4465879999989,0.14810350548877513
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2007,USA,United States,14001.237782,CHN,China,13297.965161,703.2726210000001,0.05022931771818973
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2008,CHN,China,22912.672251999993,USA,United States,21097.297255999998,1815.374995999995,0.079230173418185
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2009,CHN,China,15152.343474000001,USA,United States,11112.196253000002,4040.1472209999993,0.266635139833816
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2010,CHN,China,23422.145281000012,USA,United States,13877.789518999998,9544.355762000014,0.40749280851495584
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2011,CHN,China,25545.910857,USA,United States,15510.926493000003,10034.984363999996,0.392821552544103
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2012,CHN,China,34458.657461,USA,United States,11318.678322,23139.979139000003,0.6715287490578999
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2005,ITA,Italy,607.398254,GRC,Greece,218.038571,389.35968299999996,0.6410286503721164
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2006,ITA,Italy,649.974111,DEU,Germany,83.72586600000001,566.248245,0.8711858448159022
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2007,ITA,Italy,816.326482,GRC,Greece,191.92489999999998,624.4015820000001,0.7648919834993176
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2008,NGA,Nigeria,998.9633409999996,ITA,Italy,993.5167,5.446640999999545,0.0054522931687836056
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2009,NGA,Nigeria,2437.1458939999993,ITA,Italy,873.0341599999999,1564.1117339999994,0.6417800993574823
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2010,ITA,Italy,1054.585768,CHE,Switzerland,269.231986,785.3537819999999,0.7447035659218189
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2011,ITA,Italy,1180.2148729999997,GBR,United Kingdom,277.12431799999996,903.0905549999998,0.7651916406581329
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2012,ITA,Italy,1264.079683,ESP,Spain,291.707774,972.371909,0.7692330808547613
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AND,Andorra,2005,ESP,Spain,82.717144,FRA,France,24.420701,58.296443000000004,0.7047685664775853
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AND,Andorra,2006,ESP,Spain,100.32255800000001,FRA,France,22.297598,78.02496000000002,0.7777409343968283
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AND,Andorra,2007,ESP,Spain,66.339995,DEU,Germany,21.28540899999999,45.054586000000015,0.6791466595678823
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AND,Andorra,2008,ESP,Spain,74.08118300000001,NGA,Nigeria,40.995298,33.08588500000001,0.446616585482983
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AND,Andorra,2009,NGA,Nigeria,81.59455900000003,ESP,Spain,35.797686,45.79687300000003,0.5612736138447665
