metric,metric_label,iso3c,country_name,first_china_top1_year_overlap_BPM5,first_china_top1_year_overlap_BPM6,china_top1_any_overlap_BPM5,china_top1_any_overlap_BPM6,china_top1_status_same_overlap,first_year_same_if_observed
goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2008,2007,TRUE,TRUE,TRUE,FALSE
goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,AND,Andorra,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,ARE,United Arab Emirates,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,ARG,Argentina,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,ARM,Armenia,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,ATG,Antigua & Barbuda,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,AUS,Australia,2009,2009,TRUE,TRUE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,AUT,Austria,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,AZE,Azerbaijan,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BDI,Burundi,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BEL,Belgium,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BEN,Benin,2005,2005,TRUE,TRUE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BFA,Burkina Faso,2005,2005,TRUE,TRUE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BGD,Bangladesh,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BGR,Bulgaria,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BHR,Bahrain,NA,NA,FALSE,FALSE,TRUE,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BHS,Bahamas,NA,NA,FALSE,FALSE,TRUE,TRUE
