iso3c,rcid,year,issue_domain,brazil,post_2009,observation_weight,fwl_residual,ddd_outcome_weight
ARE,4521,2005,Non-human rights,0,0,1,-0.0016247197998030716,-5.192920654391081e-5
ARG,4521,2005,Non-human rights,0,0,1,-0.0016392585832991611,-5.2393894357253855e-5
AUT,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
AZE,4521,2005,Non-human rights,0,0,1,-0.0016189765901704564,-5.174564238763402e-5
BGD,4521,2005,Non-human rights,0,0,1,-0.0016277516560137524,-5.202611056846629e-5
BGR,4521,2005,Non-human rights,0,0,1,-0.001599585751252164,-5.11258734407856e-5
BHR,4521,2005,Non-human rights,0,0,1,-0.0016417690074443524,-5.2474132398277454e-5
BLR,4521,2005,Non-human rights,0,0,1,-0.00163397830869435,-5.222512650534792e-5
BRA,4521,2005,Non-human rights,1,0,1,0.12443341277013736,0.0039771340224249024
BRB,4521,2005,Non-human rights,0,0,1,-0.0016570701496172705,-5.296318667849951e-5
BWA,4521,2005,Non-human rights,0,0,1,-0.0017467933026101266,-5.583091325147638e-5
CAN,4521,2005,Non-human rights,0,0,1,-0.0016386726625894192,-5.237516719115529e-5
COL,4521,2005,Non-human rights,0,0,1,-0.001647139099013871,-5.2645770975161325e-5
CPV,4521,2005,Non-human rights,0,0,1,-0.0016226495375201678,-5.186303693257105e-5
CRI,4521,2005,Non-human rights,0,0,1,-0.0016427068627013347,-5.2504108077378573e-5
CYP,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
CZE,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
DEU,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
DNK,4521,2005,Non-human rights,0,0,1,-0.0016386726625894192,-5.237516719115529e-5
DOM,4521,2005,Non-human rights,0,0,1,-0.001626743335770668,-5.1993882691282854e-5
DZA,4521,2005,Non-human rights,0,0,1,-0.0016361682730422374,-5.229512202762753e-5
ECU,4521,2005,Non-human rights,0,0,1,-0.0016412170268439907,-5.2456490024122917e-5
EGY,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
ESP,4521,2005,Non-human rights,0,0,1,-0.0016286390474331397,-5.2054473325114075e-5
EST,4521,2005,Non-human rights,0,0,1,-0.0016297109956062894,-5.2088734874763804e-5
FIN,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
FRA,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
GAB,4521,2005,Non-human rights,0,0,1,-0.0015828888552296512,-5.059220815136132e-5
GBR,4521,2005,Non-human rights,0,0,1,-0.0016256969468069322,-5.19604380637048e-5
GHA,4521,2005,Non-human rights,0,0,1,-0.0017021989202397896,-5.440559000922375e-5
GIN,4521,2005,Non-human rights,0,0,1,-0.0016564346767747387,-5.2942875729807385e-5
GRC,4521,2005,Non-human rights,0,0,1,-0.0016321680083995528,-5.216726578504007e-5
GTM,4521,2005,Non-human rights,0,0,1,-0.0016403056613429974,-5.2427361009172885e-5
GUY,4521,2005,Non-human rights,0,0,1,-0.0016412794936384357,-5.2458486584435204e-5
HRV,4521,2005,Non-human rights,0,0,1,-0.0016394073121416882,-5.239864802049078e-5
HUN,4521,2005,Non-human rights,0,0,1,-0.001630012377133077,-5.209836761485535e-5
IND,4521,2005,Non-human rights,0,0,1,-0.0016327298874878697,-5.2185224534132345e-5
IRL,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
ISL,4521,2005,Non-human rights,0,0,1,-0.0016386726625894192,-5.237516719115529e-5
ISR,4521,2005,Non-human rights,0,0,1,-0.0016407040730111136,-5.2440095021404176e-5
ITA,4521,2005,Non-human rights,0,0,1,-0.0016346661689074856,-5.224711185635157e-5
JOR,4521,2005,Non-human rights,0,0,1,-0.001628910198883263,-5.206313985312699e-5
KWT,4521,2005,Non-human rights,0,0,1,-0.0016555522872230873,-5.291467284258619e-5
LBN,4521,2005,Non-human rights,0,0,1,-0.0016748957715040733,-5.3532928243073065e-5
LBY,4521,2005,Non-human rights,0,0,1,-0.001620500789579726,-5.179435876688148e-5
LKA,4521,2005,Non-human rights,0,0,1,-0.0016210042187636364,-5.181044934328406e-5
LTU,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
LVA,4521,2005,Non-human rights,0,0,1,-0.0016343113306941095,-5.2235770536528724e-5
MAR,4521,2005,Non-human rights,0,0,1,-0.0016420610676113351,-5.248346720957005e-5
MDA,4521,2005,Non-human rights,0,0,1,-0.001664580067310477,-5.3203218262447434e-5
MDG,4521,2005,Non-human rights,0,0,1,-0.001734123289186436,-5.542595496631687e-5
MDV,4521,2005,Non-human rights,0,0,1,-0.0016252433411141141,-5.1945939943035194e-5
MEX,4521,2005,Non-human rights,0,0,1,-0.0016403303684228245,-5.242815069552471e-5
MWI,4521,2005,Non-human rights,0,0,1,-0.0016317020936455358,-5.2152374242820834e-5
NAM,4521,2005,Non-human rights,0,0,1,-0.001552155120230479,-4.960989817223059e-5
NGA,4521,2005,Non-human rights,0,0,1,-0.0016538205374635622,-5.2859322750246786e-5
NIC,4521,2005,Non-human rights,0,0,1,-0.001672849993554128,-5.346754119866174e-5
NLD,4521,2005,Non-human rights,0,0,1,-0.0016386726625894192,-5.237516719115529e-5
NOR,4521,2005,Non-human rights,0,0,1,-0.001637238003647957,-5.2329312699506764e-5
PAK,4521,2005,Non-human rights,0,0,1,-0.0016372192453158899,-5.2328713146709754e-5
PAN,4521,2005,Non-human rights,0,0,1,-0.0016567135497357168,-5.2951789052333456e-5
PRT,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
PRY,4521,2005,Non-human rights,0,0,1,-0.0016371416774989178,-5.2326233928330564e-5
QAT,4521,2005,Non-human rights,0,0,1,-0.0016354091531017134,-5.227085907706347e-5
ROU,4521,2005,Non-human rights,0,0,1,-0.0016265847342467601,-5.198881347793654e-5
RWA,4521,2005,Non-human rights,0,0,1,-0.0015133951912597644,-4.837105541461078e-5
