brazil,post_2009,human_rights_binary,n_obs,relative_distance,relative_agreement
0,0,0,22212,-1.2550873401764757,0.6540158472897533
1,0,0,251,-1.5537848605577687,0.8007968127490039
0,0,1,8624,-0.8585343228200332,0.4439935064935065
1,0,1,96,-1.1875,0.625
0,1,0,15864,-0.9615481593545058,0.49357034795763993
1,1,0,175,-1.3771428571428572,0.7485714285714286
0,1,1,7881,-0.7520619210760052,0.4002030199213298
1,1,1,87,-1.4367816091954022,0.7471264367816092
