outcome,specification,covariance,term,estimate,se,p_value,ci_95_low,ci_95_high,n_obs,n_countries,n_resolutions
distance_china_minus_usa,original_restricted,country,brazil_post_2009,-0.12128454328016473,0.013378156944120648,1.7810458043098395e-14,-0.14784718750168677,-0.0947218990586427,55190,95,612
distance_china_minus_usa,original_restricted,country,brazil_post_hr,-0.26425464562184336,0.05483768921112986,5.5303656753681905e-6,-0.3731361630483371,-0.15537312819534968,55190,95,612
distance_china_minus_usa,corrected_ddd,country,brazil_post_2009,-0.13288464407039738,0.012284986459202436,3.4202857356777344e-18,-0.15727677266815762,-0.10849251547263714,55190,95,612
distance_china_minus_usa,corrected_ddd,country,brazil_hr,-0.04192127925873926,0.05073262562630438,0.4107162325338888,-0.14265209670720902,0.05880953818973049,55190,95,612
distance_china_minus_usa,corrected_ddd,country,brazil_post_hr,-0.22233340176221164,0.014458649823066244,2.107018233067866e-27,-0.2510413899236501,-0.19362541360077318,55190,95,612
distance_china_minus_usa,original_restricted,country_resolution,brazil_post_2009,-0.12128454328016473,0.013467990305590366,2.3941912591469327e-14,-0.14802555374674659,-0.0945435328135829,55190,95,612
distance_china_minus_usa,original_restricted,country_resolution,brazil_post_hr,-0.26425464562184336,0.05433509203731237,4.621902551965663e-6,-0.3721382445779065,-0.15637104666578022,55190,95,612
distance_china_minus_usa,corrected_ddd,country_resolution,brazil_post_2009,-0.13288464407039738,0.012279538895608141,3.3414689615093286e-18,-0.15726595640294008,-0.10850333173785467,55190,95,612
distance_china_minus_usa,corrected_ddd,country_resolution,brazil_hr,-0.04192127925873926,0.050714620790474105,0.4105507198625715,-0.14261634768360104,0.05877378916612251,55190,95,612
distance_china_minus_usa,corrected_ddd,country_resolution,brazil_post_hr,-0.22233340176221164,0.014426429701342247,1.8121400635517122e-27,-0.2509774161166673,-0.193689387407756,55190,95,612
agreement_china_minus_usa,original_restricted,country,brazil_post_2009,0.10320983097988068,0.0067394679583478835,2.778749687411539e-27,0.08982845936287209,0.11659120259688927,55190,95,612
agreement_china_minus_usa,original_restricted,country,brazil_post_hr,0.08847644826593476,0.025477431527470257,7.804784043961063e-4,0.03789041072959129,0.13906248580227823,55190,95,612
agreement_china_minus_usa,corrected_ddd,country,brazil_post_2009,0.11325830989787283,0.008201623085497602,2.3996963890876395e-24,0.09697379500026304,0.12954282479548263,55190,95,612
agreement_china_minus_usa,corrected_ddd,country,brazil_hr,0.03631391644470816,0.02456133504696037,0.1426173720812255,-0.01245319005457144,0.08508102294398776,55190,95,612
agreement_china_minus_usa,corrected_ddd,country,brazil_post_hr,0.05216256248537268,0.007458597835818853,3.8700735734691715e-10,0.03735334163889883,0.06697178333184653,55190,95,612
agreement_china_minus_usa,original_restricted,country_resolution,brazil_post_2009,0.10320983097988068,0.007294876118983054,5.109421500258293e-25,0.08872568344012695,0.11769397851963441,55190,95,612
agreement_china_minus_usa,original_restricted,country_resolution,brazil_post_hr,0.08847644826593476,0.025387209529352327,7.493091869633929e-4,0.03806954862182648,0.13888334791004303,55190,95,612
agreement_china_minus_usa,corrected_ddd,country_resolution,brazil_post_2009,0.11325830989787283,0.008594050167479859,4.415355107579514e-23,0.09619462182976396,0.1303219979659817,55190,95,612
agreement_china_minus_usa,corrected_ddd,country_resolution,brazil_hr,0.03631391644470816,0.02463144611202581,0.1437445819430277,-0.012592397217793101,0.08522023010720942,55190,95,612
agreement_china_minus_usa,corrected_ddd,country_resolution,brazil_post_hr,0.05216256248537268,0.008221494828438406,7.76436139164049e-9,0.035838591776323175,0.06848653319442219,55190,95,612
