outcome,specification,covariance,term,estimate,se,p_value,ci_95_low,ci_95_high,n_obs,n_countries,n_resolutions,placebo_unit
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.1870136196178275,0.01604700015507216,5.987920151595872e-20,0.1551519246382947,0.21887531459736032,55190,95,612,ALB
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.08537203642239463,0.007849249366346844,2.560323801759199e-18,-0.10095690504033288,-0.06978716780445639,55190,95,612,ALB
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.024998671436897723,0.014869190473964728,0.09603624326800533,-0.05452179768453429,0.004524454810738841,55190,95,612,ARE
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.03017263465168887,0.007590522871139059,1.3803930163894037e-4,0.01510147355501767,0.04524379574836007,55190,95,612,ARE
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.080287774876211,0.014659801197796871,3.599912749876149e-7,-0.10939515380754081,-0.05118039594488119,55190,95,612,ARG
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.03814093323474594,0.0076364159371577825,2.7119355596158393e-6,0.022978650379675433,0.053303216089816446,55190,95,612,ARG
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.11090798231792477,0.014625950067873072,2.3709604848454417e-11,0.08186781559859234,0.1399481490372572,55190,95,612,AUT
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.043964334695524875,0.0075279252195831385,7.428257444045727e-8,-0.058911206687626,-0.02901746270342375,55190,95,612,AUT
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.07224545148583807,0.014828239794945328,4.461866650281983e-6,-0.10168726920032126,-0.042803633771354876,55190,95,612,AZE
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.029051777370998993,0.007661082442281723,2.638782657641906e-4,0.013840518591775978,0.04426303615022201,55190,95,612,AZE
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.14506124057719375,0.014630965625297284,2.7900482531384335e-16,-0.17411136580336598,-0.11601111535102152,55190,95,612,BGD
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.03304434990900001,0.007472233370230152,2.6220441193429466e-5,0.01820805538931014,0.047880644428689875,55190,95,612,BGD
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.07226892109751344,0.014344779370697025,2.2699225570345077e-6,0.04378702538859003,0.10075081680643685,55190,95,612,BGR
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.014948633874681724,0.007392717168298378,0.0460106553429534,-0.029627047111427853,-2.702206379355948e-4,55190,95,612,BGR
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.10531414912761701,0.014509804967838009,1.1126220009020022e-10,0.07650459122706214,0.1341237070281719,55190,95,612,BHR
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.060573798302824076,0.007503584801776629,2.2473192878340595e-12,-0.07547234182478554,-0.0456752547808626,55190,95,612,BHR
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.01942345526236501,0.014615161307562938,0.18706697406140912,-0.009595290120462969,0.04844220064519299,55190,95,612,BLR
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.014369232528786954,0.007463752790499003,0.05722715825706611,-0.029188688658620003,4.5022360104609443e-4,55190,95,612,BLR
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.2254379897586154,0.015127344787053321,1.717425520489233e-26,-0.25547368744650834,-0.19540229207072246,55190,95,612,BOL
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.087653591057197,0.007719302616325259,2.5244994677872023e-19,0.072326734757621,0.102980447356773,55190,95,612,BOL
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.22233340176221164,0.014458649823066244,2.107018233067866e-27,-0.2510413899236501,-0.19362541360077318,55190,95,612,BRA
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.05216256248537268,0.007458597835818853,3.8700735734691715e-10,0.03735334163889883,0.06697178333184653,55190,95,612,BRA
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.10666940369755844,0.014566315463376528,8.180516083794321e-11,0.07774764288340033,0.13559116451171654,55190,95,612,BRB
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.0650691332274829,0.007323975390792128,4.326102428836756e-14,-0.07961105805355478,-0.050527208401411006,55190,95,612,BRB
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.021937078234162515,0.0156133857789224,0.1633122863126381,-0.052937821705119605,0.009063665236794576,55190,95,612,BTN
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.033236368291822443,0.007812738722011416,4.956865355634583e-5,-0.04874874416955504,-0.017723992414089847,55190,95,612,BTN
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.19711458303323484,0.015022685134464775,5.77268896204205e-23,0.16728668953897408,0.2269424765274956,55190,95,612,BWA
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.092459461256672107,0.007595709241968118,5.026457408876534e-21,-0.10754092001420262,-0.07737800249914159,55190,95,612,BWA
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.06266852069435853,0.014667499984494332,4.624994769545114e-5,0.03354585564156699,0.09179118574715008,55190,95,612,CAN
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.039292910982761345,0.0075222085843541665,1.0511857934754102e-6,-0.054228432461606746,-0.024357389503915944,55190,95,612,CAN
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.03888244342312187,0.01430872879010689,0.00783386663892471,0.01047212698705307,0.06729275985919067,55190,95,612,CIV
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.00799102882445136,0.007753603095304022,0.3053629484748789,-0.023385989529106956,0.007403931880204235,55190,95,612,CIV
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.25387569073519944,0.014573794556255152,3.4818235734731497e-31,0.22493908000680693,0.28281230146359193,55190,95,612,COL
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.15526436472158764,0.007335598144058067,1.5627668881831717e-37,-0.16982936679672808,-0.1406993626464472,55190,95,612,COL
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.28102760642850705,0.017984064523390603,7.077131776512166e-28,-0.31673538811974067,-0.24531982473727346,55190,95,612,COM
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.12248714306989548,0.008878545847296606,2.5516939445793902e-24,0.10485858216040068,0.14011570397939027,55190,95,612,COM
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.13006675978418122,0.017662512784182842,6.733916657275686e-11,0.0949974266089176,0.16513609295944484,55190,95,612,CPV
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.07076781902451686,0.0088188393691315,2.8347633020853076e-12,-0.08827783132198354,-0.053257806727050175,55190,95,612,CPV
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.009259105957829038,0.014897739151424927,0.5357679706823537,-0.02032070435813904,0.03883891627379712,55190,95,612,CRI
agreement_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,-0.009749561421610542,0.007571083033889609,0.200998932465426,-0.02478212426571689,0.005283001422495805,55190,95,612,CRI
distance_china_minus_usa,corrected_ddd_country_placebo,country,placebo_post_hr,0.033137364863216126,0.014661901996925169,0.02612351730173774,0.00402581474597043,0.062248914980461825,55190,95,612,CYP
