model,outcome,term,estimate,se,p_value,ci_95_low,ci_95_high,n_obs,n_countries,n_resolutions,inference_status,error,expected_direction,direction_matches_expected
DDD HR vs non-HR among China-US divergent votes; country-clustered SE,distance_china_minus_usa,brazil_post_2009,-0.13288464407039738,0.012284986459202436,3.4202857356777344e-18,-0.15727677266815762,-0.10849251547263714,55190,95,612,Model-based country-clustered SE. The triple interaction controls for Brazil x human rights and tests the additional post-2009 human-rights shift. One treated country limits model-based inference; HR-only placebos do not test this DDD.,,non-HR Brazil post component,NA
DDD HR vs non-HR among China-US divergent votes; country-clustered SE,distance_china_minus_usa,brazil_post_hr,-0.22233340176221164,0.014458649823066244,2.107018233067866e-27,-0.2510413899236501,-0.19362541360077318,55190,95,612,Model-based country-clustered SE. The triple interaction controls for Brazil x human rights and tests the additional post-2009 human-rights shift. One treated country limits model-based inference; HR-only placebos do not test this DDD.,,negative incremental HR effect,TRUE
DDD HR vs non-HR among China-US divergent votes; two-way clustered SE by country and resolution,distance_china_minus_usa,brazil_post_2009,-0.13288464407039738,0.012279538895608141,3.3414689615093286e-18,-0.15726595640294008,-0.10850333173785467,55190,95,612,Model-based two-way clustered SE by country and resolution. The triple interaction controls for Brazil x human rights and tests the additional post-2009 human-rights shift. One treated country limits model-based inference; HR-only placebos do not test this DDD.,,non-HR Brazil post component,NA
DDD HR vs non-HR among China-US divergent votes; two-way clustered SE by country and resolution,distance_china_minus_usa,brazil_post_hr,-0.22233340176221164,0.014426429701342247,1.8121400635517122e-27,-0.2509774161166673,-0.193689387407756,55190,95,612,Model-based two-way clustered SE by country and resolution. The triple interaction controls for Brazil x human rights and tests the additional post-2009 human-rights shift. One treated country limits model-based inference; HR-only placebos do not test this DDD.,,negative incremental HR effect,TRUE
DDD HR vs non-HR among China-US divergent votes; country-clustered SE,agreement_china_minus_usa,brazil_post_2009,0.11325830989787283,0.008201623085497602,2.3996963890876395e-24,0.09697379500026304,0.12954282479548263,55190,95,612,Model-based country-clustered SE. The triple interaction controls for Brazil x human rights and tests the additional post-2009 human-rights shift. One treated country limits model-based inference; HR-only placebos do not test this DDD.,,non-HR Brazil post component,NA
DDD HR vs non-HR among China-US divergent votes; country-clustered SE,agreement_china_minus_usa,brazil_post_hr,0.05216256248537268,0.007458597835818853,3.8700735734691715e-10,0.03735334163889883,0.06697178333184653,55190,95,612,Model-based country-clustered SE. The triple interaction controls for Brazil x human rights and tests the additional post-2009 human-rights shift. One treated country limits model-based inference; HR-only placebos do not test this DDD.,,positive incremental HR effect,TRUE
DDD HR vs non-HR among China-US divergent votes; two-way clustered SE by country and resolution,agreement_china_minus_usa,brazil_post_2009,0.11325830989787283,0.008594050167479859,4.415355107579514e-23,0.09619462182976396,0.1303219979659817,55190,95,612,Model-based two-way clustered SE by country and resolution. The triple interaction controls for Brazil x human rights and tests the additional post-2009 human-rights shift. One treated country limits model-based inference; HR-only placebos do not test this DDD.,,non-HR Brazil post component,NA
DDD HR vs non-HR among China-US divergent votes; two-way clustered SE by country and resolution,agreement_china_minus_usa,brazil_post_hr,0.05216256248537268,0.008221494828438406,7.76436139164049e-9,0.035838591776323175,0.06848653319442219,55190,95,612,Model-based two-way clustered SE by country and resolution. The triple interaction controls for Brazil x human rights and tests the additional post-2009 human-rights shift. One treated country limits model-based inference; HR-only placebos do not test this DDD.,,positive incremental HR effect,TRUE
