outcome,brazil_estimate,expected_direction,n_placebo_units,n_donors,n_failed,brazil_rank_expected_direction,directional_ge_count,directional_gt_donor_count,ties_including_brazil,randomization_p_directional,randomization_p_directional_strict_donor,randomization_p_two_sided,randomization_p_two_sided_strict_donor,tie_tolerance,interpretation
distance_china_minus_usa,-0.22233340176221164,negative,95,94,0,9,9,8,1,0.09473684210526316,0.0851063829787234,0.12631578947368421,0.11702127659574468,1e-10,Descriptive reassignment benchmark; causal randomization inference additionally requires exchangeability of country assignment.
agreement_china_minus_usa,0.05216256248537268,positive,95,94,0,20,20,19,1,0.21052631578947367,0.20212765957446807,0.42105263157894735,0.4148936170212766,1e-10,Descriptive reassignment benchmark; causal randomization inference additionally requires exchangeability of country assignment.
