iso3c,year,issue_domain,n_obs,n_resolutions
SGP,2012,Human rights,19,19
SLV,2012,Human rights,19,19
SUR,2012,Human rights,18,18
SVK,2012,Human rights,19,19
SVN,2012,Human rights,19,19
SWE,2012,Human rights,19,19
TGO,2012,Human rights,19,19
TTO,2012,Human rights,19,19
TUN,2012,Human rights,19,19
TUR,2012,Human rights,18,18
UGA,2012,Human rights,19,19
UKR,2012,Human rights,19,19
VEN,2012,Human rights,19,19
BLR,2012,Human rights,17,17
GAB,2012,Human rights,15,15
GHA,2012,Human rights,5,5
RWA,2012,Human rights,17,17
SWZ,2012,Human rights,17,17
MWI,2012,Human rights,14,14
MDG,2012,Human rights,11,11
TCD,2012,Human rights,9,9
