fit_id,donor_iso3c,unit_weight,weight_rank,cumulative_weight,effective_donor_count
aus_cue_2007,UGA,0.0662660904037212,1,0.0662660904037212,25.701314982024133
aus_cue_2007,DOM,0.06363124828580281,2,0.12989733868952402,25.701314982024133
aus_cue_2007,HTI,0.0627728540471912,3,0.1926701927367152,25.701314982024133
aus_cue_2007,FJI,0.06159541117818297,4,0.25426560391489816,25.701314982024133
aus_cue_2007,MEX,0.05506541460221044,5,0.3093310185171086,25.701314982024133
aus_cue_2007,MHL,0.05407028746849457,6,0.36340130598560316,25.701314982024133
aus_cue_2007,HND,0.049578174042030666,7,0.41297948002763385,25.701314982024133
aus_cue_2007,MWI,0.04226649068128791,8,0.45524597070892175,25.701314982024133
aus_cue_2007,SLV,0.03905508373253665,9,0.4943010544414584,25.701314982024133
aus_cue_2007,CAN,0.035969045978453996,10,0.5302701004199124,25.701314982024133
aus_cue_2007,CIV,0.03263755258154972,11,0.5629076530014622,25.701314982024133
aus_cue_2007,CYP,0.03245567170478618,12,0.5953633247062483,25.701314982024133
aus_cue_2007,IND,0.03027625686624728,13,0.6256395815724956,25.701314982024133
aus_cue_2007,KEN,0.029412188623612286,14,0.6550517701961078,25.701314982024133
aus_cue_2007,GEO,0.02912133618547862,15,0.6841731063815865,25.701314982024133
aus_cue_2007,ISR,0.0279541905893625,16,0.712127296970949,25.701314982024133
aus_cue_2007,USA,0.025799718591633408,17,0.7379270155625824,25.701314982024133
aus_cue_2007,SGP,0.021229662031851004,18,0.7591566775944334,25.701314982024133
aus_cue_2007,CRI,0.020275955779559332,19,0.7794326333739927,25.701314982024133
aus_cue_2007,WSM,0.02001084827074146,20,0.7994434816447342,25.701314982024133
aus_cue_2007,GRD,0.017225137246233767,21,0.816668618890968,25.701314982024133
aus_cue_2007,MDG,0.015197594887803175,22,0.8318662137787711,25.701314982024133
aus_cue_2007,KNA,0.014120903103738681,23,0.8459871168825098,25.701314982024133
aus_cue_2007,BWA,0.01394126987211658,24,0.8599283867546264,25.701314982024133
aus_cue_2007,ALB,0.01332029701310941,25,0.8732486837677358,25.701314982024133
aus_cue_2007,CPV,0.011969334696579941,26,0.8852180184643157,25.701314982024133
aus_cue_2007,NPL,0.011319377825603098,27,0.8965373962899188,25.701314982024133
aus_cue_2007,GTM,0.011202126970755798,28,0.9077395232606746,25.701314982024133
aus_cue_2007,HRV,0.01039171241097092,29,0.9181312356716456,25.701314982024133
aus_cue_2007,MKD,0.010301770140821473,30,0.928433005812467,25.701314982024133
aus_cue_2007,EGY,0.009836133239118262,31,0.9382691390515853,25.701314982024133
aus_cue_2007,LSO,0.009429273949338297,32,0.9476984130009236,25.701314982024133
